Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Trapp   26 ger 19  1  1  1 30 540 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Aréola      24 fra 19  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rémy_Descamps 20 fra 16  1  1  1 30 570 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Silva  32 bra  1 21  1  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marquinhos    22 bra  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Serge_Aurier  24 civ  1 19 11  7 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Kurzawa     24 fra  1 19 11  6 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Maxwell       35 bra  1 18  9  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Meunier     25 bel  1 18 11  6 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Kimpembe    21 fra  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Verratti    24 ita  1 14 20  6 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Á_Di_María    29 arg  1  1 20 19 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Matuidi     29 fra  1 15 20  5 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pastore     27 arg  1  1 19 18 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Draxler     23 ger  1  1 19 17 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Krychowiak  27 pol  1 18 19  1 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas         24 bra  1  1 19 17 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Motta  34 ita  1 17 19  2 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrien_Rabiot 21 fra  1 12 19  7 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Lo_Celso    20 arg  1  1 18 17 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Nkunku      19 fra  1  7 17 10 30 100 100 510 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Cavani      30 uru  1  1  1 20 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Ben_Arfa    30 fra  1  1 18 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Guedes      20 por  1  1 17 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J-K_Augustin  19 fra  1  1  1 17 30 100 100 100 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
