Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   26 ned 18  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Remko_Pasveer 33 ned 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  23 ned 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 23 ned 17  1  1  1 30 120 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Héctor_Moreno 29 mex  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jetro_Willems 23 ned  1 18 11  5 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Arias       25 col  1 18 11  5 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isimat-Mirin  25 fra  1 18  1  1 30 100 300 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Schwaab     28 ger  1 18  1  1 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joshua_Brenet 23 ned  1 18 11  5 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Menno_Koch    22 ned  1 16  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Alberto     20 ned  1 16  1  1 30 100 460 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Guardado    30 mex  1 11 19  8 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Davy_Pröpper  25 ned  1  8 18 10 30 100 100 750 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_van_Ginkel  24 ned  1  8 18 10 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Siem_de_Jong  28 ned  1  1 18 17 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Ramselaar   20 ned  1  1 18 17 30 100 100 450 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hendrix     22 ned  1 17 18  1 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
O_Zinchenko   20 ukr  1  1 17 15 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R-P_Lundqvist 19 swe  1  1 16 14 30 100 100 680 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenneth_Paal  19 ned  1  1 16 14 30 100 100 350 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_de_Jong  26 ned  1  1  1 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Pereiro     21 uru  1  1 17 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Locadia     23 ned  1  1  1 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Bergwijn    19 ned  1  1 15 17 30 100 100 100 510   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sam_Lammers   19 ned  1  1  1 16 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
