Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Keylor_Navas  30 crc 20  1  1  1 30 225 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kiko_Casilla  30 esp 19  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rubén_Yáñez   23 esp 17  1  1  1 30 120 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Ramos  30 esp  1 21  1  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          34 por  1 20  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marcelo       28 bra  1 20 12  6 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Varane      23 fra  1 19  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Carvajal    24 esp  1 19 11  6 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nacho_F       26 esp  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danilo        25 bra  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Coentrão    28 por  1 18  9  5 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luka_Modric   31 cro  1  7 21 14 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Toni_Kroos    27 ger  1 10 20 10 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Rodríguez   25 col  1  1 20 18 30 100 100 675 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Isco          24 esp  1  1 19 18 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Casemiro      25 bra  1 18 19  2 30 100 100 720 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marco_Asensio 21 esp  1  1 19 17 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Vázquez 25 esp  1  1 19 18 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mateo_Kovacic 22 cro  1  7 19 12 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ronaldo     32 por  1  1 21 22 30 100 100 100 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   27 wal  1  1 20 21 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Karim_Benzema 29 fra  1  1  1 20 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Álvaro_Morata 24 esp  1  1  1 19 30 100 100 100 540   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mariano_Díaz  23 dom  1  1  1 18 30 100 100 100 150   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
