Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Ederson       23 bra 19  1  1  1 30 540 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Júlio_César   37 bra 19  1  1  1 30 360 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paulo_Lopes   28 por 17  1  1  1 30 380 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jardel        31 bra  1 19  1  1 30 100 180 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Lindelöf    22 swe  1 18  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_López       27 arg  1 18  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luisão        36 bra  1 18  1  1 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nélson_Semedo 23 por  1 18 11  5 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Grimaldo    21 esp  1 18 11  5 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eliseu        33 por  1 18  9  5 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Almeida 26 por  1 18  9  5 30 100 450 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Hermes      22 bra  1 17  9  4 30 100 380 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pedro_Pereira 19 por  1 17  9  4 30 100 250 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pizzi         27 por  1  6 19 13 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Fejsa       28 srb  1 18 19  1 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Toto_Salvio   26 arg  1  1 19 18 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafa_Silva    23 por  1  1 18 17 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Samaris     27 gre  1 17 18  1 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Franco_Cervi  22 arg  1  1 18 17 30 100 100 600 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
André_Horta   20 por  1  7 18 11 30 100 100 300 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Augusto     23 bra  1 17 18  1 30 100 100 150 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rúben_Amorim  32 por  1 10 17  7 30 100 100 510 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jonas         33 bra  1  1  1 19 30 100 100 100 720   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Mitroglou   29 gre  1  1  1 19 30 100 100 100 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Carrillo    25 per  1  1 17 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Raúl_Jiménez  25 mex  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Zivkovic    20 srb  1  1 16 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
