Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 20  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Michel_Vorm   33 ned 19  1  1  1 30 180 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pau_López     22 esp 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  28 bel  1 20  1  1 30 100 225 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Vertonghen  29 bel  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kyle_Walker   26 eng  1 19 11  6 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Rose    26 eng  1 19 10  6 30 100 360 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Wimmer  24 aut  1 18  1  1 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Davies    23 wal  1 18  9  5 30 100 750 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Trippier    26 eng  1 18 11  6 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_C-Vickers   19 usa  1 17  1  1 30 100 120 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Eriksen     25 den  1  1 20 19 30 100 100 225 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mousa_Dembélé 29 bel  1 13 19  7 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dele_Alli     20 eng  1  1 19 18 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Érik_Lamela   25 arg  1  1 19 17 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Dier     23 eng  1 17 18  1 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Wanyama     25 ken  1 17 18  1 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sissoko     27 fra  1  5 18 13 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Winks   21 eng  1  7 17 10 30 100 100 640 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Josh_Onomah   19 eng  1  1 17 15 30 100 100 640 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Kane    23 eng  1  1  1 20 30 100 100 100 225   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Heung-Min_Son 24 kor  1  1 17 18 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G-K_N'Koudou  22 fra  1  1 17 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Janssen     22 ned  1  1  1 18 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
