Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  30 ale 23  1  1  1 30 298 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Petr_Cech     34 rch 23  1  1  1 30 291 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
T_Courtois    24 blg 23  1  1  1 30 196 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Lloris   30 fra 23  1  1  1 30 188 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_de_Gea  26 esp 23  1  1  1 30 142 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ter_Stegen    24 ale 23  1  1  1 30  63 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kevin_Trapp   26 ale 22  1  1  1 30 830 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jan_Oblak     24 esl 22  1  1  1 30 828 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Joe_Hart      29 ing 22  1  1  1 30 668 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Lopez   35 esp 22  1  1  1 30 475 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Cillessen   27 hol 22  1  1  1 30 388 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Keylor_Navas  30 crc 22  1  1  1 30 386 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Handanovic  32 esl 22  1  1  1 30 308 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jeroen_Zoet   26 hol 22  1  1  1 30 280 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Szczesny    26 pol 22  1  1  1 30 266 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mattia_Perin  24 ita 22  1  1  1 30 254 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Rico   23 esp 22  1  1  1 30 229 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ralf_Fahrmann 28 ale 22  1  1  1 30 203 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Donnarumma  17 ita 22  1  1  1 30  71 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bernd_Leno    24 ale 21  1  1  1 30 956 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Ruffier     29 fra 21  1  1  1 30 953 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mathew_Ryan   24 aus 21  1  1  1 30 870 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Sirigu      30 ita 21  1  1  1 30 845 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Alves   31 bra 21  1  1  1 30 783 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Areola      23 fra 21  1  1  1 30 752 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gigi_Buffon   39 ita 21  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe_Reina    34 esp 21  1  1  1 30 339 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Roman_Burki   26 swi 21  1  1  1 30 257 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Benaglio    33 swi 21  1  1  1 30 164 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Claudio_Bravo 33 chi 21  1  1  1 30 123 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Asmir_Begovic 29 b&h 21  1  1  1 30  15 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mignolet    28 blg 21  1  1  1 30  13 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miguel_Moya   32 esp 20  1  1  1 30 885 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
