Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Asenjo 27 esp 19  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Fernández   30 esp 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Barbosa     32 arg 18  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Musacchio   26 arg  1 19  1  1 30 100 720 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Víctor_Ruiz   28 esp  1 19  1  1 30 100 540 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mario_Gaspar  26 esp  1 19 11  6 30 100 360 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jaume_Costa   29 esp  1 18 11  6 30 100 900 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Á_González    27 esp  1 18  1  1 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Bonera      35 ita  1 18  1  1 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Rukavina    33 srb  1 18 11  5 30 100 600 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Ángel    27 esp  1 18 11  5 30 100 150 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bruno_Soriano 32 esp  1 18 19  1 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Trigueros   25 esp  1  6 19 13 30 100 100 540 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Castillejo  22 esp  1  1 19 17 30 100 100 360 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Soriano     26 ita  1  7 19 12 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_dos_Santos  26 mex  1  1 19 17 30 100 100 180 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_Cheryshev   26 rus  1  1 18 17 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Hernández   20 esp  1 15 17  2 30 100 100 380 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Bakambu     25 cod  1  1  1 19 30 100 100 100 360   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Sansone     25 ita  1  1  1 18 30 100 100 100 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Soldado     31 esp  1  1  1 18 30 100 100 100 750   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrián_López  29 esp  1  1  1 18 30 100 100 100 450   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Santos_Borré  21 col  1  1  1 18 30 100 100 100 300   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
