Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  30 ale 23  1  1  1 30 616 100 100 100  15   0 1434   0  54  15   0   0   0   0   0   2   0   0 100
Ter_Stegen    24 ale 23  1  1  1 30 450 100 100 100  13   0 1241   0  69  18   0   0   0   0   0   2   0   0 100
Kevin_Trapp   26 ale 23  1  1  1 30 189 100 100 100  12   0 1127   0  80  23   0   0   0   0   0   0   0   0 100
Ralf_Fahrmann 28 ale 22  1  1  1 30 475 100 100 100  11   0  925   0  36   8   0   0   0   0   0  12   2   0 100
Bernd_Leno    24 ale 22  1  1  1 30 165 100 100 100   8   1  726   0  52  20   0   0   0   0   0   2   0   0 100
Timo_Horn     23 ale 20  1  1  1 30 221 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sven_Ulreich  28 ale 19  1  1  1 30 954 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Weidenfeller  36 ale 19  1  1  1 30 624 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Fabian_Giefer 26 ale 19  1  1  1 30  99 100 100 100   4   2  314   1  15   5   0   0   0   0   0   0   0   0 100
Tom_Starke    35 ale 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Max_Grun      29 ale 17  1  1  1 30 541 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Mertesacker 32 ale  1 23  1  1 30 100 427 890 604  10   0  874   0   0   0  10   0   1   0   0   2   0   0 100
Jer_Boateng   28 ale  1 23  1  1 30 100 125 910 476   6   0  455   0   0   0   8   0   1   0   0  10   0   0  90
Matt_Hummels  28 ale  1 23  1  1 30 100 117 795 444  10   0  897   1   0   0  13   0   1   0   0   2   0   0  71
Philipp_Lahm  33 ale  1 23 21 10 30 100  65  76 969   8   2  637   1   0   0   4   6   4   1   0   2   0   0 100
B_Howedes     28 ale  1 23 11  7 30 100  45 323 679   8   0  669   0   0   0  12   1   2   0   0  12   0   0  93
S_Mustafi     24 ale  1 22  1  1 30 117 742 954 529  10   1  830   0   0   0  10   1   0   0   0   0   0   0  93
H_Badstuber   27 ale  1 21 10  6 30 100 956 351 703  11   4  758   0   0   0  12   8   8   2   0   2   0   0  90
Matt_Ginter   23 ale  1 21 17  1 30 100 746 597 539  12   4  917   2   0   0   9  10   0   0   2   2   0   0  77
A_Rudiger     23 ale  1 21  1  1 30 100 641 860 449   6   0  539   0   0   0   6   0   1   0   0  10   0   0 100
Jonathan_Tah  20 ale  1 21  1  1 30 100 636 700 365   8   0  710   0   0   0   7   0   0   0   0  12   0   0 100
Serdar_Tasci  29 ale  1 21  1  1 30 100 558 880 481   8   2  656   0   0   0  15   1   0   0   0   2   0   0 100
Niklas_S�le   21 ale  1 21  1  1 30 100 195 100 100   7   0  568   0   0   0  10   0   0   0   0   0   0   0 100
M_Schmelzer   29 ale  1 21 11  7 30 100  88 256 598   5   0  356   0   0   0   6   3   1   0   0   0   0   0 100
Erik_Durm     24 ale  1 21 10  7 30 100   9  44 499   6   1  524   0   0   0   7   3   3   0   0   2   0   0 100
Seba_Jung     26 ale  1 20 10  7 30 100 910 234 598   7   0  536   0   0   0   8   3   2   0   0   0   0   0 100
R_Hilbert     31 ale  1 20 10  7 30 100 754  46 707   6   0  470   0   0   0   9   2   1   0   0   2   0   0 100
Dennis_Aogo   30 ale  1 20 10  6 30 100 672 217 576   5   0  427   0   0   0   4   6   5   0   0   2   0   0 100
R_Neustadter  28 ale  1 20 11  1 30 100 596  96 510   5   1  434   0   0   0   6   3   2   0   0   0   0   0 100
Robin_Knoche  24 ale  1 20  1  1 30 100  92 735 426   6   1  516   0   0   0   4   0   0   0   0   2   0   0  92
Chris_Trasch  29 ale  1 19  9  6 30 100 942 863 494   2   1  112   0   0   0   0   0   1   0   0   2   0   0 100
Robin_Becker  19 ale  1 18  7  4 30 100 652 945 497  13  13  421   0   0   0  10   1   2   0   0   0   0   0 100
M_Sprenger    21 ale  1 17  1  1 30 100 909 984 560   2   0  189   0   0   0   2   1   1   0   0   0   0   0 100
F_Passlack    18 ale  1 17  7  5 30 100 512 900 505   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Riether     33 ale  1 17  9  6 30 100 383 120 110   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mesut_Ozil    28 ale  1  1 23 20 30 100 524 262 719  11   1  882   2   0   0   0  21  20   3   2   2   0   0  96
Toni_Kroos    27 ale  1 20 23 10 30 100 523 247 952   7   0  665   1   0   0   1  31   8   1   2   0   0   0 100
Mario_Gotze   24 ale  1 10 23 19 30 100 858  59 498  11   1  801   2   0   0   2  22  23   1   5  10   0   0  98
Marco_Reus    27 ale  1  1 22 19 30 100 632 953 604  10   1  884   0   0   0   2  14  11   2   2   0   0   0  81
I_Gundogan    26 ale  1 11 22 13 30 100  78 772 232   9   0  849   0   0   0   5  17   8   0   0   2   0   0  81
Schweisteiger 32 ale  1 20 22 16 30 100  83 622   8   7   0  665   1   0   0   8  31   9   0   1   0   0   0 100
Lars_Bender   27 ale  1 20 22 11 30 100 981 196 774   7   0  622   1   0   0   8  16   4   1   1  20   0   0 100
Chris_Kramer  25 ale  1 19 22 12 30 100 809  71  83  12   2  839   0   0   0   2  18  13   2   4   2   0   0  90
J_Draxler     23 ale  1  1 21 18 30 100 459 840 255   9   0  857   1   0   0   1   9  15   2   1   0   0   0  92
Sven_Bender   27 ale  1 20 21  1 30 100  87 804 526   9   2  694   0   0   0   5  17   0   0   2   4   0   0 100
Max_Meyer     21 ale  1 10 21 19 30 100   9 619 306   7   0  665   0   0   0   2   7   6   0   0   0   0   0  96
G_Castro      29 ale  1 10 21  9 30 100 445 503 660  10   0  827   1   0   0   4  20   7   1   4  12   0   0  92
Johannes_Geis 23 ale  1 18 21  9 30 100 735 487 687   8   0  752   0   0   0   6  10   3   0   0   2   0   0 100
A_Schurrle    26 ale  1  1 21 19 30 100 433 457 496   8   0  762   0   0   0   0  24  12   6   1   4   0   0 100
Emre_Can      23 ale  1 17 21 11 30 100 731 391 759  10   2  863   0   0   0   9  15   2   0   2   2   0   0 100
Leon_Goretzka 21 ale  1 10 21 12 30 100 925 340 222   9   0  805   0   0   0   3  16   5   1   0   2   0   0  93
Max_Kruse     28 ale  1  1 21 19 30 100 523 222 419   8   1  669   0   0   0   1  10  10   2   1   0   0   0 100
Julian_Brandt 20 ale  1  1 21 17 30 100 465 195 837   9   0  742   0   0   0   0  17  17   2   1   2   0   0  90
Max_Arnold    22 ale  1 10 21 12 30 100 102 155 230   7   1  623   1   0   0   6   9  12   3   1   0   0   0 100
Sami_Khedira  29 ale  1 19 21  9 30 100 809 153 772   8   1  652   0   0   0   4   7   6   1   1   0   0   0  96
Seba_Rode     26 ale  1 19 21 11 30 100 520 139 689   8   0  769   0   0   0   5  19   9   2   1   6   0   0  90
Leroy_Sane    21 ale  1  1 21 18 30 100 630   2 652   8   0  710   1   0   0   1   6  14   4   0   2   0   0  93
Marco_Hoger   27 ale  1 19 20 11 30 100 959 961 872   8   0  698   1   0   0   2  13   0   0   2   0   0   0 100
M_Dahoud      20 ale  1  6 20 12 30 100  95 335  97   4   1  331   0   0   0   0   4   2   0   0   2   0   0 100
Sidney_Sam    29 ale  1  1 20 18 30 100 485 204 178   3   1  139   0   0   0   0   3   2   0   0   0   0   0 100
M_Leitner     24 ale  1  8 19 17 30 100 794 851  48   1   1   43   0   0   0   0   1   0   0   0   0   0   0 100
Julian_Weigl  21 ale  1 17 19  9 30 100 241 723 545   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Amin_Younes   23 ale  1  1 19 18 30 100 539 615 314   5   0  477   0   0   0   0   8   7   0   1   2   0   0  96
Paul_Seguin   21 ale  1 17 18  1 30 100 241 665 473   4   1  228   1   0   0   2   1   1   0   1  10   0   0 100
Marlon_Frey   20 ale  1 15 18  7 30 100 137 445 546   6   3  269   0   0   0   0   2   0   0   0   4   0   0 100
Thomas_Muller 27 ale  1  1 11 22 30 100 607 920 762  13   4  814   2   0   0   1   2  32   6   0   2   0   0 100
K_Bellarabi   26 ale  1  1 20 21 30 100 475 646 753   7   0  665   0   0   0   0   9  20   2   1   0   0   0  90
S_Kiessling   32 ale  1  1  1 20 30 100 617 870 315   7   2  492   0   0   0   0   0  16   1   0  12   0   0  90
