Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_Barovero    32 arg 20  1  1  1 30 731 100 100 100   6   0  506   0  32  14   0   0   0   0   0   0   1   0 100
Sergio_Romero 29 arg 20  1  1  1 30 283 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
W_Caballero   35 arg 20  1  1  1 30  24 100 100 100   4   0  377   0  16   8   0   0   0   0   0   0   0   0 100
JP_Carrizo    32 arg 19  1  1  1 30 836 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nico_Otamendi 28 arg  1 23  1  1 30 100  72 910 481  11   1  915   1   0   0  17   0   0   0   0   0   0   0 100
Marcos_Rojo   26 arg  1 22 10  7 30 100 499 650 804  10   0  905   0   0   0   7  10   3   1   1   2   0   0  73
Eze_Garay     30 arg  1 22  1  1 30 100 402 935 523   6   0  567   0   0   0  12   1   0   0   0   2   0   0 100
P_Zabaleta    32 arg  1 22 12  9 30 100 153 347 773   7   1  534   0   0   0   5   6   6   2   1   0   0   0 100
Nico_Pareja   33 arg  1 20  1  1 30 100 868 860 550   7   1  629   0   0   0   4   0   1   1   0   0   0   0  90
M_Demichelis  36 arg  1 20  1  1 30 100 395 895 502   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Fazio       29 arg  1 20  1  1 30 100 288 880 491   3   0  287   0   0   0   2   0   0   0   0   0   0   0 100
Lionel_Messi  29 arg  1  1 24 22 30 100 593 968 862  12   1 1049   2   0   0   1  16  17   1   2   0   0   0  96
A_Di_Maria    28 arg  1  1 22 21 30 100 494 675 146  11   1  932   2   0   0   0  19  21   2   4   2   0   0  87
Javi_Pastore  27 arg  1 11 22 20 30 100 193 562 800   9   0  816   1   0   0   2  17   9   2   1   0   0   0  96
Ever_Banega   28 arg  1 11 22 18 30 100 224 433 290   8   0  766   0   0   0   3  13   8   0   2   2   0   0  90
J_Mascherano  32 arg  1 20 22  1 30 100 891 406 505   6   4  320   0   0   0   1  13   1   0   1   0   0   0 100
Erik_Lamela   24 arg  1  1 21 18 30 100 508 727 952   8   2  589   0   0   0   0   8   7   2   2   4   0   0  94
R_Pereyra     26 arg  1 10 21 19 30 100 940 473 132  10   4  662   0   0   0   2  16   9   2   1   4   0   0 100
Angel_Correa  21 arg  1  1 21 18 30 100 504 416 429   9   2  743   1   0   0   1  12   9   0   1  12   0   0  96
Pablo_Piatti  27 arg  1  1 21 19 30 100 551 396 480   8   0  714   0   0   0   0  10   7   2   0   0   0   0  90
A_Fernandez   30 arg  1 18 21  9 30 100 530  65 632   4   0  379   0   0   0   1   8   2   0   0   2   0   0 100
Diego_Perotti 27 arg  1  1 20 18 30 100 544 695 431   7   0  663   1   0   0   0   8  12   2   0   0   0   0  88
M_Kranevitter 23 arg  1 17 20  1 30 100 510 498 501   3   0  289   0   0   0   2   4   1   0   0   0   0   0  96
Enzo_Perez    30 arg  1 12 19 10 30 100 153 960 538   4   1  333   0   0   0   4   3   2   0   1   2   0   0  81
Eze_Lavezzi   31 arg  1  1 19 19 30 100 490 949 701   6   1  520   1   0   0   0   6  15   2   1   0   0   0 100
Jose_Mauri    20 arg  1 10 19  9 30 100 980 241 521   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kun_Aguero    28 arg  1  1  1 23 30 100 608 930 228  13   1  971   1   0   0   0   0  40  10   0   0   0   0 100
Carlos_Tevez  33 arg  1  1  1 22 30 100 657 920 308  12   1  900   0   0   0   1   0  24   2   0   0   0   0 100
P_Dybala      23 arg  1  1 12 21 30 100 533  30 779  14   4  821   0   0   0   0   1  20   6   0   0   0   0 100
Pipa_Higuain  29 arg  1  1  1 21 30 100 599 799 769  11   2  813   0   0   0   1   0  18   2   0   2   0   0  88
Nico_Gaitan   28 arg  1  1 21 21 30 100 573 326 659  12   2  982   3   0   0   1  10  26   7   1  10   0   0  96
Lucho_Vietto  23 arg  1  1  1 21 30 100 475 875 633  13   1 1142   1   0   0   0   0  28   4   0   2   0   0  92
Mauro_Icardi  23 arg  1  1  1 21 30 100 493 715 338  10   3  731   0   0   0   1   0   7   2   0   6   0   0 100
R_Palacio     34 arg  1  1  1 21 30 100 602 875 108  10   3  734   0   0   0   1   0  16   1   0   4   0   0  90
F_Di_Santo    27 arg  1  1  1 20 30 100 569 930 814   6   1  476   0   0   0   0   0   9   1   0   2   0   0 100
Eze_Ponce     19 arg  1  1  1 16 30 100 340 580 165   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
