Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    24 blg 23  1  1  1 30 456 100 100 100  12   0 1107   1  59  19   0   0   0   0   0   0   0   0 100
S_Mignolet    28 blg 21  1  1  1 30  13 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Koen_Casteels 24 blg 19  1  1  1 30 297 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  27 blg  1 22  1  1 30 100 926 885 583   9   0  842   0   0   0  11   0   0   0   0   6   0   0  94
V_Kompany     30 blg  1 22  1  1 30 100 472 895 477   8   0  705   0   0   0   5   0   0   0   0  12   0   0  96
J_Vertonghen  29 blg  1 22 11  7 30 100 404 486 750   8   0  670   0   0   0   5   3   1   0   0   0   0   0 100
T_Vermaelen   31 blg  1 21  1  1 30 100 309 969 476   5   1  328   0   0   0   2   0   0   0   0   0   0   0 100
Eden_Hazard   26 blg  1  1 23 21 30 100 554 201 607   9   0  857   0   0   0   0  12  19   3   0   0   0   0  78
K_De_Bruyne   25 blg  1  1 23 20 30 100 578  96 648  10   0  847   0   0   0   0  19  32   3   4   4   0   0 100
M_Dembele     29 blg  1 11 21 12 30 100  35 759 172   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nainggolan    28 blg  1 13 21 12 30 100 593 718 871   6   0  573   1   0   0   1  16  10   2   0   2   0   0 100
Yann_Carrasco 23 blg  1  1 21 19 30 100 470 663 851  12   3  904   0   0   0   0  19   9   1   0   2   0   0 100
Thor_Hazard   23 blg  1  1 21 19 30 100 460 374 516   7   7  223   0   0   0   0   2   9   1   0   0   0   0 100
Axel_Witsel   28 blg  1 18 21 10 30 100 245  78 544   9   4  565   0   0   0   3  11  10   0   2   2   0   0 100
Z_Bakkali     21 blg  1  1 21 17 30 100 480  50 409   8   6  360   0   0   0   0   5   4   0   1   4   0   0 100
M_Fellaini    29 blg  1 18 20  9 30 100 862 745 651   6   0  432   1   0   0   1  15   1   0   1   0   0   0 100
M_Lestienne   24 blg  1  1 20 19 30 100 588 688 235   1   0   95   0   0   0   0   1   0   0   0   2   0   0 100
Nacer_Chadli  27 blg  1  1 20 18 30 100 475 537 388   1   0   94   0   0   0   0   1   1   0   0   0   0   0 100
Adnan_Januzaj 21 blg  1  1 19 16 30 100 500 749 928   1   0   94   0   0   0   0   0   1   0   0   0   0   0 100
Romelu_Lukaku 23 blg  1  1  1 23 30 100 701 989  11  15   9  863   0   0   0   1   0  43   8   0   0   0   0 100
Chris_Benteke 26 blg  1  1  1 21 30 100 529 880 558  10   0  964   0   0   0   0   0  12   3   0   4   0   0 100
Divock_Origi  21 blg  1  1 12 21 30 100 463 123 467   9   1  741   1   0   0   0   4  11   3   1   0   0   0  92
Dries_Mertens 29 blg  1  1 20 20 30 100 399 606 789   7   1  443   0   0   0   0   8   5   0   1  20   0   0 100
