Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Diego_Alves   31 bra 21  1  1  1 30 868 100 100 100   3   2  190   0  16   7   0   0   0   0   0   0   0   0 100
Neto          27 bra 20  1  1  1 30 211 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rafael        26 bra 20  1  1  1 30  68 100 100 100   5   3  336   0  22   9   0   0   0   0   0   0   0   0 100
Gabriel       24 bra 18  1  1  1 30 553 100 100 100   1   0   65   0   3   2   0   0   0   0   0   0   0   0 100
Rubinho       34 bra 18  1  1  1 30 341 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Silva  32 bra  1 23  1  1 30 100 706 969 508   6   0  394   0   0   0   8   0   0   0   0   2   0   0 100
Dani_Alves    33 bra  1 23 10 10 30 100 518 707  15  12   1 1041   0   0   0  17   4  14   1   0   2   0   0  93
David_Luiz    29 bra  1 23 11  1 30 100 330 766 500   5   0  477   0   0   0  11   7   2   0   0   2   0   0 100
Marquinhos    22 bra  1 23  1  1 30 100 224 979 501  11   0 1004   0   0   0  19   0   0   0   0   8   0   0  96
Marcelo       28 bra  1 23 11  8 30 100  27 322 722   9   0  860   0   0   0  17  12  10   0   2   0   0   0  96
Alex_Telles   24 bra  1 22 10  9 30 100 908 580 862  10   2  801   0   0   0   6   9   3   0   1   2   0   0  96
Miranda       32 bra  1 22  1  1 30 100 777 969 461   8   0  714   0   0   0   4   0   0   0   0   2   0   0 100
Naldo         34 bra  1 22  1  1 30 100 625 969 590   7   0  665   0   0   0  13   1   2   0   1   2   0   0  90
Filipe_Luis   31 bra  1 22 11  8 30 100 209 380 685  11   1  830   0   0   0   9   7   8   1   0   2   0   0  96
Alex          34 bra  1 21  1  1 30 100 880 983 507   3   0  286   0   0   0   4   0   2   0   0   2   0   0  81
Danilo        25 bra  1 21 10  7 30 100 816 243 658   7   0  666   1   0   0  11   6   6   1   1   2   0   0  93
A_Santos      27 bra  1 21  1  1 30 100 791 889 445   7   0  581   0   0   0  10   1   0   0   0  12   0   0  90
L_Castan      30 bra  1 21  1  1 30 100 720 845 451   6   0  494   0   0   0   8   1   0   0   0   2   0   0 100
Maxwell       35 bra  1 21 10  6 30 100 502 169 818   7   0  579   0   0   0  13   7   5   3   0  10   0   1 100
Jr_Caicara    27 bra  1 21 10  7 30 100 496 253 762   9   2  806   0   0   0  12   5   1   1   0   0   0   0  91
Alex_Sandro   26 bra  1 21 10  9 30 100 467  54 604   6   0  573   0   0   0   3   6   2   1   3   6   0   0 100
Juan_Jesus    25 bra  1 21 11  7 30 100 431 275 642   7   0  635   0   0   0   6   2   2   1   0   0   0   0 100
G_Siqueira    30 bra  1 21  8  7 30 100 426 561 677   4   0  334   0   0   0   3   3   0   0   1   0   0   0 100
Wendell       23 bra  1 21  9  7 30 100 303 946 445   8   0  762   2   0   0  13   7   2   0   0   4   0   0  87
Maicon        35 bra  1 21 10  9 30 100 155 352 637   7   0  575   0   0   0   7   4   5   0   1   2   0   0 100
Dante         33 bra  1 20  1  1 30 100 977 769 420   4   0  332   0   0   0   4   0   0   0   0   0   0   0 100
Rafinha       31 bra  1 20 10  6 30 100 866  31 580   6   1  502   0   0   0   7   3   4   0   0   4   0   0  90
Mariano       30 bra  1 20 10  6 30 100 786 263 587   7   1  622   0   0   0   5   7   2   0   1   0   0   0 100
Emerson       22 bra  1 20  9  6 30 100 502 124 700   7   1  618   1   0   0   7   4   2   1   1   0   0   0  88
Gabriel       26 bra  1 19  1  1 30 100 904 900 505   2   2   76   0   0   0   0   0   0   0   0   0   0   0 100
Adriano       32 bra  1 19  9  7 30 100 632 900 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe        27 bra  1 19  1  1 30 100 396 895 495   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Douglas       26 bra  1 19  9  7 30 100 202 900 500   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Felipe        29 bra  1 18  1  1 30 100 519 900 501   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rodrigo_Ely   23 bra  1 16  1  1 30 100 700 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Douglas_Costa 26 bra  1  1 22 19 30 100 485 443 886  12   2  844   2   0   0   0  15  19   3   0   0   0   0  98
Coutinho      24 bra  1 10 22 20 30 100   1 390 500  10   0  925   2   0   0   3  14  29   4   3   6   0   0  87
Oscar         25 bra  1  1 22 19 30 100 455 177 379   9   0  739   1   0   0   0  16  11   0   3  10   0   0 100
Willian       28 bra  1  1 22 20 30 100 558  69 541   8   0  709   2   0   0   1   9   9   0   3   2   0   0 100
Luiz_Gustavo  29 bra  1 21 21  1 30 100 656 845 392   8   0  760   0   0   0  11   6   1   0   1   4   0   0 100
R_Firmino     25 bra  1  1 21 19 30 100 583 803 455   9   0  852   0   0   0   0  22  17   3   3   2   0   0 100
Casemiro      24 bra  1 18 21  1 30 100 583 716 624   8   3  512   0   0   0   1  18   0   0   2   0   0   0 100
Danilo        20 bra  1 19 21  9 30 100 742 471 629   8   2  562   0   0   0   2   7   2   0   1   2   0   0 100
Kaka          34 bra  1  1 21 19 30 100 475 277 634   8   1  673   0   0   0   0   9   6   1   1   2   0   0  90
Lucas_Leiva   30 bra  1 18 21  7 30 100 517 164 582   9   1  809   0   0   0   5   8   6   0   0  12   0   0  73
Fernando      29 bra  1 19 20  9 30 100 824 962 599   6   0  537   0   0   0   7  11   2   0   1   0   0   0  96
Fernandinho   31 bra  1 12 20  9 30 100 493 947 611   6   0  539   0   0   0   6  10   3   0   0   0   0   0 100
Rafinha       23 bra  1  9 20 18 30 100 748 829  77   1   0   96   0   0   0   0   2   1   0   0   0   0   0 100
Hernanes      31 bra  1 10 20 17 30 100 680 679 102   7   1  530   1   0   0   0  16   2   0   3   0   0   0 100
Felipe_Melo   33 bra  1 18 20  9 30 100 571 540 641   4   0  330   0   0   0   2   5   3   0   0   0   0   0 100
A_Ramalho     24 bra  1 16 19  8 30 100 696 907 640  10   5  508   0   0   0   3   5   2   0   0  12   0   0 100
Allan         26 bra  1 17 19  9 30 100 862 339 443   7   3  415   0   0   0   0   4   1   0   0   4   0   0 100
Kenedy        20 bra  1  1 17 16 30 100 100 230 101   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Pereira     21 bra  1  8 16 16 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerson        19 bra  1  8 16  8 30 100 622 441 392   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Neymar        24 bra  1  1 22 24 30 100 605 592 243  13   0 1158   1   0   0   0  12  44   4   2   6   0   0  84
Pato          27 bra  1  1  1 21 30 100 548 850 171   8   1  655   0   0   0   0   0   6   1   0  12   0   0  90
Gabriel       20 bra  1  1 12 20 30 100  95 105 329   6   0  570   0   0   0   0   1  10   0   0   2   0   0  96
Luiz_Adriano  29 bra  1  1  1 20 30 100 485 885 319   2   0  140   0   0   0   0   0   2   0   0   0   0   0 100
