Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Dario_Kresic  32 cro 16  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dejan_Lovren  27 cro  1 22  1  1 30 100 230 885 480  10   0  964   0   0   0  10   0   0   0   0   0   0   0  99
Tin_Jedvaj    20 cro  1 21 11  7 30 117 423 321 785   7   0  665   1   0   0   6  10   7   1   1   0   0   0  90
Ivan_Tomecak  27 cro  1 21 10  9 30 100 299 244 467   7   0  664   0   0   0  11   4   7   1   0   2   0   0  92
Ivan_Strinic  29 cro  1 20 10  6 30 100 348  78 443   7   2  590   0   0   0   9   5   1   0   0   2   0   0 100
Luka_Modric   31 cro  1 20 23 12 30 100 317 384 997   8   0  765   0   0   0   2  37  12   0   3   0   0   0  96
Ivan_Rakitic  28 cro  1 10 23 12 30 100 960 364 501  11   1  916   1   0   0   2  21  12   0   2   2   0   0 100
Mateo_Kovacic 22 cro  1 10 22  9 30 100  90 183 788   6   0  511   0   0   0   1  14   5   1   0   0   0   0 100
Ivan_Perisic  27 cro  1  1 22 19 30 100 440  44 342  13   4  904   1   0   0   0  20   9   1   2   4   0   0  90
M_Brozovic    24 cro  1  9 20 12 30 100 742 935  43   8   2  547   1   0   0   2  14   6   2   0   6   0   0  90
M_Mandzukic   30 cro  1  1  1 21 30 100 464 745 171  10   2  741   0   0   0   0   0  18   1   0   0   0   0  96
Halilovic     20 cro  1  1 20 20 30 100  95  95 192   7   4  420   0   0   0   0   0   7   2   0   2   0   0 100
