Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 23  1  1  1 30 304 100 100 100  10   0  940   0  30  12   0   0   0   0   0   0   0   0 100
S_Ruffier     29 fra 21  1  1  1 30 953 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Areola      23 fra 21  1  1  1 30 883 100 100 100   9   2  687   0  23   8   0   0   0   0   0   2   0   0 100
Lafont        17 fra 20  1  1  1 30 771 100 100 100  12   0 1155   0 127  52   0   0   0   0   0   0   0   0 100
N_Douchez     36 fra 17  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rapha_Varane  23 fra  1 23  1  1 30 100 348 795 384   7   0  663   0   0   0  13   0   1   0   0  12   0   0 100
L_Koscielny   31 fra  1 23  1  1 30 100 277 976 512   8   0  656   0   0   0   8   1   0   0   1  12   0   0  96
A_Laporte     22 fra  1 22  1  1 30 100 922 880 494  10   0  937   0   0   0  11   0   3   0   0   4   0   0  87
J_Mathieu     33 fra  1 22 10  7 30 100 634 566 763   8   1  664   1   0   0   9   5   7   1   0   0   0   0  93
Kurt_Zouma    22 fra  1 22  1  1 30 100 407 974 488   8   1  712   0   0   0   9   0   0   0   0   0   0   0 100
L_Kurzawa     24 fra  1 22 10  7 30 100 266 340 549   5   0  477   0   0   0   7   5   4   0   0   2   0   0 100
M_Sakho       26 fra  1 22  1  1 30 100 187 790 404  10   1  900   0   0   0   8   0   2   0   0   2   0   0 100
Gael_Clichy   31 fra  1 21 10  7 30 100 846 320 538   6   1  498   0   0   0   6   5   3   0   2   0   0   0  96
B_Tremoulinas 31 fra  1 21 10  7 30 100 766 282 763   7   0  667   0   0   0   6   7   2   0   0   0   0   0 100
Lucas_Digne   23 fra  1 21 10  7 30 100 754 117 631   7   0  675   1   0   0   5   4   1   0   0   2   0   0  88
E_Mangala     25 fra  1 21  2  1 30 100 717  78 546  11   3  899   0   0   0  12   3   3   1   1   2   0   0 100
Adil_Rami     31 fra  1 21  1  1 30 100 503 890 487   5   0  475   0   0   0   5   0   0   0   0   0   0   0 100
Phil_Mexes    34 fra  1 21  2  1 30 100 424  20 485   3   0  286   0   0   0   7   2   0   0   1   0   0   0  81
Patrice_Evra  35 fra  1 21 12  8 30 100 353 326 702   7   1  609   0   0   0   5   3   2   0   0   0   0   0 100
Bacary_Sagna  33 fra  1 21 10  7 30 100 343 402 622  10   1  877   0   0   0  10  11   4   0   2   2   0   0  96
Isimat-Mirin  25 fra  1 20  1  1 30 100 430 944 503   9   1  782   0   0   0   5   1   1   0   0   0   0   0  90
Kolodziejczak 25 fra  1 19  9  7 30 100 233 900 506   1   0   94   0   0   0   0   0   2   0   0   0   0   0 100
L_Hernandez   20 fra  1 18  6  4 30 100 108 915 508   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Paul_Pogba    23 fra  1 12 23 17 30 100 255 651 707  12   6  568   0   0   0   3  21  15   4   4   2   0   0 100
A_Griezmann   25 fra  1  1 23 21 30 100 588  12 168  12   1 1041   3   0   0   0  17  23   4   3   0   0   0 100
B_Matuidi     29 fra  1 21 22 13 30 100 154 456  75   7   1  653   0   0   0   5  15  11   0   2   0   0   0 100
Dimitri_Payet 29 fra  1  1 22 20 30 100 548 217 304  10   0  964   0   0   0   0   9  15   1   1   2   0   0 100
N'Golo_Kant�  25 fra  1 21 22  1 30 100 253 143 491   8   1  666   1   0   0   8  15   0   0   0   0   0   0 100
Schneiderlin  27 fra  1 21 22 10 30 100 530 131 860   8   0  766   1   0   0   8  11   9   1   1   0   0   0  73
Franck_Ribery 33 fra  1  1 21 21 30 100 589 990 171   8   3  550   0   0   0   1  11  15   4   2   0   0   0 100
B_Stambouli   26 fra  1 19 21  9 30 100 831 979 725  10   0  911   2   0   0   4  33   7   0   4   2   0   0  86
Adrien_Rabiot 21 fra  1 12 21 11 30 100 481 674 859   9   3  729   2   0   0   2  21  10   4   0   0   0   0 100
G_Kondogbia   23 fra  1 18 21 10 30 100 984 662 724  10   0  964   0   0   0  19  18   1   0   1   2   0   0 100
Samir_Nasri   29 fra  1  1 21 20 30 100 578 436 723  11   3  726   0   0   0   0   8  20   2   0   0   0   0 100
J_Guilavogui  26 fra  1 19 21  9 30 100 581 308 894   5   0  478   1   0   0   7   9   9   3   1   0   0   0  92
S_Nzonzi      28 fra  1 18 21  9 30 100 371  92 885   7   0  561   1   0   0   1  12   9   2   0  14   0   0  90
O_Demb�l�     19 fra  1  1 20 20 30 100  95 865 198   9   0  865   1   0   0   0   8  24   1   2   2   0   0 100
Morgan_Sanson 22 fra  1 19 20  1 30 100 317 800 159   7   0  614   0   0   0   7  10   1   1   0   0   0   0  90
Thomas_Lemar  21 fra  1  1 20 20 30 100  95 715 185   6   3  338   0   0   0   0   2   8   2   0   2   0   0 100
F_Coquelin    25 fra  1 19 20  9 30 100  55 607 572   8   7  356   0   0   0   1   8   3   0   0   0   0   0 100
C_Tolisso     22 fra  1 20 20  1 30 100 250 590 100   4   0  381   0   0   0   5   9   0   0   0   0   0   0  96
K_Coman       20 fra  1  1 20 18 30 100 495 499  41   6   2  406   0   0   0   0   2  12   1   1   0   0   0 100
Koziello      21 fra  1 20 20  1 30 100 145 490  85   8   1  675   1   0   0   2   7   0   0   3   6   0   0 100
J_Biabiany    28 fra  1  1 20 19 30 100 485 213 199   2   1  124   0   0   0   0   1   1   0   0   0   0   0 100
