Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
J_Cillessen   27 hol 22  1  1  1 30 670 100 100 100  13   0 1181   0  58  21   0   0   0   0   0   2   0   0 100
Jeroen_Zoet   26 hol 22  1  1  1 30 589 100 100 100  14   0 1325   0  56  22   0   0   0   0   0   0   0   0 100
Michel_Vorm   33 hol 20  1  1  1 30 232 100 100 100   4   1  282   0   7   4   0   0   0   0   0   0   0   0 100
R_Pasveer     33 hol 18  1  1  1 30  80 100 100 100   1   0   97   0   3   3   0   0   0   0   0   0   0   0 100
L_Koopmans    23 hol 17  1  1  1 30 368 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diederik_Boer 36 hol 16  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_de_Vrij     25 hol  1 22  1  1 30 100 554 969 559   7   0  505   0   0   0   6   1   0   0   0   0   0   0 100
Joel_Veltman  25 hol  1 22  2  1 30 100 503  29 505   9   0  863   0   0   0  16   1   0   0   0   0   0   0 100
J_Riedewald   20 hol  1 22 10  6 30 100 241 373 713  10   2  910   0   0   0  14   4   4   1   0   4   0   0 100
Kenny_Tete    21 hol  1 22 10  7 30 100 210 746 904  12   1  939   0   0   0  14   7   8   1   1   6   0   0  92
M_Dijks       23 hol  1 22 10  6 30 100  44 121 806  10   0  907   1   0   0  11   5   4   2   0   4   0   0 100
Jetro_Willems 22 hol  1 21 10  6 30 100 928 478 605   7   0  655   0   0   0   7   6   2   0   0   4   0   0  90
Van_der_Wiel  28 hol  1 21 10  7 30 100 718 196 752  10   0  964   0   0   0  18   4   3   1   1   0   0   0  99
R_van_Rhijn   25 hol  1 21 10  7 30 100 653 332 601  10   1  912   0   0   0  20   6   6   0   1   0   0   0  96
Jeffrey_Bruma 25 hol  1 21 11  7 30 100 502 401 605   8   1  670   0   0   0   9   4   2   0   0   6   0   0 100
Daley_Blind   26 hol  1 21 18  1 30 100 219 640 481   6   0  530   1   0   0  11   9   0   0   2   0   0   0 100
Joshua_Brenet 22 hol  1 21 10  7 30 100 144  91 684   6   0  545   2   0   0   6   3   7   0   0   2   1   0 100
Van_der_Hoorn 24 hol  1 20  1  1 30 100 358 885 478   8   1  645   0   0   0   7   0   1   0   0   2   0   0  96
Menno_Koch    22 hol  1 20  1  1 30 100 192 855 539   8   0  758   1   0   0  13   1   1   0   0   0   0   0  90
J_de_Wijs     22 hol  1 19  1  1 30 100 277 970 562   7   1  619   0   0   0   8   0   0   0   0   6   0   0 100
N_Viergever   27 hol  1 19  9  6 30 100 276 930 557   6   0  570   0   0   0  11   0   5   0   0   2   0   0  96
S_Alberto     20 hol  1 18  1  1 30 100 514 915 495   2   0  158   0   0   0   1   1   0   0   0   2   0   0 100
Arjen_Robben  33 hol  1  1 22 21 30 100 509 817 740   9   2  666   0   0   0   0   6  32   4   3   6   0   0 100
R_Bazoer      20 hol  1 10 22  9 30 100 542 790 892  15   6  819   0   0   0   4  25   8   3   2   2   0   0 100
Memphis_Depay 22 hol  1  1 22 20 30 100 598 404  22  14   0  874   0   0   0   1   7  21   3   1   0   0   0 100
Davy_Klaassen 23 hol  1 10 21 19 30 100  93 875 446   9   0  810   0   0   0   2  18   9   4   0   2   0   0  96
J_Hendrix     21 hol  1 18 21  1 30 100 330 708 455   7   2  525   0   0   0   1  13   1   0   1   2   0   0  92
K_Strootman   26 hol  1 12 21 11 30 100 510 661 695   7   0  675   0   0   0   1   9   6   0   2   2   0   0  88
Davy_Propper  25 hol  1 11 20  9 30 100 293 837 567   7   0  588   0   0   0   2  11   1   0   0  12   0   0 100
A_El_Ghazi    21 hol  1  1 20 17 30 100 548 724  90   6   0  572   1   0   0   0  13  11   3   3   0   0   0  96
Adam_Maher    23 hol  1  8 20 17 30 100 573 704 146   2   0  139   0   0   0   1   0   0   0   0   0   0   0 100
M_van_Ginkel  24 hol  1  9 20 11 30 100 925 458 162   7   0  664   0   0   0   3   6   2   0   0   2   0   0 100
Tonny_Vilhena 21 hol  1  6 20 12 30 100 139 335 122  10   1  832   1   0   0   1  15  11   0   2   2   0   0  87
L_Narsingh    26 hol  1  1 19 16 30 100 495 809 967   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Stijn_Schaars 33 hol  1 17 19  1 30 100 866 749 501   8   0  758   0   0   0   2  11   1   0   2   0   0   0  90
D_Sinkgraven  21 hol  1  1 18 16 30 100 500 999 902   1   0   97   0   0   0   0   1   0   0   0   0   0   0 100
F_Jozefzoon   25 hol  1  1 18 16 30 100 500 521   9   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kenneth_Paal  19 hol  1  1 17 15 30 100 500 601 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Bergwijn    19 hol  1  1 17 15 30 100 500 137 965   1   0   97   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_de_Jong  26 hol  1  1  1 21 30 100 529 880 490   7   0  661   0   0   0   1   0  23   3   0   0   0   0  90
Bas_Dost      27 hol  1  1  1 21 30 100 544 905 190   7   0  664   1   0   0   0   0  10   4   0   6   0   0 100
KJ-Huntelaar  33 hol  1  1  1 21 30 100 584 955 171   8   0  715   0   0   0   0   0  17   1   0   0   0   0  96
J_Locadia     23 hol  1  1 11 20 30 100 613  46 962   8   1  634   0   0   0   0   2   9   2   0  14   0   0  90
R_Zivkovic    20 hol  1  1  1 19 30 100 544 895 213   7   0  669   0   0   0   0   0  14   6   0   2   0   0  96
D_van_de_Beek 19 hol  1  1 17 17 30 100 500 437 506   5   0  476   0   0   0   0   7  16   0   2   0   0   0  96
