Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joe_Hart      29 ing 22  1  1  1 30 978 100 100 100  11   0 1053   0  67  23   0   0   0   0   0   0   0   0 100
Sam_Johnstone 23 ing 17  1  1  1 30 801 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Wright      39 ing 17  1  1  1 30   2 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matt_Macey    22 ing 16  1  1  1 30 801 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Blackman    23 ing 16  1  1  1 30 177 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Phil_Jones    24 ing  1 22  1  1 30 100 830 815 479  10   0  833   0   0   0  18   0   1   1   0  12   0   0  73
Luke_Shaw     21 ing  1 22 10  9 30 100 617 300 805  10   3  753   1   0   0  17   4   5   0   1  14   0   0  90
Gary_Cahill   31 ing  1 22  1  1 30 100 556 918 447   9   1  760   0   0   0  11   0   1   0   0  14   0   0  90
C_Smalling    27 ing  1 22  1  1 30 100 482 850 461   9   1  780   0   0   0  13   0   0   0   0   4   0   0 100
Nath_Clyne    25 ing  1 22 10  9 30 100 355 352 611   8   1  645   0   0   0   8  11   3   0   1   0   0   0 100
John_Terry    36 ing  1 22  1  1 30 100 347 875 457   8   2  673   0   0   0   9   0   0   0   0   6   0   0  93
Kyle_Walker   26 ing  1 22 10  7 30 100  13 182 606   8   0  752   0   0   0  10   4   3   0   0   0   0   0  94
K_Trippier    26 ing  1 21 11  7 30 100 826 155 642   9   2  792   0   0   0   7   4   5   1   0   2   0   0  94
Kieran_Gibbs  27 ing  1 21 10  7 30 100 775 203 683   8   1  620   0   0   0   8   5   6   0   0   8   0   0  96
S_Caulker     25 ing  1 21  1  1 30 100 299 860 446   7   1  666   0   0   0   4   0   1   0   0   4   0   0 100
Danny_Rose    26 ing  1 21 10  9 30 100 277 153 545   6   1  495   1   0   0   8   5   1   0   2   4   0   0  89
Jon_Flanagan  24 ing  1 20 10  6 30 100 834 105 714   9   0  728   1   0   0  13   8   4   3   0  12   0   0  92
C_Chambers    22 ing  1 20  9  6 30 100 457 960 549   8   7  365   0   0   0   1   2   1   0   0   0   0   0 100
Joe_Gomez     19 ing  1 16  8  5 30 100 500 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Randall     21 ing  1 16  8  6 30 100 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Sterling    22 ing  1  1 22 20 30 100 465 738 669   9   1  756   4   0   0   0  28  34   4   9   0   0   0  96
Jack_Wilshere 25 ing  1 10 21  9 30 100 526 699 911   6   0  526   0   0   0   4   8   2   0   0   2   0   0 100
Theo_Walcott  27 ing  1  1 21 19 30 100 530 602 262   6   2  454   0   0   0   0  11   6   0   0   0   0   0 100
J_Henderson   26 ing  1 12 21 11 30 100 305 593 724  10   0  853   0   0   0   2  18   4   0   2   0   0   0  96
Ross_Barkley  23 ing  1  1 21 18 30 100 530 199 308   8   2  623   0   0   0   0   9  18   1   1   0   0   0 100
Adam_Lallana  28 ing  1  1 21 19 30 100 578 198 138  11   3  902   0   0   0   0   9  13   1   2   4   0   0  96
Eric_Dier     23 ing  1 18 20  1 30 100 832 886 499   7   0  652   0   0   0   3  10   1   0   0   0   0   0 100
Dele_Alli     20 ing  1  9 20 11 30 100 808 876  64   7   0  579   1   0   0   1   7   5   3   0   4   0   0 100
James_Milner  31 ing  1 12 20 11 30 100 525 775 571   8   0  758   1   0   0   5  17   9   0   1   2   0   0  90
M_Carrick     35 ing  1 18 20  7 30 100 349 610 739   7   4  414   0   0   0   1   3   4   0   0   2   0   0 100
Ryan_Mason    25 ing  1  9 20 11 30 100 831 300  83   5   0  471   1   0   0   0  11   1   0   1   2   0   0 100
Fabian_Delph  27 ing  1 12 20 11 30 100 266 242 531   5   4  227   0   0   0   3   7   4   0   1   0   0   0 100
Ashley_Young  31 ing  1  1 20 18 30 100 500 112 136   3   1  146   0   0   0   0   1   4   1   0   0   0   0 100
Frank_Lampard 38 ing  1 10 19  9 30 100 167 911 590   2   1  147   0   0   0   0   2   0   0   1   0   0   0 100
J_Onomah      19 ing  1  1 19 15 30 100 500   2 900   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jesse_Lingard 24 ing  1  1 16 15 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tom_Carroll   24 ing  1 15 16  8 30 100 100 900 105   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Loftus-Cheek  21 ing  1  8 16  8 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordon_Ibe    21 ing  1  1 16 15 30 100 100 700 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Chalobah    22 ing  1 11 16  8 30 100 100 248 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Wayne_Rooney  31 ing  1  1 11 22 30 100 509  31 244  13   3  767   0   0   0   0   2  12   3   0  14   0   1 100
Harry_Kane    23 ing  1  1  1 22 30 100 519 899 202  12   4  737   1   0   0   1   1  28   5   0   2   0   0  94
Jamie_Vardy   29 ing  1  1  1 22 30 100 573 885 174  15   5 1089   0   0   0   1   0  44  11   0   0   0   0  87
D_Sturridge   27 ing  1  1 12 21 30 100 676 104 773  10   0  897   0   0   0   1   3  18   4   0   4   0   0 100
Danny_Ings    24 ing  1  1  1 20 30 100 480 900 855   9   1  724   1   0   0   0   0  15   5   0   2   0   0  96
Danny_Welbeck 26 ing  1  1 12 20 30 100 555  80 746   7   5  345   0   0   0   0   1   7   2   0   0   0   0 100
M_Rashford    19 ing  1  1  1 20 30 100 100 100 263   7   2  581   0   0   0   0   0  17   3   0   0   0   0  90
Chamberlain   23 ing  1  1 19 19 30 100 500 251 668   1   1   25   0   0   0   0   0   0   0   0   0   0   0 100
