Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Beto          34 por 19  1  1  1 30 835 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          33 por  1 22  1  1 30 100 574 885 540   9   1  757   1   0   0   7   1   6   1   0   0   0   0  93
Dani_Carrico  28 por  1 22 18  1 30 100  27 856 494   8   0  766   0   0   0   4  10   1   0   0   6   0   0  90
Ruben_Vezo    22 por  1 21  1  1 30 100 921 940 496   8   1  666   0   0   0  14   1   0   0   0   0   0   0 100
D_Figueiras   26 por  1 21 10  7 30 100 770  86 645   8   1  712   1   0   0   7   6   3   0   1   2   0   0  90
Joao_Cancelo  22 por  1 21 10  6 30 100 491  87 676   6   0  507   0   0   0   3   5   1   1   0  10   0   1 100
Tiago_Ilori   23 por  1 20  1  1 30 100 332 890 496   6   2  487   0   0   0   7   0   1   0   0   2   0   0  96
Moutinho      30 por  1 12 22 16 30 100 964 563 226   9   0  864   1   0   0   1  21  15   2   1   2   0   0 100
Andre_Gomes   23 por  1  9 22 18 30 100 803 162 573   8   0  733   0   0   0   3  12   9   3   0   0   0   0 100
Joao_Mario    23 por  1 11 22 15 30 100 724   2  52   7   0  672   1   0   0   2  10   5   1   1   2   0   0  90
Tiago         35 por  1 20 21  8 30 100 302 718 764  11   1  857   0   0   0  10  21   5   0   1   0   0   0 100
Vieirinha     31 por  1  9 20 19 30 100 777 870 442   6   1  507   2   0   0   2  11  13   4   2   2   0   0 100
Renato_S      19 por  1 10 20  5 30 100 100 140 100   2   0  188   0   0   0   0   4   0   0   0   0   0   0 100
Joao_Teixeira 24 por  1  1 16 16 30 100 100 900 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Ronaldo     31 por  1  1 23 23 30 100 617 654 785  11   1  913   4   0   0   0  15  32   3   5   0   0   0  93
