Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  26 esp 24  1  1  1 30 545 100 100 100   3   0  287   0  14   2   0   0   0   0   0   0   0   0 100
J_Cillessen   27 ned 20  1  1  1 30 288 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jordi_Masip   28 esp 18  1  1  1 30 140 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  30 esp  1 21  1  1 30 100 892 692 731   2   0  143   0   0   0   2   0   0   0   0   1   3   0 100
Jordi_Alba    28 esp  1 21 13  6 30 100 576  36 798   2   0  190   0   0   0   2   2   1   0   0   0   0   0  86
M_Musacchio   26 arg  1 20  1  1 30 100 988 728 722   2   0  189   0   0   0   2   0   2   0   0   1   0   0 100
Nélson_Semedo 23 por  1 20 11  5 30 100  83 801 686   2   0  190   0   0   0   2   1   0   0   0   0   0   0  86
Lucas_Digne   23 fra  1 20 11  5 30 100  36 926 799   1   0   97   0   0   0   2   6   0   0   0   0   0   0 100
V_Chiriches   27 rou  1 19  1  1 30 100 701 688 694   2   1  144   0   0   0   0   0   0   0   0   1   0   0  86
Ignazio_Abate 30 ita  1 19 11  5 30 100 701 941 674   1   0   98   0   0   0   1   2   0   0   0   0   0   0  86
Aleix_Vidal   27 esp  1 19 11  5 30 100 264 781 709   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Kolasinac   23 bih  1 19  9  5 30 100 156 211  91   1   0   97   0   0   0   1   1   0   0   0   0   0   0 100
S_Busquets    28 esp  1 18 21  2 30 100 988 892 777   2   0  190   0   0   0   0   1   0   0   0   0   0   0  86
D_Pereira     25 por  1 18 20  1 30 100 710 767 699   1   0   97   0   0   0   0   1   1   0   1   0   0   0 100
A_Iniesta     32 esp  1  7 23 15 30 100 668 132  71   3   0  267   0   0   0   1   7   6   0   1   0   0   0  83
Ivan_Rakitic  29 cro  1  8 21 12 30 100 592 852 859   1   0   97   0   0   0   0   3   3   1   0   0   0   0 100
André_Gomes   23 por  1 13 21  6 30 100 706   4 725   2   0  190   0   0   0   1   4   3   0   0   0   0   0  86
Sergi_Roberto 25 esp  1 12 20  7 30 100 680 163 766   1   0   97   0   0   0   0   2   0   0   0   0   0   0 100
R_Betancur    19 uru  1  9 18  8 30 100 648 526 719   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas         24 bra  1  1 20 17 30 100 591 439 926   3   1  210   0   0   0   1   1   3   0   0   0   0   0  86
Lionel_Messi  29 arg  1  1 21 24 30 100 572 143 303   3   0  256   0   0   0   0   2   8   1   1   1   0   0  85
Paulo_Dybala  23 arg  1  1 18 22 30 100 579 792 237   3   1  182   1   0   0   0   0   5   2   0   0   0   0  97
Mauro_Icardi  24 arg  1  1  1 20 30 100 153 147 490   3   2  136   0   0   0   0   1   3   0   0   0   0   0 100
Ahmed_Musa    24 nga  1  1  1 19 30 100 578 698 186   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
