Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   26 sui 23  1  1  1 30 115 100 100 100  15   0 1294   0  57  17   0   0   0   0   0   5   0   0 100
Weidenfeller  36 ger 19  1  1  1 30 330 100 100 100  15   4 1185   0  47  18   0   0   0   0   0   0   0   0 100
H_Bonmann     23 ger 17  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      28 gre  1 21  1  1 30 100 657 746 890  13   0 1126   0   0   0  14   0   1   1   0   6   0   0  88
L_Piszczek    31 pol  1 21 11  5 30 100 493 209 977   9   1  810   1   0   0  12   8   6   0   0   1   0   0 100
Sven_Bender   27 ger  1 20  1  1 30 100 811 786 878  12   0 1147   0   0   0  11   1   1   0   0   1   0   0  88
Marc_Bartra   26 esp  1 20  1  1 30 100 682 751 941  12   0 1095   0   0   0  10   0   5   1   0   0   0   0  88
R_Guerreiro   23 por  1 20 10  5 30 100 679 941 800  12   0 1065   0   0   0  27  13   4   1   0   8   0   0 100
M_Schmelzer   29 ger  1 20 12  8 30 100 655  48  15  10   3  820   0   0   0   6  12   4   0   1   1   0   0  88
M_Ginter      23 ger  1 20  1  1 30 100 200 762 922  11   0 1048   0   0   0  13   0   1   1   0   3   0   0 100
Erik_Durm     24 ger  1 19 11  5 30 100 874 952 942  11   0 1048   0   0   0  17   6   3   0   1   1   0   0 100
J_Riedewald   20 ned  1 19  1  1 30 100 369 753 880  11   0 1048   0   0   0  16   1   1   0   0   1   0   0 100
Joo-Ho_Park   30 kor  1 19  7  4 30 100 108 795 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Julian_Weigl  21 ger  1 18 21  2 30 100 131 237 956  14   1 1269   2   0   0   7  32   6   1   7   1   0   0  88
Dzenis_Burnic 18 ger  1 14 16  2 30 100 880 930 880   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Castro      29 ger  1 13 20  8 30 100 175 849  12   9   0  842   1   0   0   8  21   6   1   4  12   0   0 100
A_Bertolacci  26 ita  1 12 19  6 30 100 990 807 889  12   8  566   0   0   0   0  16   3   1   0   5   0   0 100
Nuri_Sahin    28 tur  1 12 19  6 30 100 911 485 859   3   2  161   0   0   0   1   0   1   0   0   0   0   0 100
Mikel_Merino  20 esp  1 11 19  7 30 100 916 266 897  11   0 1048   0   0   0   1  14   4   0   1   1   0   0 100
Marco_Reus    27 ger  1  1 22 19 30 100 889 497 638  14   0 1169   2   0   0   0  22  30   3   5   2   0   0  99
X_Shaqiri     25 sui  1  1 21 19 30 100 863 202 632  15   0 1391   3   0   0   0  35  38   5   6   1   0   0  88
Mario_Götze   24 ger  1  1 21 18 30 100 893  81 429  13   0 1046   0   0   0   0  20  21   5   1   2   0   0  88
A_Schürrle    26 ger  1  1 20 19 30 100 852 644 339  21  11 1122   1   0   0   1  23  27   3   3   6   0   0 100
A_Schöpf      23 aut  1  1 19 17 30 100 303  73 441  10   1  757   2   0   0   2  19  10   1   2   3   0   0 100
P_Aubameyang  27 gab  1  1  1 22 30 100 896 796 234  19   7 1049   1   0   0   1   1  26  10   0   1   0   0  99
O_Dembélé     19 fra  1  1 19 21 30 100 854  81 566  25  12 1352   2   0   0   0  14  52  11   2   3   0   0  99
C_Pulisic     18 usa  1  1 16 19 30 100 813 772 829  20  10  932   2   0   0   0   4  35   9   2   6   0   0 100
Emre_Mor      19 tur  1  1 16 18 30 100 868 785 792  11   7  514   0   0   0   0   3  20   2   0   0   0   0 100
Vaclav_Cerny  19 cze  1  1 15 18 30 100 869 820 579  11   3  599   0   0   0   0   5  10   1   1   3   0   0 100
