Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bernd_Leno    25 ger 23  1  1  1 30 478 100 100 100  43   0 3862   0 216  67   0   0   0   0   0   3   0   0 100
Ramazan_Özcan 32 aut 20  1  1  1 30 770 100 100 100  22   2 1856   0  82  37   0   0   0   0   0   4   0   0 100
Niklas_Lomb   23 ger 18  1  1  1 30  91 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ömer_Toprak   27 tur  1 22  2  2 30 100 116  70 190  55   0 3610   0   0   0  65   2   6   1   0   4   0   0 100
Jonathan_Tah  21 ger  1 21  2  2 30 125 840 102 165  39   2 3289   1   0   0  37   2   4   0   1  11   0   0 100
A_Dragovic    26 aut  1 21  2  2 30  89 181  22 157  42   0 3742   0   0   1  59   3   8   0   0  20   0   0 100
Wendell       23 bra  1 20 12  6 30 100 609 571 254  41  16 2801   1   0   0  42  36  14   2   5  10   0   0 100
Tin_Jedvaj    21 cro  1 20  2  2 30 100 336  78 146  33  12 2414   0   0   0  32   3   1   0   1   6   0   0 100
B_Henrichs    20 ger  1 20 12  6 30 100 163 349 273  22  14 1371   0   0   0  21  11   4   2   1   2   0   0 100
R_Hilbert     32 ger  1 19 12  6 30 100 543 344 200   8   6  418   0   0   0   3   5   2   0   1   0   0   0 100
D_da_Costa    23 ger  1 19 11  6 30 100  22  64 172   2   2   75   0   0   0   2   0   0   0   0   0   0   0 100
J_Abu_Hanna   19 ger  1 17  2  2 30 100 461  61 181   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lars_Bender   27 ger  1 19 22  2 30 100 982 120 138  50   3 4578   1   0   0  46  87   4   0  15  10   0   0 100
Baumgartinger 29 aut  1 18 20  2 30 100 685 909 223  50  17 3555   0   0   0  28  67   4   1  10   9   0   0 100
Kevin_Kampl   26 svn  1  8 21 13 30 100 494 762 552  47   0 3272   3   0   0  10  70  40   6   6   1   0   0 100
M_Fellaini    29 bel  1  8 20 12 30 100 337 544 360  43  11 3317   0   0   0   9  48  27   1   6   8   0   0 100
C_Aránguiz    27 chi  1 12 20  8 30 100 227 281 266  29  15 1738   0   0   0   4  41  19   2   2  10   0   0 100
V_Yurchenko   23 ukr  1  9 18 10 30 100 206 326 184   3   3   86   0   0   0   0   1   2   0   0   0   0   0 100
K_Bellarabi   26 ger  1  2 21 20 30 100 222 850 294  44   0 4124   8   0   0   2  68  89  15   7   9   0   0 100
Julian_Brandt 20 ger  1  2 20 18 30 100 146 887 572  30   0 2846   1   0   0   1  46  48   6   3   4   0   0 100
D_Cheryshev   26 rus  1  2 20 18 30 100 195 142 369   2   0  191   0   0   0   0   4   3   0   1   0   0   0 100
Kevin_Volland 24 ger  1  2 19 22 30 100 120 761 457  56   3 4550  10   0   0   1  38 144  33   4  11   0   0 100
H_Calhanoglu  23 tur  1  2 19 21 30 100 209 530 951  61  14 4049   3   0   0   2  26 120  22   0   9   0   0 100
M_Batshuayi   23 bel  1  2  2 20 30 100 119   6 965  39  27 1576   0   0   0   0   0  61   5   0  11   0   0 100
Admir_Mehmedi 26 sui  1  2 18 20 30 100 184 416 722  25   9 1477   1   0   0   1  13  53   8   0   0   0   0 100
S_Kiebling    33 ger  1  2  2 19 30 100 130  10 881   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pohjanpalo  22 fin  1  2  2 19 30 100 170  50  93   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
