Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  31 ger 25  1  1  1 30 238 100 100 100   3   0  291   0   7   2   0   0   0   0   0   0   0   0 100
Sven_Ulreich  28 ger 19  1  1  1 30 399 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Sarr        20 sen 17  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Boateng     28 ger  1 22  1  1 30 100 396 695 566   2   0  193   0   0   0   5   0   0   0   0   0   0   0 100
Philipp_Lahm  33 ger  1 22 19  6 30  93 367 192 754   2   0  181   0   0   0   1   0   1   0   0   0   0   0 100
David_Alaba   24 aut  1 21 19  6 30 100 961 103 716   3   0  267   0   0   0   3   1   0   0   0   0   0   0  81
S_Mustafi     24 ger  1 21  1  1 30 100 354 682 615   2   0  182   0   0   0   1   0   0   0   0   1   0   0  91
Luke_Shaw     21 eng  1 20 12  6 30 100 667  40 680   2   0  193   0   0   0   3   3   2   0   0   1   0   0  81
P_Mertesacker 32 ger  1 20  1  1 30 100 417 676 628   1   0   98   1   0   0   2   0   0   0   0   0   0   0 100
Paul_Baysse   28 fra  1 19  1  1 30 100 778 688 578   1   0   98   0   0   0   0   0   0   0   0   0   0   0  86
Rafinha       31 bra  1 19  9  5 30 100 135 267 154   2   2   26   0   0   0   0   1   1   0   0   0   0   0 100
Granit_Xhaka  24 sui  1 17 21  2 30 100 884  44 624   2   0  196   0   0   0   0   4   0   0   0   1   0   0  86
Walace        21 bra  1 16 19  2 30 100 848  13 805   2   1  119   0   0   0   0   2   0   0   0   0   0   0 100
B_Stambouli   26 fra  1 17 18  1 30 100 266 868 133   1   1   24   0   0   0   0   1   0   0   0   0   0   0 100
Paul_Pogba    24 fra  1 10 22 10 30 100 868 470 889   3   0  255   0   0   0   0   3   4   0   0   1   0   0  85
M_Verratti    24 ita  1 14 22  6 30 100 900 111 639   2   0  172   0   0   0   0   3   1   0   0   1   0   0  96
M_Pjanic      26 bih  1 12 21  8 30 100 701 395 591   2   0  137   0   0   0   1   2   2   0   0   5   0   0 100
Yaya_Touré    33 civ  1 11 20  8 30 100 700 792 795   3   3   55   0   0   0   0   0   1   0   0   1   0   0 100
Douglas_Costa 26 bra  1  1 21 18 30 100 678 151 250   2   0  193   1   0   0   0   3   3   1   0   0   0   0  81
Leroy_Sané    21 ger  1  1 20 18 30 100 518 169 889   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gareth_Bale   27 wal  1  1 20 22 30 100 594 892 758   2   0  174   0   0   0   0   1   7   0   0   0   0   0 100
G_Higuaín     29 arg  1  1  1 22 30 100 662 657 685   2   0  157   0   0   0   0   0   5   0   0   0   0   0  93
Vitolo        27 esp  1  1 18 20 30 100 376 635 408   2   2   36   0   0   0   0   0   1   0   0   0   0   0 100
Breel_Embolo  20 sui  1  1 17 19 30 100  82 228 343   1   0   98   0   0   0   0   1   2   0   0   0   0   0  86
