Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    24 bel 23  1  1  1 30 907 100 100 100  61   0 5820   0 304  88   0   0   0   0   0   0   0   0 100
Keylor_Navas  30 crc 20  1  1  1 30 850 100 100 100   7   1  568   0  20   7   0   0   0   0   0   0   0   0 100
Eduardo       34 por 18  1  1  1 30 132 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Cahill   31 eng  1 20  1  1 30 100 960 319 312  36   0 3055   1   0   0  37   2   3   0   0   6   0   0 100
C_Azpilicueta 27 esp  1 20 10  5 30 100 878 934 407  32   1 2916   1   0   0  40  33   8   0   5   6   0   0 100
Kurt_Zouma    22 fra  1 20  1  1 30 100 424 386 353  37   1 3361   0   0   0  42   4   5   0   1   8   0   0 100
Daley_Blind   27 ned  1 20 10  6 30 100 408 674 515  32   3 2777   0   0   0  38  24  23   2   1   6   0   0 100
John_Terry    36 eng  1 19  1  1 30 100 710 317 350  18   2 1617   0   0   0  10   1   0   0   0   3   0   0 100
Nathan_Aké    22 ned  1 19  1  1 30 100  91 359 345  30   7 2251   1   0   0  24   2   4   0   0   6   0   0 100
Kenedy        21 bra  1 18  9  4 30 100 962 642 471  33  15 2163   0   0   0  24  14  12   1   2   2   0   0 100
Todd_Kane     23 eng  1 18 10  5 30 100  98 529 430  19   3 1486   0   0   0  12  17  12   2   1   6   0   0 100
Ola_Aina      20 nga  1 17 10  5 30 100 190 454 344   5   0  475   0   0   0   6   6   3   0   1   1   0   0 100
N'Golo_Kanté  26 fra  1 18 21  1 30 100 847 531 454  43   4 3751   1   0   0  26  71   9   3   4   2   0   0 100
Thiago_Motta  34 ita  1 17 20  2 30 100 918 297 606  30   3 2415   0   0   0  16  45   4   0   1   2   0   0 100
M_Carrick     35 eng  1 18 20  1 30 100 700  21 325  17   2 1274   0   0   0   9  25   2   0   2  11   0   0 100
N_Chalobah    22 eng  1 15 18  2 30 100 678 715 297  18   4 1324   0   0   0  13  14   2   0   1   0   0   0 100
Cesc_Fàbregas 29 esp  1  8 21 13 30 100 497 956   2  47   1 3546   3   0   0   5  81  45   9   7   9   0   0 100
D_Drinkwater  27 eng  1 11 19  8 30 100 420 929 570  28  19 1367   0   0   0   2  30  10   2   3   2   0   0 100
Loftus-Cheek  21 eng  1  6 17 11 30 100 386 760 383  16  13  634   0   0   0   2   8   6   0   0   1   0   0 100
Eden_Hazard   26 bel  1  1 22 21 30 100 284 538 426  49   3 4049   8   0   0   0  59  93  17   4   8   0   0 100
Willian       28 bra  1  1 21 20 30 100 322  42 333  29   2 2264   5   0   0   0  28  57  10   3   1   0   0 100
Victor_Moses  26 nga  1  1 19 16 30 100 337 307 799  19   8 1218   0   0   0   1  12  24   5   2   0   0   0 100
C_Musonda     20 bel  1  1 19 17 30 100 348  97 620  21  13  939   0   0   0   0  10  19   2   0   0   0   0 100
Diego_Costa   28 esp  1  1  1 22 30 100 322 321 380  49  17 3027   2   0   0   1   0  91  17   0   6   0   0 100
Chicharito    28 mex  1  1  1 20 30 100 326 336 996  49   5 3742   3   0   0   1   2  86  15   1  13   0   0 100
Pedro         29 esp  1  1 18 20 30 100 387 567 502  21  16  775   0   0   0   2   6  20   3   0   0   0   0 100
