Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joel_Robles   26 esp 20  1  1  1 30 356 100 100 100  23   0 2173   1  74  29   0   0   0   0   0   1   2   0 100
Stekelenburg  34 ned 18  1  1  1 30 105 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Baines      32 eng  1 20 11  6 30 100 566 453 104  18   0 1694   0   0   0  15  13   7   0   1   7   0   0  93
A_Williams    32 wal  1 20  1  1 30 100 286  71  73  24   5 1975   0   0   0  20   2   2   0   0   2   0   0  93
S_Coleman     28 irl  1 20 11  7 30  68 210 235  91  15   0 1219   1   0   2  14   8   8   0   0  12   0   0  93
Phil_Jagielka 34 eng  1 19  1  1 30 100 507 183 121  16   1 1428   0   0   0  20   2   1   0   2   3   0   0 100
R_Funes_Mori  26 arg  1 19  1  1 30 100 121  77 147  14   2 1115   0   0   0  14   1   5   2   0   1   0   0  93
Luke_Garbutt  23 eng  1 17  9  4 30 100 764 249  95  10   0  940   0   0   0  10   5   3   0   0   3   0   0 100
Mason_Holgate 20 eng  1 17  1  1 30 100 673  95 122   8   0  652   0   0   0   8   0   1   0   0   0   0   0 100
M_Pennington  22 eng  1 16  1  1 30 100 865  87  80   1   0   93   0   0   0   1   0   0   0   0   0   0   0 100
Schneiderlin  27 fra  1 18 20  1 30 100 484 246  64  21   3 1737   1   0   0  20  39   1   0   3   9   0   0  86
Gareth_Barry  36 eng  1 18 19  1 30 100 435 106  94  18   1 1592   0   0   0  18  27   1   0   1   1   0   0 100
Muhamed_Besic 24 bih  1 17 18  1 30 100 250 814  76  14   1 1058   1   0   0   6  24   0   0   2   6   0   0 100
Idrissa_Gueye 27 sen  1 12 19  7 30 100 192 838 113  12   5  733   0   0   0   4  12   2   0   2   4   0   0 100
J_McCarthy    26 irl  1 12 19  7 30 100 118 744  91   5   3  196   0   0   0   0   3   1   0   0   0   0   0 100
Tom_Davies    18 eng  1  6 17 10 30 100  83 232 377  20   5 1284   1   0   0   0  20  15   5   1   4   0   0 100
Ross_Barkley  23 eng  1  1 20 17 30 100  15 139 605  22   4 1741   2   0   0   1  22  32   8   2  10   0   0  93
Aaron_Lennon  29 eng  1  1 19 17 30 100  38 140 306  21  12  990   2   0   0   0  18  23   3   1   0   0   0 100
Y_Bolasie     27 cod  1  1 19 17 30 100 110  29 235  10   2  716   1   0   0   0  14  14   1   1   2   0   0 100
Romelu_Lukaku 23 bel  1  1  1 21 30 100  83  73 475  25   6 1773   2   0   0   0   0  59  13   0   4   0   0 100
K_Mirallas    29 bel  1  1 18 19 30 100  84 243 995  20   8 1136   1   0   0   1   4  35   3   0   2   0   0  91
E_Valencia    27 ecu  1  1  1 18 30 100 107  79 721  10   6  419   0   0   0   1   0  10   2   0   0   0   0 100
Arouna_Koné   33 civ  1  1  1 18 30 100  66  73 424   1   1   51   0   0   0   0   0   0   0   0   0   0   0 100
A_Lookman     19 eng  1  1 14 16 30 100  96 103 942   1   1   17   0   0   0   0   0   0   0   0   0   0   0 100
D_C-Lewin     20 eng  1  1  1 16 30 100  80  80 727   1   0   72   0   0   0   0   0   2   0   0   0   0   0 100
