Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
S_Handanovic  32 svn 23  1  1  1 30 116 100 100 100   3   0  287   0  16   2   0   0   0   0   0   0   0   0 100
J_P_Carrizo   32 arg 18  1  1  1 30 680 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tommaso_Berni 34 ita 16  1  1  1 30 795 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andrei_Radu   19 rou 16  1  1  1 30 764 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Miranda       32 bra  1 21  1  1 30 100 412 425 460   3   0  251   0   0   0   3   1   0   0   0   0   0   0  80
C_Ansaldi     30 arg  1 20 11  6 30 100 375 899 683   3   0  287   0   0   0   1   2   1   0   0   0   0   0  78
L_Tonelli     27 ita  1 19  1  1 30 100 870 584 682   3   0  287   1   0   0   5   0   1   0   0   0   0   0  78
L_Antonelli   30 ita  1 19 11  5 30 100 595 777 645   1   0   92   0   0   0   0   0   0   0   0   0   0   0 100
Davide_Santon 26 ita  1 19 11  5 30 100 452 606 580   3   1  231   0   0   0   3   1   1   0   0   1   0   0  80
M_Andreolli   30 ita  1 19  1  1 30 100 393 406 479   1   1   26   0   0   0   0   0   0   0   0   0   0   0 100
T_Sainsbury   25 aus  1 19  1  1 30 100 115 421 465   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
D_D'Ambrosio  28 ita  1 19  9  5 30 100  90 561 529   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eloge_Yao     21 civ  1 17  1  1 30 100 926 422 518   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gary_Medel    29 chi  1 18 20  1 30 100 864 461 482   3   0  287   0   0   0   4   0   0   0   0   0   0   0  78
Éver_Banega   28 arg  1  5 20 14 30 100 553 948 726   3   0  261   0   0   0   1   5   3   0   0   0   0   0  80
M_Brozovic    24 cro  1 12 20  7 30 100 661 520 567   1   0   92   1   0   0   1   3   1   0   1   0   0   0 100
João_Mário    24 por  1  7 20 12 30 100 388 329 474   2   0  195   0   0   0   0   2   2   1   0   0   0   0  80
R_Gagliardini 22 ita  1 13 19  5 30 100 630 687 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Juan_Mata     28 esp  1  1 21 19 30 100 666 238 154   2   0  195   0   0   0   0   2   4   0   1   2   0   0  80
A_Candreva    30 ita  1  1 20 18 30 100 534   1 956   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_El_Shaarawy 24 ita  1  1 18 20 30 100 384 794 452   3   0  287   0   0   0   0   5   7   0   0   0   0   0  78
Gabriel_B     20 bra  1  1 16 19 30 100 479 586 658   3   0  287   1   0   0   0   1   8   2   0   0   0   0  78
G_Lapadula    27 ita  1  1  1 19 30 100 660 600 455   1   0   61   0   0   0   0   0   1   0   0   0   0   0 100
J_Biabiany    28 fra  1  1 17 19 30 100 500 484  42   1   1   31   0   0   0   0   1   1   0   0   0   0   0 100
G_Simeone     20 arg  1  1 12 19 30 100 756 731   8   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Pinamonti   17 ita  1  1  1 17 30 100 480 407  90   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
