Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Buffon      39 ita 23  1  1  1 30 223 100 100 100  18   0 1559   0  81  24   0   0   0   0   0   0   0   0 100
Neto          27 bra 20  1  1  1 30 173 100 100 100   4   2  343   0  10   4   0   0   0   0   0   0   0   0 100
Mats_Hummels  28 ger  1 22  1  1 30  79 543 818 734  13   1 1135   0   0   0  16   0   2   0   0   1   0   0 100
G_Chiellini   32 ita  1 22  1  1 30 110 123 748 784  12   1 1062   0   0   0  15   1   1   0   0   7   0   0  88
A_Barzagli    35 ita  1 21  1  1 30 100 266 785 859  11   0 1022   0   0   0  17   0   4   1   0   6   0   0 100
Iván_Marcano  29 esp  1 20  1  1 30 100 642 712 840  12   1 1040   0   0   0  17   2   0   0   0   0   0   0  88
L_Kurzawa     24 fra  1 20 12  6 30 100 596 178 973  12   2 1023   1   0   0  15   7   8   0   2   0   0   0 100
D_Rugani      22 ita  1 20  1  1 30 100 455 780 786   7   0  598   0   0   0   8   2   1   0   0   1   0   0  88
V_Lindelöf    22 swe  1 20  1  1 30 100 314 793 755   6   0  569   0   0   0   5   2   3   1   1   0   0   0 100
F_Ghoulam     26 alg  1 20 11  5 30 100 142 934 951   7   0  670   0   0   0  16  10   4   1   1   1   0   0  88
Sami_Khedira  29 ger  1 19 21  1 30 100 257 698 836  14   2 1102   0   0   0  10  24   3   0   3   0   0   0 100
Johannes_Geis 23 ger  1 16 19  2 30 100 830 792 583  12   5  779   1   0   0  16  20   3   1   2   0   0   0  88
Franck_Kessié 20 civ  1 17 19  2 30 100  42 358 954  13   5  868   0   0   0   7  11   1   0   1   1   0   0  88
C_Marchisio   31 ita  1 14 21  8 30 100  16 971  22  13   1 1108   1   0   0   7  26   5   1   1   2   0   0 100
Ander_Herrera 27 esp  1 13 21  8 30 100  38 156   1  11   1  954   0   0   0   6  26  12   2   1   0   0   0  88
J_Kimmich     22 ger  1 13 20  6 30 100 971 842 848  10   0  870   2   0   0   3  35   6   1   6   3   0   0 100
S_Sturaro     24 ita  1 10 19  8 30 100 878 648 898  10   0  843   0   0   0   3  22   5   1   2   1   0   0 100
David_Silva   31 esp  1  1 22 20 30 100 734 411 457  16   3 1172   2   0   0   1  18  40   6   2   2   0   0 100
G_Martins     21 por  1  1 19 19 30 100 719 994  66  14   4  978   2   0   0   0  11  37   8   0   3   0   0  99
Davy_Klaassen 24 ned  1  1 19 18 30 100 490 923 812  12   5  786   0   0   0   0  10  24   1   2   2   0   0 100
Max_Meyer     21 ger  1  1 19 17 30 100 507 679 955   9   4  541   0   0   0   0  14  26   5   5   1   0   0 100
Arjen_Robben  33 ned  1  1 20 23 30 100 835  35  55  17   1 1246   4   0   0   1   4  57  17   1   7   0   0  97
Karim_Benzema 29 fra  1  1  1 22 30 100 809 723  10  16   6  866   0   0   0   0   0  32   3   0   1   0   0  88
Timo_Werner   21 ger  1  1  1 19 30 100 721 848 888   9   8  398   1   0   0   0   0  21   2   0   1   0   0 100
