Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mesut_Özil    28 ger  1  1 22 20 30 100 544 792 346  53   4 4542   3   0   0   1 102 117  13  15   4   0   0  83
Y_Carrasco    23 bel  1  1 21 19 30 100 566 214 343  42   3 3648   8   0   0   2  70  89  15  13   9   0   0 100
David_Silva   31 esp  1  1 22 20 30 100 560  29  63  45   2 3764   3   0   0   3  84  63   9  11  13   0   0 100
Isco          24 esp  1  1 21 19 30 100 622  93 532  43   6 3585   8   0   0   4  57 107  20  10   3   0   0 100
Marco_Reus    27 ger  1  1 21 19 30 100 698 987 284  38   2 3455   5   0   0   0  64  74  14   8   1   0   0  83
Dani_Parejo   27 esp  1  1 19 17 30 100 102 966 598  31   1 2806   7   0   0   2  64  63  13   9   1   0   0 100
Adam_Lallana  28 eng  1  1 20 19 30 100 538 802 191  40   2 3570   3   0   0   0  69  68  13   2   6   0   0 100
K_De_Bruyne   25 bel  1  1 22 20 30 100 580  15 119  42   1 3703   4   0   0   4  69  69  10   4  14   0   0 100
T_Hazard      24 bel  1  1 20 19 30 100 562 213 425  40   3 3492   6   0   0   1  49  92  19   6   5   0   0 100
Douglas_Costa 26 bra  1  1 20 18 30 100 678 930 211  44   7 3439   4   0   0   0  53  97  15   4   1   0   0 100
P_Coutinho    24 bra  1  1 21 20 30 100 556 560 208  42   0 3687   1   0   0   0  62  75  12   5   2   0   0 100
J_Rodríguez   25 col  1  1 21 19 30 100 638 716 171  43   2 3394   2   0   0   2  61  71  10   5   3   0   0 100
Nico_Gaitán   29 arg  1  1 20 18 30 100 562 924 228  41   5 3326   4   0   0   2  55  76  14   4  11   0   0 100
C_Eriksen     25 den  1  1 21 20 30 100 666 146 184  37   1 3079   4   0   0   0  65  56  13   1   7   0   0 100
Eden_Hazard   26 bel  1  1 21 20 30 100  70 687 507  40   4 3249   4   0   0   0  56  84   8   5   5   0   0 100
K_Bellarabi   26 ger  1  1 20 19 30 100 710 604 219  36   1 3307   2   0   0   2  54  83  10   2   2   0   0 100
H_Mkhitaryan  28 arm  1  1 21 20 30 100 678 416 104  31   3 2555   4   0   0   1  57  60  10   6   7   0   0 100
Dele_Alli     20 eng  1  1 20 19 30 100 654 415 125  44   3 3495   3   0   0   2  55  68  11   4  10   0   1 100
X_Shaqiri     25 sui  1  1 20 19 30 100 660 452 184  33   0 3032   5   0   0   0  56  64  11   4  10   0   0 100
Juan_Mata     28 esp  1  1 21 19 30 100 670 152 142  39  13 2641   2   0   0   0  51  78   9   6   5   0   0  93
Juan_Cuadrado 28 col  1  1 20 19 30 100 684 616 298  42  13 2876   3   0   0   2  45  70  16   7   5   0   0 100
Á_Di_María    29 arg  1  1 21 20 30 100 316 114  88  35   1 3115   6   0   0   0  41  78  18   5   2   0   0  83
F_Orellana    31 chi  1  1 19 18 30 100  98 849 515  35   2 3223   1   0   0   1  49  73   8   8   2   0   0 100
Dimitri_Payet 30 fra  1  1 20 19 30 100  72 751 385  42   5 3496   3   0   0   1  58  51   6   8  10   0   0 100
Ivan_Perisic  28 cro  1  1 20 18 30 100 488 586 995  43   4 3529   3   0   0   1  50  76  11   2   2   0   0 100
Mario_Götze   24 ger  1  1 20 18 30 100 702 532  56  37   9 2715   4   0   0   3  55  49   9   8   2   0   0 100
M_Valbuena    32 fra  1  1 19 17 30 100  66 880 305  35   3 2951   1   0   0   0  62  43   4   6  12   0   0 100
Keisuke_Honda 30 jpn  1  1 19 16 30 100 670 746 926  32   0 2838   0   0   0   2  50  58   9   5  12   0   0 100
Samir_Nasri   29 fra  1  1 20 18 30 100  70  99 556  35   3 3029   3   0   0   0  44  63  11   5  10   0   0 100
J_Draxler     23 ger  1  1 20 18 30 100 584 740 157  33   5 2772   5   0   0   1  44  57  12   6   4   0   0 100
S_Castillejo  22 esp  1  1 20 18 30 100 572 346 111  30   5 2435   2   0   0   0  42  71   8   5   4   0   0 100
Oscar         25 bra  1  1 20 18 30 100 632 634 163  41  16 2713   3   0   0   0  43  58  12   4  10   0   0 100
Rafa_Silva    23 por  1  1 19 18 30 100 548 849  94  27   2 2383   4   0   0   0  43  57   9   4   6   0   0 100
J_Pastore     27 arg  1  1 20 18 30 100 326 414 786  28   1 2381   4   0   0   1  40  50  10   7  13   0   0 100
A_Candreva    30 ita  1  1 19 18 30 100 534 971 956  32   6 2531   2   0   0   3  39  68  10   1   1   0   0 100
Bernardeschi  23 ita  1  1 20 19 30 100 672 105 131  34   4 2745   1   0   0   0  39  68  10   1   9   0   0 100
Willian       28 bra  1  1 20 19 30 100  84 486 692  31   6 2284   3   0   0   0  31  69  15   3   3   0   0 100
Óliver_Torres 22 esp  1  1 19 17 30 100 672 811 112  30   4 2235   6   0   0   0  37  55  12   4   2   0   0 100
G_Wijnaldum   26 ned  1  1 20 19 30 100 548 297   7  33   2 2690   3   0   0   1  43  52   7   4  12   0   0 100
Marco_Asensio 21 esp  1  1 20 18 30 100 536 476   5  32   4 2644   1   0   0   0  40  57   7   5  12   0   0  93
Ross_Barkley  23 eng  1  1 19 17 30 100  32 634 310  40  10 3077   1   0   0   1  42  57   5   3   5   0   0 100
Y_Konoplyanka 27 ukr  1  1 19 18 30 100  90 381  90  29   0 2645   3   0   0   0  33  52  15   3   0   0   0 100
Lucas_Vazquez 25 esp  1  1 19 18 30 100 112 862 433  29   2 2618   1   0   0   3  38  54   7   4   2   0   0 100
Nabil_Fekir   23 fra  1  1 19 17 30 100  68 487 390  44  18 2522   2   0   0   0  37  60   6   4   6   0   0 100
Thomas_Lemar  21 fra  1  1 20 19 30 100 528  80  34  32   3 2641   5   0   0   0  36  49   9   5  11   0   0 100
J_dos_Santos  26 mex  1  1 20 17 30 100 614  81 995  37   5 3134   2   0   0   5  38  50   7   3   3   0   0 100
B_Ramselaar   20 ned  1  1 19 17 30 100 478 224 893  28   4 2272   5   0   0   1  36  49   7   3   2   0   0 100
Denis_Suárez  23 esp  1  1 19 17 30 100 350 873 573  22   7 1607   2   0   0   2  41  36   3   6   2   0   0 100
A_Schürrle    26 ger  1  1 20 19 30 100 666 124  14  32   9 2482   1   0   0   0  31  44   8   5   2   0   0 100
O-Chamberlain 23 eng  1  1 19 17 30 100 568 746 983  30   5 2483   0   0   0   1  30  57   6   3   2   0   0  93
Franck_Ribéry 33 fra  1  1 20 19 30 100  98 698 489  33   2 2950   2   0   0   1  26  59   8   4   7   0   0 100
Arda_Turan    30 tur  1  1 20 18 30 100 372 451 710  39   3 2732   0   0   0   0  34  43   7   2   2   0   0 100
Érik_Lamela   25 arg  1  1 20 17 30 100 660 105 932  29   6 2299   1   0   0   0  35  38   6   3   5   0   0 100
Rémy_Cabella  27 fra  1  1 18 16 30 100  92 584 357  26   2 2260   1   0   0   0  36  40   5   2   4   0   0 100
B_Silva       22 por  1  1 20 17 30 100 408 388 759  27   0 2290   3   0   0   2  32  40   7   4  13   0   0 100
Riyah_Mahrez  26 alg  1  1 20 17 30 100  94 183 336  27   1 2433   1   0   0   2  36  32   6   3  15   0   0 100
Kai_Havertz   17 ger  1  1 17 15 30 100  70 410 289  20   0 1754   1   0   0   1  36  30   5   4  11   0   0 100
Shinji_Kagawa 28 jpn  1  1 20 17 30 100 684 371 813  23   0 2153   3   0   0   0  38  33   4   2   3   0   0 100
Ganso         27 bra  1  1 19 17 30 100  44 381 389  24   1 2137   0   0   0   0  31  41   8   2  18   0   0 100
Leroy_Sané    21 ger  1  1 19 18 30 100 518 989 889  29   9 2029   3   0   0   0  33  33   6   2   6   0   0 100
Diego_Perotti 28 arg  1  1 19 17 30 100  88 398 408  18   1 1511   1   0   0   0  30  41   7   1   1   0   0 100
Jesse_Lingard 24 eng  1  1 19 18 30 100 580 531  82  24   1 1996   1   0   0   1  19  61   9   3   1   0   0 100
Siem_de_Jong  28 ned  1  1 19 17 30 100 468 115 890  24   1 2224   1   0   0   0  26  52   7   1   6   0   0 100
Theo_Walcott  28 eng  1  1 19 17 30 100 314 899 605  19   2 1565   0   0   0   0  35  30   5   1   8   0   0 100
Bernard       24 bra  1  1 19 17 30 100 670 592 992  32   5 2349   2   0   0   0  23  47   7   4   5   0   0 100
Toto_Salvio   26 arg  1  1 20 18 30 100 576  15 871  22   1 1950   1   0   0   1  33  30   4   1   3   0   0 100
Jeremain_Lens 29 ned  1  1 20 19 30 100 830 140  80  12   0 1096   2   0   0   1  26  36   6   3   1   0   0 100
Jesús_Corona  24 mex  1  1 19 18 30 100  86 397 274  22   1 1993   0   0   0   1  29  32   4   2   3   0   0 100
V_Eysseric    25 fra  1  1 19 17 30 100 672 500 791  22   4 1823   3   0   0   3  29  24   3   5   2   0   0 100
Ashley_Young  31 eng  1  1 18 17 30 100  90 946 301  21   2 1647   0   0   0   3  26  29   6   3  13   0   0 100
Julian_Brandt 20 ger  1  1 19 17 30 100 666 842 851  20   1 1762   0   0   0   0  28  38   3   1   7   0   0 100
Lucas         24 bra  1  1 20 17 30 100 558 327 910  30  10 1899   0   0   0   0  27  35   5   1   6   0   0 100
