Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Lucas_Biglia  30 arg  1 18 21  1 30 100 993 212 783  47   5 3966   5   0   0  34 111   8   3  16   5   0   0  83
Sami_Khedira  29 ger  1 19 21  1 30 100  27 232 695  55   4 3888   2   0   0  36  94   7   2   9  19   0   3  97
Lars_Bender   27 ger  1 19 20  1 30 100  77 690 677  47   4 3984   0   0   0  34  86   5   0   5  16   1   0  97
J_Mascherano  32 arg  1 18 21  1 30 100 942 250 732  44   4 3733   3   0   0  19  92   7   1  12   3   0   0  97
S_Busquets    28 esp  1 18 21  2 30 100 988 765 777  41   2 3674   5   0   0  32  80  13   2   8   3   0   0 100
N'Golo_Kanté  26 fra  1 18 20  1 30 100 330 489  67  50   9 3520   4   0   0  22  86   1   0  10  12   0   0 100
Nemanja_Matic 28 srb  1 18 21  1 30 100 957 100 703  29   0 2741   2   0   0  23  74   5   0  11   2   0   0 100
A_Fernández   30 arg  1 17 20  2 30 100 908 564 698  43   3 3694   0   0   0  26  74   8   0   5   7   0   0 100
Bruno_Soriano 32 esp  1 19 20  1 30 100   2 980 747  33   1 3021   0   0   0  38  62   5   2   4  12   0   0 100
Granit_Xhaka  24 sui  1 17 20  2 30 100 886 768 626  41   2 3619   1   0   0  18  74  10   2   7  15   0   0 100
Casemiro      25 bra  1 18 20  2 30 100 808 888 678  33   4 2702   1   0   0  22  69   6   0   6   8   0   0 100
Baumgartinger 29 aut  1 17 19  1 30 100 896 711 693  33   7 2480   1   0   0  20  72   4   1   1   2   0   0 100
Gary_Medel    29 chi  1 18 20  1 30 100 820 361 482  39   1 3297   1   0   0  29  64   2   0   4   9   0   0 100
Julian_Weigl  21 ger  1 17 20  2 30 100 873 399 720  34   4 2919   1   0   0  17  67   5   1   6   8   0   0 100
F_Coquelin    25 fra  1 18 20  1 30 100 786 321 699  33   0 2912   1   0   0  19  66   5   0   5  11   0   0 100
Eric_Dier     23 eng  1 17 19  1 30 100 861 959 686  47  17 3036   2   0   0  17  66   8   0   8   9   0   0 100
Xabi_Alonso   35 esp  1 16 19  3 30 100 430 971 123  32   4 2669   2   0   0  32  55   7   2   5   7   0   0 100
D_De_Rossi    33 ita  1 18 20  1 30 100 728 418 415  36   3 3039   1   0   0  34  51   2   1   3   5   0   0 100
