Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Lionel_Messi  29 arg  1  1 21 24 30 100 574 115 139  67   8 4635  10   0   0   2  52 177  34   4  10   0   0  93
Neymar        25 bra  1  1 20 23 30 100 540 865 725  56  10 4001  11   0   0   1  26 163  29   2   6   0   0 100
A_Sánchez     28 chi  1  1 19 22 30 100 502 981 772  49   2 4187   8   0   0   0  37 145  33   5   9   0   0 100
Arjen_Robben  33 ned  1  1 19 22 30 100 686 868 323  59  13 3950   6   0   0   2  18 146  25   4   2   0   0 100
A_Griezmann   26 fra  1  1 15 22 30 100 576 793 557  44   3 3613   6   0   0   0  11 143  25   1   2   0   0 100
Kevin_Volland 24 ger  1  1 18 20 30 100 644 973 534  48   7 4110   4   0   0   1  43 138  14   8  14   0   0  88
L_Insigne     25 ita  1  1 18 21 30 100 680 748 557  33   0 2998   7   0   0   0  24 128  26   1   5   0   0 100
Thomas_Müller 27 ger  1  1 20 22 30 100 566  11  40  50   4 4324   6   0   0   1  31 122  24   6   3   0   0  83
José_Callejón 30 esp  1  1 18 21 30 100 682 891 222  41   7 3354   6   0   0   2  39 121  22   4   6   0   0  93
Sergio_Agüero 28 arg  1  1  1 23 30 100 518 652  20  58   8 4652   6   0   0   0   2 120  33   0  11   0   0  83
Gareth_Bale   27 wal  1  1 20 22 30 100 594 885 629  51   5 4021   4   0   0   0  33 129  16   3   8   0   0 100
Dries_Mertens 29 bel  1  1 19 21 30 100 670 888 815  46   4 3893   5   0   0   0  34 115  25   5  10   0   0 100
Memphis_Depay 23 ned  1  1 17 19 30 100  66 332 846  46  15 2958   9   0   0   2  30 111  24   4  14   0   0 100
K_Mitroglou   29 gre  1  1  1 20 30 100 574 703 770  39   3 3340  10   0   0   1   3 116  25   0   4   0   0 100
Diego_Costa   28 esp  1  1  1 21 30 100  86 113 436  36   3 3144   7   0   0   0   1 113  25   1   2   0   0 100
R_Lewandowski 28 pol  1  1  1 22 30 100 574 725 937  35   1 3081   6   0   0   2   5 103  23   1  10   0   0 100
S_El_Shaarawy 24 ita  1  1 18 20 30 100 384 759 175  48   4 3690   3   0   0   0  45  94  16   6   8   0   0 100
G_dos_Santos  27 mex  1  1  1 20 30 100 576 684 908  46   0 3850   3   0   0   1   0 100  24   0   8   0   0 100
R_Firmino     25 bra  1  1 15 21 30 100 552 910  22  45   1 3606   5   0   0   1  25  97  17   4   5   0   0 100
Paulo_Dybala  23 arg  1  1 18 21 30 100 574 787 895  55  31 2988   6   0   0   1  15  98  20   0   4   0   0 100
Carlos_Vela   28 mex  1  1 18 20 30 100  72 364 266  45   3 3826   3   0   0   0  36  93  17   2   4   0   0 100
A_Lacazette   25 fra  1  1  1 21 30 100  76  98  16  43   8 3435   5   0   0   1   2 100  20   1   8   0   0 100
Santi_Mina    21 esp  1  1 16 19 30 100  86 349 181  40   2 2727   4   0   0   0  29  92  18   3   7   0   0 100
Z_Ibrahimovic 35 swe  1  1  1 22 30 100 626 713 921  42   2 3397   2   0   0   0   1  92  25   1   2   0   0 100
Luis_Suárez   30 uru  1  1  1 23 30 100 566 566 147  50  10 3646   1   0   0   0   0 101  17   0   8   0   0 100
Falcao        31 col  1  1  1 20 30 100 640 536 856  45   1 3432   1   0   0   1   4  98  16   0  16   0   0 100
A_Milik       23 pol  1  1  1 20 30 100 684 585 123  30   3 2490   2   0   0   0   3 100  14   0   8   0   0 100
G_Higuaín     29 arg  1  1  1 22 30 100 662 657 596  49  12 3345   3   0   0   1   1  87  22   0   3   0   0 100
O_Giroud      30 fra  1  1  1 20 30 100 530 645 979  38   8 2853   3   0   0   1   1  95  15   0   6   0   0 100
Álvaro_Morata 24 esp  1  1  1 20 30 100 560 687 880  36   6 2821   0   0   0   0   1  89  19   0  10   0   0  93
C_Ronaldo     32 por  1  1 21 23 30 100 446 804 325  28   0 2613   4   0   0   0  29  80  17   3  12   0   0 100
Chicharito    28 mex  1  1  1 20 30 100  94  82 129  32   4 2652   3   0   0   1   0  97  13   0   9   0   0 100
O_Dembélé     19 fra  1  1 18 20 30 100 690 782 597  41   9 2935   4   0   0   2  28  83  15   2   7   0   0 100
H_Calhanoglu  23 tur  1  1 18 20 30 100 692 886 302  33   4 2749   3   0   0   1  38  81  12   3   5   0   0 100
Harry_Kane    23 eng  1  1  1 21 30 100 656 579 455  50   3 3758   3   0   0   1   5  89  15   1   3   0   0  96
G_Deulofeu    23 esp  1  1 19 20 30 100 668  22 399  34   1 3143   6   0   0   1  38  76  14   5  12   0   0 100
Mohamed_Salah 24 egy  1  1 18 20 30 100 306 608 418  32   0 2756   7   0   0   0  26  81  14   3   7   0   0 100
D_Sturridge   27 eng  1  1  1 20 30 100 524 647 802  51   9 3810   2   0   0   2   1  92  12   1  15   0   0 100
N_Castillo    24 chi  1  1  1 19 30 100 532 679 695  38   6 2874   1   0   0   0   1  86  15   1   9   0   0 100
Kévin_Gameiro 29 fra  1  1  1 20 30 100 548 632 993  39   4 3059   0   0   0   3   0  79  19   0   9   0   0 100
Leon_Bailey   19 jam  1  1 17 19 30 100 690 801 609  31  15 1995   3   0   0   1  29  75  13   2   6   0   0 100
K_Coman       20 fra  1  1 17 19 30 100 384 550 885  39   7 2940   3   0   0   1  14  81  10   4   4   0   0 100
F_Thauvin     24 fra  1  1 18 19 30 100  70 176 915  40   7 2976   2   0   0   1  14  78  13   1  11   0   0 100
Z_Bakkali     21 bel  1  1 16 18 30 100  64 223 730  30   4 2482   6   0   0   0  17  73  15   2   8   0   0 100
R_Sterling    22 eng  1  1 18 20 30 100 594 983 721  45   5 3584   2   0   0   4  31  75   8   5   2   0   0  93
Luuk_de_Jong  26 ned  1  1  1 19 30 100 448 526 497  38   4 3284   1   0   0   2   1  86   9   0   3   0   0 100
Admir_Mehmedi 26 sui  1  1 17 19 30 100 686 855 654  34   2 2882   2   0   0   3  35  67  12   4  10   0   0 100
Karim_Benzema 29 fra  1  1  1 21 30 100 666 580 644  33   2 2644   4   0   0   0   2  72  16   1  12   0   0 100
Romelu_Lukaku 23 bel  1  1  1 20 30 100  76  66 680  40   5 3281   3   0   0   2   2  81   9   0   9   0   0 100
Vitolo        27 esp  1  1 18 20 30 100 376 635 307  39  10 2838   2   0   0   1  33  70   8   2   3   0   0 100
Breel_Embolo  20 sui  1  1 17 18 30 100  82 221 977  31   6 2316   2   0   0   0  17  69  13   1   4   0   0 100
G_Pereiro     21 uru  1  1 17 19 30 100 444 790 158  39   3 3073   4   0   0   1  29  70   8   3   9   0   0 100
Carlos_Bacca  30 col  1  1  1 20 30 100 716 706 721  31   1 2745   1   0   0   2   2  77  11   0   4   0   0 100
Nani          30 por  1  1 18 20 30 100  36 407 124  31   0 2221   4   0   0   0  33  60  11   7   7   0   0 100
Y_Brahimi     27 alg  1  1 17 19 30 100  54 179 984  31   7 2138   2   0   0   0  15  68  12   1   3   0   0 100
F_Totti       40 ita  1  1 12 19 30 100  70 174 624  33  11 2476   1   0   0   0  12  71  10   1   5   0   0 100
Wayne_Rooney  31 eng  1  1 17 20 30 100  60 212 222  33   1 2679   2   0   0   0  16  65  13   2  10   0   0 100
B_Gomis       31 fra  1  1  1 19 30 100  42  42 529  39   9 2700   2   0   0   0   0  65  18   0   4   0   0 100
M_Balotelli   26 ita  1  1  1 20 30 100 638 689 286  37   3 3204   1   0   0   3   1  77   8   1   4   0   0 100
M_Oyarzabal   19 esp  1  1 17 19 30 100 608 766 755  26   7 1946   2   0   0   0  14  64  12   0   6   0   0 100
A_Martial     21 fra  1  1  1 20 30 100 668 555 600  33  14 2005   1   0   0   0   1  67  11   0   6   0   0 100
