Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Koke          25 esp  1  6 21 13 30 100 634 383 955  41   3 3512   4   0   0   5 101  39   6   9   3   0   0  93
M_Verratti    24 ita  1 14 21  6 30 100 902 892 636  53  11 4037   3   0   0  20  97  30   0  10   4   0   0 100
A_Iniesta     32 esp  1  7 22 15 30 100 646 989  53  49   6 3860   6   0   0  10  86  54   9  17   7   0   0 100
Toni_Kroos    27 ger  1 10 22 11 30 100 730 267   6  42   3 3679   3   0   0  15  88  46   8   9  10   0   0  83
Paul_Pogba    24 fra  1 10 22 10 30 100 870 301 883  55   8 4049   1   0   0  16  86  50   7  11   1   0   0 100
Thiago        25 esp  1  7 21 14 30 100 718 725  18  40   3 3289   4   0   0  10  88  51   8   8  11   0   0 100
Andrea_Pirlo  38 ita  1 12 20  7 30 100 976 960 593  41   0 3837   2   0   0  28  80  20   1  16  15   0   0 100
G_Bonaventura 27 ita  1  6 21 13 30 100 736  15 838  41   0 3782   1   0   0   7  86  48   6   7  14   0   0 100
J_Henderson   26 eng  1 13 20  6 30 100 846 797 735  55   2 4071   2   0   0  28  81  19   2   8   5   0   0 100
B_Matuidi     29 fra  1 15 21  5 30 100 918 562 640  32   2 2895   1   0   0  24  78   6   0  10   5   0   0 100
Arturo_Vidal  29 chi  1 10 21 10 30 100 728 886 855  43   0 3596   3   0   0  17  78  35   4   6   8   0   0 100
Mousa_Dembélé 29 bel  1 13 20  7 30 100 830 636 801  43   2 3567   1   0   0  15  78  28   3   6  10   0   0 100
Luka_Modric   31 cro  1  7 22 15 30 100 614 542  28  39   2 3254   2   0   0   4  73  41   8  11   7   0   0 100
R_Nainggolan  28 bel  1 15 21  5 30 100 542 361 529  41   2 3558   0   0   0  19  68  14   4   8   3   0   0 100
C_Marchisio   31 ita  1 13 21  7 30 100 758 567 820  34   0 3005   4   0   0  13  62  25   5   9  10   0   0 100
I_Gündogan    26 ger  1  8 21 12 30 100 628 370 867  40   5 3185   1   0   0   6  67  40   3   5  12   0   0 100
Éver_Banega   28 arg  1  5 20 14 30 100 524 778 706  44   3 3654   3   0   0   3  67  42   4   5   6   0   0 100
Kevin_Kampl   26 svn  1  7 20 12 30 100 786 530 762  30   0 2334   0   0   0  11  65  22   2   5   3   0   0 100
H_Herrera     26 mex  1  7 19 12 30 100 188 682 291  42   2 3306   4   0   0   9  66  31   4   3  10   0   0 100
Ander_Herrera 27 esp  1 12 20  7 30 100 796 718 754  31   0 2819   0   0   0  10  66  17   1   4   2   0   0 100
James_Milner  31 eng  1  6 20 13 30 100 568 326 943  42   3 3677   2   0   0   3  62  50   5   8   9   0   0 100
Saúl_Ñíguez   22 esp  1  7 20 12 30 100 722 326 914  31   4 2622   1   0   0  12  61  27   5   6   1   0   0 100
Aaron_Ramsey  26 wal  1  8 20 11 30 100 622 851 854  46   4 3806   3   0   0   9  58  37   5  10   3   0   0 100
