Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  30 den 21  1  1  1 30 646 100 100 100  54   0 5128   0 245 106   0   0   0   0   0   1   0   0 100
R-R_Zieler    28 ger 19  1  1  1 30 794 100 100 100   1   0   94   0   7   4   0   0   0   0   0   0   0   0 100
Ben_Hamer     29 eng 17  1  1  1 30 191 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Mau_Lemos     21 uru  1 20  2  2 30 100 770 174  52  37   5 2921   0   0   0  43   5   5   0   0   5   0   0 100
Patrice_Evra  35 fra  1 20 10  5 30 100 642 842 731  32   3 2619   0   0   0  31  19   9   2   1   9   0   0 100
Danilo        25 bra  1 20 12  6 30 100 485 601 269  28   0 2563   0   0   0  37  23   8   0   2   3   0   0 100
Robert_Huth   32 ger  1 20  1  1 30 100  71 546 539  30   3 2572   0   0   0  34   4   2   0   0   9   0   0 100
Fede_Ricca    22 uru  1 20 12  6 30 100  48 489 447  29   2 2642   3   0   0  43  22  17   3   1   3   0   0 100
M_Debuchy     31 fra  1 19 11  5 30 100 895 838 608  23   5 1776   0   0   0  27  17  10   0   1   2   0   0 100
C_Fuchs       30 aut  1 19  9  5 30 100 845 873 651  19   3 1556   1   0   0  29  14   6   1   1   6   0   0 100
Wes_Morgan    33 jam  1 19  1  1 30 100 656 563 548  16   4 1116   0   0   0   8   1   2   0   0   2   0   0 100
Danny_Simpson 30 eng  1 19  7  4 30 100 304 689 566   6   4  341   0   0   0   7   1   0   0   0   0   0   0 100
Illarramendi  27 esp  1 18 20  1 30 100 135 424 806  27   4 2203   0   0   0  16  41   3   0   2   7   0   0 100
M_Llorente    22 esp  1 17 20  3 30 100 404 233 327  28   2 2234   0   0   0  11  46   8   1   3   9   0   0 100
N_Mendy       24 fra  1 17 19  1 30 100 942 820 557  15   3 1189   0   0   0   6  18   0   0   2   0   0   0 100
Jean_M_Seri   25 civ  1 15 21  6 30 100 416 253 178  42   7 3244   3   0   0  12  65   9   2   7   1   0   0 100
Fabian_Delph  27 eng  1 11 20  9 30 100 141  65 230  25   3 2063   0   0   0   5  29  12   1   1   2   0   0 100
Andy_King     28 wal  1 10 18  7 30 100 677 397 630   3   0  285   0   0   0   3   4   0   0   1   1   0   0 100
Franck_Ribéry 33 fra  1  1 21 20 30 100 559 465 203  36  13 2328   0   0   0   0  35  52   4   0   2   0   0 100
Riyah_Mahrez  26 alg  1  1 21 18 30 100 529  75  58  34   3 2979   3   0   0   1  43  47   6   2   4   0   0 100
Óliver_Torres 22 esp  1  2 20 17 30 100 131 755 765  20   4 1494   1   0   0   0  21  26   4   4   8   0   0 100
M_Albrighton  27 eng  1  1 19 17 30 100 568 225 637   2   1  118   0   0   0   0   1   2   1   0   0   0   0 100
Islam_Slimani 28 alg  1  1  1 21 30 100 606 543  52  43   8 3134   2   0   0   3   2  77  17   0  13   0   0 100
Lucas_Pérez   28 esp  1  1  1 20 30 100 544 523 620  31   7 2223   1   0   0   1   1  62   7   0   1   0   0 100
I_Williams    22 esp  1  1 18 20 30 100 604 856 485  29   6 2050   1   0   0   2  17  50   8   3   1   0   0 100
Jamie_Vardy   30 eng  1  1  1 20 30 100 504 480 273  22  10 1332   0   0   0   0   0  31   3   0   3   0   0 100
