Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Joe_Hart      29 eng 21  1  1  1 30 633 100 100 100   4   0  376   0  12   3   0   0   0   0   0   0   0   0 100
F_Muslera     30 uru 21  1  1  1 30 154 100 100 100   3   0  194   0   4   0   0   0   0   0   0   0   2   0 100
S_Ruffier     30 fra 21  1  1  1 30 115 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Mandanda    32 fra 20  1  1  1 30 853 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yann_Sommer   28 sui 20  1  1  1 30 742 100 100 100   1   0   94   0   7   0   0   0   0   0   0   0   0   0 100
O_Karnezis    32 gre 20  1  1  1 30 546 100 100 100   4   0  344   0  18   8   0   0   0   0   0   0   0   0 100
Jack_Butland  24 eng 20  1  1  1 30 520 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Benoît_Costil 29 fra 20  1  1  1 30 480 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
E_Viviano     31 ita 20  1  1  1 30 430 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Consigli    30 ita 20  1  1  1 30 430 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Antonio_Adán  29 esp 20  1  1  1 30 300 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
G_Ochoa       31 mex 20  1  1  1 30 296 100 100 100   2   0  187   0   5   3   0   0   0   0   0   0   0   0 100
L_Fabianski   31 pol 20  1  1  1 30 228 100 100 100   1   0   96   0  13   1   0   0   0   0   0   0   0   0 100
Carlos_Kameni 33 cmr 20  1  1  1 30 200 100 100 100   4   0  375   0  23   9   0   0   0   0   0   5   0   0 100
M_Sportiello  24 ita 20  1  1  1 30 170 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marvwin_Hitz  29 sui 20  1  1  1 30 130 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Adrián        30 esp 20  1  1  1 30  80 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Sirigu      30 ita 20  1  1  1 30  80 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Andriy_Pyatov 33 ukr 19  1  1  1 30 944 100 100 100   2   0  156   0   6   0   0   0   0   0   0   0   3   0 100
V_Babacan     29 tur 19  1  1  1 30 919 100 100 100   4   0  381   0  21  10   0   0   0   0   0   0   0   0 100
D_Benaglio    33 sui 19  1  1  1 30 880 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alexander_D   30 ecu 19  1  1  1 30 836 100 100 100   3   0  284   0   6   8   0   0   0   0   0   0   0   0 100
Tom_Heaton    30 eng 19  1  1  1 30 800 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Koen_Casteels 24 bel 19  1  1  1 30 740 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Vermeer     31 ned 19  1  1  1 30 716 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Tim_Krul      29 ned 19  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Forster     29 eng 19  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Marchetti   34 ita 19  1  1  1 30 660 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Foster    34 eng 19  1  1  1 30 660 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Nahuel_Guzmán 30 arg 19  1  1  1 30 650 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Hopf        29 swe 19  1  1  1 30 625 100 100 100   2   0  102   0   2   2   0   0   0   0   0   0   0   0 100
W_Hennessey   30 wal 19  1  1  1 30 623 100 100 100   4   0  379   0   8   4   0   0   0   0   0   0   0   0 100
S_Kapino      23 gre 19  1  1  1 30 601 100 100 100   1   1   33   0   3   1   0   0   0   0   0   0   0   0 100
Onur_Kivrak   29 tur 19  1  1  1 30 590 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kanibolotsky  29 ukr 19  1  1  1 30 590 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Denys_Boyko   29 ukr 19  1  1  1 30 576 100 100 100   1   1   32   0   2   2   0   0   0   0   0   0   0   0 100
M_Campaña     27 uru 19  1  1  1 30 554 100 100 100   2   1  184   0   4   2   0   0   0   0   0   0   0   0 100
Rémy_Riou     29 fra 19  1  1  1 30 550 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
S_Álvarez     30 esp 19  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Andújar     32 arg 19  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Silvio_Proto  33 bel 19  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Pickford    23 eng 19  1  1  1 30 470 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
L_Skorupski   25 pol 19  1  1  1 30 440 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Esteban_Dreer 35 ecu 19  1  1  1 30 440 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Marafona      29 por 19  1  1  1 30 436 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
F_Monetti     27 arg 19  1  1  1 30 400 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J_Orozco      30 mex 19  1  1  1 30 350 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Camilo_Vargas 28 col 19  1  1  1 30 333 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Tyton       30 pol 19  1  1  1 30 322 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rubén_Blanco  21 esp 19  1  1  1 30 320 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Yvon_Mvogo    22 sui 19  1  1  1 30 320 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
C_Toselli     28 chi 19  1  1  1 30 318 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lovre_Kalinic 27 cro 19  1  1  1 30 317 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Padt   26 ned 19  1  1  1 30 290 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Matz_Sels     25 bel 19  1  1  1 30 290 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harun_Tekin   28 tur 19  1  1  1 30 290 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
