Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Loris_Karius  23 ger 22  1  1  1 30 657 100 100 100  23   0 2212   0 112  34   0   0   0   0   0   0   0   0 100
S_Mignolet    29 bel 19  1  1  1 30 696 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ádám_Bogdán   29 hun 18  1  1  1 30 400 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Manninger   39 aut 18  1  1  1 30  81 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Clyne       25 eng  1 21 12  6 30 100  99 220 777  18   0 1610   0   0   0  27  17   5   0   2   4   0   0  88
Joel_Matip    25 cmr  1 21  1  1 30 100  70 709 677  18   0 1557   0   0   0  18   1   0   0   0   7   0   0 100
Dejan_Lovren  27 cro  1 20  1  1 30 100 964 697 726  18   0 1631   0   0   0  26   1   1   0   0   1   0   0  89
A_Moreno      24 esp  1 20 12  4 30 100 260  91 759  17   0 1477   2   0   0  19  13   3   1   3   1   0   0  85
Ragnar_Klavan 31 est  1 19  1  1 30 100 789 676 649  20   7 1515   0   0   0  15   0   3   0   0   2   0   0  88
Joe_Gomez     19 eng  1 18  1  1 30 100 735 680 671  12   4  962   0   0   0   6   0   1   0   0   1   0   0 100
C_Randall     21 eng  1 16  8  4 30 100 972 818 728   6   2  474   1   0   0   4   5   4   0   1   1   0   0 100
Lucas_Leiva   30 bra  1 19 20  1 30 100  10 379 677  14   1 1279   1   0   0  11  27   0   0   4   2   0   0 100
Emre_Can      23 ger  1 17 20  1 30 100 849  67 717  14   4  981   0   0   0   7  11   0   0   1   1   0   0 100
Kevin_Stewart 23 eng  1 16 18  1 30 100 691 644 707   2   1  130   0   0   0   2   4   0   0   0   1   0   0 100
J_Henderson   26 eng  1 14 21  6 30 100  47 287 756  20   1 1554   1   0   0  12  26   2   0   3   0   0   0  88
James_Milner  31 eng  1  6 20 13 30 100 613 490 984  17   4 1283   0   0   0   3  14  12   1   0  12   0   0  88
Marco_Benassi 22 ita  1 10 20  8 30 100 791 333 895  13   4  916   1   0   0   3  10   5   1   1   0   0   0  98
M_Dahoud      21 ger  1 11 19  7 30 100 704 963 787   9   8  377   0   0   0   1   8   1   0   0   0   0   0 100
Marko_Grujic  20 srb  1  8 18  9 30 100 592 402 744   1   1   43   0   0   0   0   2   2   1   0   0   0   0 100
P_Coutinho    24 bra  1  1 22 20 30 100 622  15 514  20   0 1547   2   0   0   2  28  32   8   3   0   0   0  93
Adam_Lallana  28 eng  1  1 21 19 30 100 623 165 334  14   0 1292   2   0   0   3  26  14   4   3   2   0   0 100
G_Wijnaldum   26 ned  1  1 20 19 30 100 540 516 153  12   2  971   1   0   0   0  11  18   4   0   4   0   0  88
Sheyi_Ojo     19 eng  1  1 17 14 30 100 580 438 777   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Firmino     25 bra  1  1 15 21 30 100 596 983 446  20   1 1588   2   0   0   2   9  38   5   1   1   0   0  88
D_Sturridge   27 eng  1  1  1 21 30 100 488 611 170  18   1 1509   0   0   0   0   0  34   8   0   3   0   0  91
Sadio_Mané    24 sen  1  1 18 20 30 100 540 786 661  20   8 1122   0   0   0   1   7  20   3   1   2   0   0 100
Leo_Baptistão 24 bra  1  1  1 20 30 100 535 655 115  14  11  670   0   0   0   0   0  18   3   0   0   0   0 100
Divock_Origi  21 bel  1  1 17 19 30 100 580 742 717   1   1   37   0   0   0   0   0   0   0   0   0   0   0 100
Danny_Ings    24 eng  1  1  1 19 30 100 570 690 303   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
