Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Anthony_Lopes 26 por 21  1  1  1 30 224 100 100 100  24   0 2232   1 106  43   0   0   0   0   0   0   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 820 100 100 100   1   1   47   0   0   0   0   0   0   0   0   0   0   0 100
M_Gorgelin    26 fra 17  1  1  1 30 539 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lucas_Mocio   22 fra 16  1  1  1 30 686 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Christensen 21 den  1 20  1  1 30 100 295 811 816  17   0 1575   0   0   0  19   1   4   0   0   3   0   0  88
Rafael_P      26 bra  1 19 11  5 30 100 652 310 252  13   0 1112   0   0   0  14   9   6   2   0   7   0   0  88
Jesús_Vallejo 20 esp  1 19  1  1 30 100 442  73 159  11   0  957   0   0   0  15   0   2   1   0   1   0   0 100
Issa_Diop     20 fra  1 19  1  1 30 100 434 804 805  14   3 1172   0   0   0  17   0   1   0   0   3   0   0 100
C_Jallet      33 fra  1 19 11  5 30 100 191 270  86  11   0 1042   0   0   0  18  13   3   0   0   6   0   0 100
E_Mammana     21 arg  1 19  1  1 30 100 106 114 110  13   0 1114   0   0   0  15   0   2   0   0   0   0   0  88
M_Yanga-Mbiwa 27 fra  1 18  1  1 30 100 876  71  80   1   1   88   0   0   0   0   0   0   0   0   0   0   0 100
Maciej_Rybus  27 pol  1 18  9  5 30 100 808 202 168  14   0 1328   0   0   0  17   9  11   1   0   1   0   0  88
Jérémy_Morel  32 fra  1 18 11  5 30 100 781 272 140   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Diakhaby    20 fra  1 18  1  1 30 100 686 160 133  11   0 1045   0   0   0  13   1   2   1   1   0   0   0 100
Jordy_Gaspar  19 fra  1 16 10  5 30 100 836 149 114   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Gonalons    28 fra  1 18 19  1 30 100 551 756 129  24  11 1184   1   0   0  17  22   1   1   2   1   0   0  96
Lucas_Tousart 19 fra  1 17 19  1 30 100 506  27  88  24  13 1120   1   0   0  13  25   0   0   2   4   0   0 100
M_Kranevitter 23 arg  1 14 18  4 30 100 234 977 170  11   0 1045   0   0   0   6  16   5   1   2   1   0   0 100
C_Tolisso     22 fra  1 14 20  5 30 100 385 461 170  14   0 1295   1   0   0   7  32   6   0   6   1   0   0  88
Houssem_Aouar 18 fra  1  6 17 10 30 100 176 491 301  22  11 1313   0   0   0   2  22   9   1   1   2   0   0 100
F_Anderson    23 bra  1  1 20 18 30 100 806 386 932  13   0 1234   0   0   0   0  21  20   2   3   2   0   0  88
M_Valbuena    32 fra  1  1 19 17 30 100  49 951 338   9   9  155   0   0   0   0   4   9   1   0   1   0   0 100
Nabil_Fekir   23 fra  1  1 19 17 30 100  51 874 536  16   0 1251   1   0   0   0  14  32   3   2   1   0   0  98
Bernard       24 bra  1  1 19 18 30 100 670 846 142  11   0  890   0   0   0   0   8  20   3   1   0   0   0 100
A_Lacazette   25 fra  1  1  1 21 30 100  84 106 482  17   1 1520   1   0   0   0   0  40   8   0   1   0   0  88
Memphis_Depay 23 ned  1  1 17 20 30 100  44 365 399  14   1  993   2   0   0   0   5  23   6   1   1   0   0  94
Lucas_Alario  23 arg  1  1  1 19 30 100 827 799 761  23  12 1335   1   0   0   1   0  37   4   0   3   0   0 100
R_Ghezzal     24 alg  1  1 16 19 30 100  80 182  60  11  11  289   1   0   0   0   4   9   1   1   5   0   0 100
Maxwel_Cornet 20 fra  1  1 17 18 30 100  77 163 978  11   0  745   1   0   0   0   5  18   3   0   2   0   0 100
Gaëtan_Perrin 20 fra  1  1  1 16 30 100  80  80 947   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
J-P_Mateta    19 fra  1  1  1 16 30 100 100 100 600   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
