Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Rico   23 esp 21  1  1  1 30 230 100 100 100   3   0  280   0  10   4   0   0   0   0   0   0   0   0 100
W_Caballero   35 arg 19  1  1  1 30  78 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Angus_Gunn    21 eng 17  1  1  1 30 500 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Otamendi    29 arg  1 21  1  1 30 100 248 654 673   2   0  113   0   0   0   3   0   0   0   0   0   1   0 100
Danny_Rose    26 eng  1 20 10  6 30 100 887 786 794   2   0  187   0   0   0   2   1   0   0   0   0   0   0  88
P_Zabaleta    32 arg  1 20 11  7 30 110 560 941 874   1   0   93   0   0   0   0   0   1   0   0   0   0   0 100
John_Stones   22 eng  1 20  1  1 30 100 222 686 750   1   0   93   0   0   0   2   0   0   0   0   0   0   0 100
Bacary_Sagna  34 fra  1 19 11  6 30 100 939 918 744   2   0  187   1   0   0   1   3   0   0   0   0   0   0 100
Rúben_Semedo  23 por  1 19  1  1 30 100 710 820 820   1   0   93   0   0   0   0   0   0   0   0   0   0   0 100
Gaël_Clichy   31 fra  1 19  9  5 30 100 643 842 765   2   0  187   0   0   0   3   3   1   0   1   0   0   0  88
F_Coentrão    28 por  1 19  9  5 30 100 365 730 613   1   1   74   0   0   0   3   0   0   0   0   0   0   0  96
Fernando      29 bra  1 17 19  1 30 100 740 660 697   1   0   93   0   0   0   1   2   0   0   0   1   0   0 100
Onyinye_Ndidi 20 nga  1 17 18  1 30 100 482 953 356   1   0   94   0   0   0   1   2   0   0   1   0   0   0 100
D_Amartey     22 gha  1 17 18  1 30 100 326 498  81   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
I_Gündogan    26 ger  1  8 21 12 30 100 626 565 866   3   0  215   0   0   0   0   3   1   0   1   1   0   0  88
Leon_Goretzka 22 ger  1  6 20 13 30 100 428 458 628   3   1  219   0   0   0   0   2   1   0   1   0   0   0  88
L_Pellegrini  20 ita  1 10 19  8 30 100 839 448 820   2   1  126   0   0   0   1   0   0   0   1   0   0   0 100
K_De_Bruyne   25 bel  1  1 22 20 30 100 585 184 212   3   0  225   0   0   0   0   2   6   3   0   0   0   0  88
Bernardeschi  23 ita  1  1 20 19 30 100 672 463 138   1   0   93   0   0   0   0   3   3   0   1   0   0   0  88
Jesús_Navas   31 esp  1  1 19 16 30 100 578 530 770   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Harry_Kane    23 eng  1  1  1 21 30 100 661 584 821   2   0  187   0   0   0   0   0   3   0   0   0   0   0 100
L_Insigne     25 ita  1  1 18 21 30 100 680 755 821   3   1  214   1   0   0   0   1   9   3   0   0   0   0  88
R_Sterling    22 eng  1  1 18 21 30 100 594 983 151   3   1  173   0   0   0   0   0   5   1   0   0   0   0  97
Nolito        30 esp  1  1 18 20 30 100 568 778 385   1   0   93   0   0   0   0   1   7   0   0   0   0   0  88
K_Iheanacho   20 nga  1  1  1 19 30 100 578 705 288   1   1   41   0   0   0   0   0   1   0   0   0   0   0 100
Diogo_Jota    20 por  1  1  1 19 30 100 396 396 234   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
