Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  18 ita 22  1  1  1 30 606 100 100 100  12   0  882   0  28  15   0   0   0   0   0   0   0   0 100
Pedro_Gallese 27 per 20  1  1  1 30  66 100 100 100  13   2 1193   0  44  21   0   0   0   0   0   1   0   0 100
A_Plizzari    17 ita 17  1  1  1 30  69 100 100 100   5   4  229   0   3   4   0   0   0   0   0   0   0   0 100
Thiago_Silva  32 bra  1 22  1  1 30 100 714 850 752  12   0 1118   0   0   0  20   1   3   0   0   1   0   0  87
L_Bonucci     29 ita  1 22  1  1 30 100  32 780 785  12   1 1042   0   0   0  14   0   2   0   0   7   0   0 100
Marquinhos    22 bra  1 21  1  1 30 100 447 808 799  10   1  908   0   0   0  18   1   1   0   0   1   0   0 100
R_Rodríguez   24 sui  1 21 12  6 30 100 223 154 842  18   2 1385   0   0   0  15  15  16   1   1   1   0   0  87
Dani_Alves    33 bra  1 21 11  5 30 100 134 983 849  15   2 1195   1   0   0   8   5  10   1   0   2   0   0  87
A_Romagnoli   22 ita  1 21  1  1 30 100  14 834 752   9   0  801   0   0   0  13   0   1   0   0   0   0   0  94
Atsuto_Uchida 29 jpn  1 19 11  5 30 100 632  62 815  10   1  757   0   0   0   8   7   7   1   1  10   0   0 100
Yuto_Nagatomo 30 jpn  1 19 11  6 30 100 286 780 625  11   0 1074   0   0   0  13  10   5   0   0   5   0   0 100
D_Calabria    20 ita  1 18  9  4 30 100 321 846 831   9   5  469   0   0   0   3   2   4   0   0   6   0   0 100
D_De_Rossi    33 ita  1 19 20  1 30 100   6 881 555  14   0 1358   1   0   0  13  36   2   0   1   3   0   0  87
R_Montolivo   32 ita  1 16 19  2 30 100 910 789 701   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Locatelli   19 ita  1 15 19  2 30 100 731 285 486   6   0  566   0   0   0   3   7   0   0   1   0   0   0 100
B_Matuidi     29 fra  1 16 22  5 30 100 136  29 871  14   1 1182   1   0   0   7  34  14   2   1   6   0   0  87
G_Bonaventura 27 ita  1  6 21 14 30 100 871 503 148  14   0 1358   2   0   0   1  32  30   3   2   4   0   0  87
Andrea_Pirlo  38 ita  1 13 20  7 30 100 132 912 848  12   0 1168   1   0   0   1  25  16   2   1   0   0   0  94
Paulinho      28 bra  1 14 20  7 30 100  61 553  28  10   1  852   0   0   0   5  24   7   1   3   1   0   0 100
Shinji_Kagawa 28 jpn  1  1 20 18 30 100 818 711  82   9   0  849   1   0   0   0  17  20   3   1   3   0   0 100
Keisuke_Honda 30 jpn  1  1 20 17 30 100 796  73 168   9   0  849   0   0   0   0  15  13   3   2   2   0   0 100
Ganso         27 bra  1  1 19 17 30 100 184 601 529   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
Z_Ibrahimovic 35 swe  1  1  1 22 30 100 742 829 714  13   2 1065   1   0   0   0   0  37   3   0  12   0   0  87
Suso          23 esp  1  1 18 20 30 100 830 144 747  12   0 1033   2   0   0   0  10  36   3   2   3   0   0  87
M_Balotelli   26 ita  1  1  1 20 30 100 778 829 708   8   0  597   0   0   0   0   0  24   1   0   0   0   0 100
A_Carrillo    25 per  1  1 17 19 30 100 890 959 968   9   0  881   1   0   0   1  10  31   5   0   0   0   0 100
S_Okazaki     30 jpn  1  1  1 19 30 100 845 840 602   6   1  502   2   0   0   0   0  20   6   0   0   0   0 100
P_Cutrone     19 ita  1  1  1 17 30 100 828 768 697   6   5  258   0   0   0   0   0  12   1   0   0   0   0 100
