Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  24 ita 21  1  1  1 30 950 100 100 100  20   1 1838   1  83  29   0   0   0   0   0   0   0   0 100
David_Ospina  28 col 20  1  1  1 30 470 100 100 100  10   0  919   0  29  17   0   0   0   0   0   0   0   0 100
Rafael        26 bra 19  1  1  1 30  17 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Eric_Bailly   22 civ  1 21  1  1 30 100 476 753 838  16   0 1382   0   0   0  18   1   0   0   0   7   0   0  93
Alex_Sandro   26 bra  1 21 12  7 30 100 366 213 978  16   2 1297   0   0   0  24  16   4   0   1   9   0   0 100
Marcos_Rojo   27 arg  1 21  1  1 30 100 296 751 863  15   1 1210   0   0   0  22   3   1   0   0   0   0   0 100
A_Valencia    31 ecu  1 20 12  7 30 100 979  85   2  18   3 1366   0   0   0  18  17   8   2   0   7   0   0 100
Niklas_Süle   21 ger  1 20  1  1 30 100 888 859 740  17   5 1276   0   0   0  20   1   2   0   0   2   0   0 100
M_Darmian     27 ita  1 20 11  6 30 100 719  55 968  16   2 1290   1   0   0  15  14   8   2   2   6   0   0  93
D_Sánchez     20 col  1 20  1  1 30 100 707 702 852  19   3 1362   0   0   0  15   0   5   0   0   1   0   0  93
J_Murillo     24 col  1 20  1  1 30 100 555 558 674  19   5 1457   0   0   0  18   1   3   0   0   5   0   1  93
Nemanja_Matic 28 srb  1 19 21  1 30 100 247 642 882  16   0 1422   0   0   0  11  30   1   0   4   6   0   0  95
Jorginho      25 ita  1 18 20  2 30 100 122 887 870  13   0 1206   0   0   0  11  18   2   0   4   4   0   0  93
P_Zielinski   22 pol  1  6 20 13 30 100 904 720 152  16   0 1386   1   0   0   1  26  11   1   5   6   0   0  93
R_Pereyra     25 arg  1  7 20 14 30 100  73 526 244  17   4 1254   1   0   0   4  18   9   3   1   8   0   0 100
J_Rodríguez   25 col  1  1 22 19 30 100 836 168 550  21   1 1562   1   0   0   1  15  23   6   1   0   0   0 100
Oscar         25 bra  1  1 21 18 30 100 795 113 504  17   4 1127   3   0   0   0  14  18   5   1   6   0   0  93
Ivan_Perisic  28 cro  1  1 20 19 30 100 664 986 302  19  10 1136   0   0   0   0  11  30   3   1   2   0   0  93
Juan_Cuadrado 28 col  1  1 20 19 30 100 848 964 618  19   6 1263   1   0   0   1  16  25   5   0   7   0   0 100
Neymar        25 bra  1  1 21 24 30 100 710 112 383  23   0 1861   3   0   0   0  11  54  12   0   0   0   0 100
Falcao        31 col  1  1  1 21 30 100 823 719 292  24   2 1879   1   0   0   0   0  34   4   0   1   0   0  98
K_Mitroglou   29 gre  1  1  1 21 30 100 733 876 146  19  11 1004   0   0   0   0   2  25   3   0   3   0   0 100
B_Gomis       31 fra  1  1  1 19 30 100 215 215 766  11   7  535   0   0   0   0   0  10   0   0   1   0   0 100
