Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  24 ger 21  1  1  1 30 677 100 100 100  18   0 1706   0  64  32   0   0   0   0   0   0   0   0 100
Pepe_Reina    34 esp 20  1  1  1 30 628 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Lichtsteiner  33 sui  1 21 12  7 30 100 270 155 907  22   5 1545   2   0   0  26  17  11   0   3   1   0   0  93
A_Laporte     22 fra  1 21  1  1 30 100 222 799 683  15   0 1135   0   0   0  10   1   0   0   0   8   0   0  93
Raúl_Albiol   31 esp  1 20  1  1 30 100 839 692 834  13   2 1051   0   0   0  12   0   0   0   0   8   0   0 100
Jonas_Hector  26 ger  1 20 11  5 30 100 416 115 958  12   0 1102   0   0   0  14  14   1   0   2   2   0   0  93
Elseid_Hysaj  23 alb  1 20 10  5 30 100 218  71 891  15   4 1126   0   0   0  12   9   5   1   2   1   0   0  96
A_Rüdiger     24 ger  1 19  1  1 30 100 968 533 511   8   3  579   0   0   0   8   0   0   0   0   3   0   0 100
P_Kimpembe    21 fra  1 19  1  1 30 100 446 826 844   7   1  642   0   0   0   9   0   1   0   0   1   0   0 100
C_Maggio      35 ita  1 18  9  5 30 100 801 796 875   2   1  124   0   0   0   0   1   0   0   0   0   0   0 100
J_Mascherano  32 arg  1 19 21  1 30 100 194 694 879  16   2 1282   1   0   0  11  26   3   0   2   0   0   0  93
W_Carvalho    24 por  1 19 20  1 30 100  39 868 655  14   3 1112   0   0   0  19  19   1   0   2   0   0   0 100
Rúben_Neves   20 por  1 16 19  2 30 100 676 302 454   5   1  330   0   0   0   0   5   0   0   0   5   0   0 100
Marek_Hamsik  29 svk  1  6 21 15 30 100 912 566 257  16   1 1209   2   0   0   1  26  17   6   4   6   0   1 100
Mario_Lemina  23 gab  1 12 19  6 30 100 825 624 855   7   2  528   0   0   0   1   6   1   0   1   1   0   0 100
N_Bentaleb    22 alg  1 12 19  6 30 100 308 548 393  10   2  829   0   0   0   3  15  10   2   3   0   0   0 100
Jordan_Ferri  25 fra  1 10 19  8 30 100 340  28 271   1   1   29   0   0   0   0   0   0   0   0   0   0   0 100
H_Mkhitaryan  28 arm  1  1 21 20 30 100 808 726 396  14   2 1069   0   0   0   0   8  26   4   4   5   0   0  93
E_Forsberg    25 swe  1  1 20 19 30 100 946 345 203  12   0 1138   1   0   0   0  19  23   5   4   2   0   0  85
E_Giaccherini 31 ita  1  1 19 17 30 100 810 520 997   1   0   93   0   0   0   0   0   0   0   0   0   0   0 100
Luis_Suárez   30 uru  1  1  1 23 30 100 702 702 734  22   3 1597   2   0   0   0   0  31  13   0   2   0   0  93
José_Callejón 30 esp  1  1 19 21 30 100 818 115 701  18   1 1397   2   0   0   0  10  34   7   1   2   0   0  93
D_Berardi     22 ita  1  1 19 20 30 100 834  33 689  17   8 1080   2   0   0   1   7  38   9   0   1   0   0 100
