Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Cardinale   23 fra 21  1  1  1 30 199 100 100 100  18   0 1650   0  58  32   0   0   0   0   0   0   0   0 100
W_Benítez     24 arg 18  1  1  1 30 362 100 100 100   2   1  190   0  13   4   0   0   0   0   0   0   0   0 100
K_Koulibaly   25 sen  1 21  1  1 30 100  94 701 779  12   0 1170   0   0   0   9   1   1   0   0   2   0   0 100
Dante         33 bra  1 20  1  1 30 100 592 805 681  13   0 1246   0   0   0  11   2   1   1   0   1   0   0  86
Loïc_Perrin   31 fra  1 20  1  1 30 100 482 834 744  10   0  955   0   0   0   9   1   1   0   0   7   0   0  93
Phil_Jones    25 eng  1 20  1  1 30 100 417 698 733  12   1  981   1   0   0   8   5   1   0   0   3   0   0 100
R_Pereira     23 por  1 20 11  6 30 100  13 814 604  16   1 1472   0   0   0  14   8   6   2   0   2   0   0 100
Dalbert       23 bra  1 19 11  5 30 100 894 950 679  13   0 1241   1   0   0  18   8   3   1   0   1   0   0  86
A_Souquet     25 fra  1 19 11  5 30 100 140 975 665  10   1  886   0   0   0   7   8   3   1   2   4   0   0  93
P_Burner      20 fra  1 17  8  4 30 100 617 794 637   4   1  325   0   0   0   4   1   0   0   0   2   0   0  93
V_Wanyama     25 ken  1 18 20  1 30 100  49  39 744  11   0 1044   0   0   0   8  21   0   0   1   2   0   0 100
G_Kondogbia   24 fra  1 16 19  2 30 100 778 490 512  11   3  860   0   0   0   9  15   0   0   1   1   0   0  93
Thiago        25 esp  1  7 22 14 30 100 857 191 192  12   0 1140   1   0   0   2  28  10   3   1   5   0   0 100
Jack_Wilshere 25 eng  1  8 20 11 30 100 898 525 866  11   1  984   0   0   0   2  14   4   0   2   1   0   0 100
V_Koziello    21 fra  1 12 20  6 30 100 951  43 659   8   0  758   2   0   0   5  14   2   0   3   1   0   0  93
Wylan_Cyprien 22 fra  1  8 20 10 30 100 849   4 802   7   0  594   0   0   0   2   7   5   1   0   6   0   0  93
Schwensteiger 32 ger  1 12 19  7 30 100 278 962 163   4   1  295   0   0   0   1   5   1   0   0   5   0   0 100
Y_Belhanda    27 mar  1  1 20 17 30 100 737 158 953  11   1  978   1   0   0   0  10  11   2   1   1   0   0  93
D_Caligiuri   29 ita  1  1 19 16 30 100 203 233 319   4   1  323   0   0   0   0   7   2   0   0   5   0   0 100
A_Lusamba     20 fra  1  1 18 16 30 100 783 724 757   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Martial     21 fra  1  1  1 21 30 100 776 670   7  10   0  983   2   0   0   0   1  30   4   0   1   0   0 100
Jonas         33 bra  1  1  1 20 30 100 663 797 642   8   1  676   1   0   0   0   0  19   6   0   5   0   0 100
A_Milik       23 pol  1  1  1 20 30 100 781 682 543   6   0  580   0   0   0   0   0  16   3   0   4   0   0 100
M_Oyarzabal   19 esp  1  1 17 20 30 100 709 943 101  10   0  889   1   0   0   0   8  13   1   1   2   0   0 100
David_Villa   35 esp  1  1  1 19 30 100 557 545 873   6   1  486   0   0   0   0   0  12   2   0   0   0   0  93
G_Guedes      20 por  1  1 17 19 30 100 639 959 486   7   1  583   0   0   0   1   4   9   0   0   0   0   0 100
Alexy_Bosetti 23 fra  1  1  1 18 30 100 805 805  52   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
