Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Arrizabalaga  22 esp 20  1  1  1 30 107 100 100 100  23   0 2163   0  94  36   0   0   0   0   0   0   0   0 100
Yohann_Pelé   34 fra 19  1  1  1 30 515 100 100 100   1   1   28   0   5   0   0   0   0   0   0   0   0   0 100
Brice_Samba   22 fra 17  1  1  1 30 260 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Rolando       31 por  1 19  1  1 30 100 301 263 229  18   0 1717   0   0   0  17   1   0   0   0   6   0   0  80
Hiroki_Sakai  26 jpn  1 19 11  5 30 100 177 516 314  20   1 1821   1   0   0  34  18   8   0   1   8   0   0  84
Dória         22 bra  1 19  1  1 30 100 125 246 267  19   1 1659   0   0   0  27   1   1   0   0   8   0   0  93
C_Lenglet     21 fra  1 18  1  1 30 100 821 244 276   8   1  670   1   0   0  11   0   1   0   0   5   0   0 100
Karim_Rekik   22 ned  1 18  1  1 30 100 600 276 271  11   5  726   0   0   0  14   0   0   0   0   1   2   0 100
Pedro_Pereira 19 por  1 18  9  4 30 100 118 522 317   8   1  641   0   0   0   9   8   0   0   2   0   0   0 100
Ben_Chilwell  20 eng  1 18 10  5 30 100 110 457 264  16   1 1370   0   0   0  20  14   5   0   0  14   0   0  93
C_C-Vickers   19 usa  1 17  1  1 30 100 962 259 248   5   1  375   0   0   0   4   0   0   0   0   1   0   0 100
W_Vainqueur   28 fra  1 16 19  2 30 100 646 709 217  17   1 1523   0   0   0  12  28   4   0   1  12   0   0  93
R_Mandragora  19 ita  1 16 18  1 30 100 746 256 547  10   0  949   2   0   0  12  14   1   0   2   3   0   0 100
A_Z_Anguissa  21 cmr  1 16 18  1 30 100 507 238 237  17   0 1571   0   0   0   9  26   3   0   1   3   0   0  93
Morgan_Sanson 22 fra  1 12 20  7 30 100 511 625 326  20   0 1673   2   0   0   9  37   8   0   6   0   0   0  80
Maxime_López  19 fra  1  8 19 10 30 100 418 238 442   6   0  552   0   0   0   1  11   3   0   0   0   0   0 100
Z_Machach     21 fra  1 10 17  7 30 100 284 872 283   2   0  143   0   0   0   0   1   0   0   0   0   0   0 100
Dimitri_Payet 30 fra  1  1 21 19 30 100 254  74 739  19   0 1783   0   0   0   1  13  36   4   1   3   0   0  93
J_Correa      22 arg  1  1 18 16 30 100 270 558 295   7   4  332   0   0   0   0   4   4   0   0   0   0   0 100
S-E_Khaoui    21 tun  1  1 17 15 30 100 280 424 305   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
M_Rashford    19 eng  1  1  1 20 30 100 928 728 695  26   4 1852   2   0   0   2   0  47  13   0   2   0   0  94
F_Thauvin     24 fra  1  1 18 20 30 100 242 390 552  19   1 1588   0   0   0   0   6  34   5   0   9   0   0  93
Paco_Alcácer  23 esp  1  1  1 19 30 100 211 218 443  23  16  929   0   0   0   0   1  20   3   0   2   0   0 100
Clinton_N'Jie 23 cmr  1  1 16 18 30 100 269 349 563   7   7  184   0   0   0   0   1   2   0   0   1   0   0 100
A_L_Iseka     19 bel  1  1  1 17 30 100 240 247 535   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
