Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       24 arg 22  1  1  1 30  36 100 100 100   3   0  285   0  16   6   0   0   0   0   0   0   0   0 100
Iker_Casillas 35 esp 19  1  1  1 30 311 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
José_Sá       24 por 18  1  1  1 30 520 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Pepe          34 por  1 21  1  1 30 100 158 557 561   2   0  126   0   0   0   4   1   0   0   0   0   2   0 100
Iñigo_Mtnez   25 esp  1 20  1  1 30 100 492 372 334   3   0  263   0   0   0   1   1   2   1   0   0   0   0  83
Sebas_Coates  26 uru  1 20  1  1 30 100 203 723 676   3   1  191   0   0   0   1   1   1   0   0   0   0   0 100
N_Maksimovic  25 srb  1 19  1  1 30 100 879  73  72   2   1  161   0   0   0   2   0   1   0   0   0   0   0 100
Felipe        27 bra  1 19  1  1 30 100 617  37  29   1   0   94   0   0   0   2   0   0   0   0   0   0   0  88
Maxi_Pereira  32 uru  1 19 11  5 30 100 392 372 130   1   0   94   0   0   0   0   0   0   0   0   1   0   0  88
Alex_Telles   24 bra  1 19 11  5 30 100 183 230 165   2   1  117   0   0   0   2   2   0   0   1   0   0   0 100
M_Le_Marchand 27 fra  1 19  1  1 30 100  88 688 570   1   0   94   0   0   0   3   0   0   0   0   0   0   0  88
Xabi_Alonso   35 esp  1 16 19  3 30 100 461 645 128   2   1  115   0   0   0   2   3   0   0   1   0   0   0  88
Miguel_Veloso 30 por  1 16 19  2 30 100 323 449  58   2   0  170   0   0   0   1   8   0   0   0   1   0   0 100
H_Herrera     26 mex  1  7 19 12 30 100 188 943 291   2   0  190   0   0   0   0   3   0   0   0   0   0   0  88
Sergi_Darder  23 esp  1 10 19  8 30 100 485 808 416   3   1  213   1   0   0   1   9   1   0   0   0   0   0 100
André_André   27 por  1  6 19 13 30 100 185 289 210   2   0  167   0   0   0   1   3   1   0   0   0   0   0  89
Denis_Suárez  23 esp  1  1 20 17 30 100 345 121 575   3   0  241   0   0   0   0   8   3   0   1   0   0   0  89
Otávio        22 bra  1  1 18 17 30 100  84 796 249   2   2   44   0   0   0   0   1   1   0   0   0   0   0 100
E_Cavani      30 uru  1  1  1 21 30 100 584 671 553   3   1  216   0   0   0   1   0   6   2   0   0   0   0  88
M_Mandzukic   30 cro  1  1  1 20 30 100  72  67 366   1   0   95   0   0   0   0   0   6   0   0   1   0   0 100
Wayne_Rooney  31 eng  1  1 17 20 30 100  60 219 315   2   0  163   1   0   0   0   1   7   2   0   0   0   0  88
Y_Brahimi     27 alg  1  1 17 20 30 100  54 193  82   1   0   96   0   0   0   0   2   6   0   0   0   0   0 100
F_Soares      26 bra  1  1  1 18 30 100  88  88 987   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
