Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
D_Subasic     32 cro 20  1  1  1 30 382 100 100 100  12   0 1135   0  46  15   0   0   0   0   0   2   0   0 100
L_Badiashile  19 fra 16  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Seydou_Sy     21 sen 16  1  1  1 30 460 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Kamil_Glik    29 pol  1 20  1  1 30 100 102 185 178   7   0  660   0   0   0  12   1   0   0   0   1   0   0  94
D_Sidibé      24 fra  1 19 11  7 30 100 470 209 195   8   0  697   2   0   0  11   3   3   0   0   6   0   0  94
Jemerson      24 bra  1 18  1  1 30 100 936 180 180   7   1  545   0   0   0   8   0   0   0   0   0   0   0 100
Andrea_Raggi  32 ita  1 18  1  1 30 100 728 200 200   4   0  372   0   0   0   4   0   0   0   0   0   0   0 100
B_Mendy       22 fra  1 18 11  5 30 100 726 282 204   6   0  559   1   0   0   4  12   2   0   0   1   0   0 100
Jorge         21 bra  1 17 10  5 30 100 912 197 190   4   0  303   0   0   0   6   1   0   0   0   5   0   0 100
Almamy_Touré  20 mli  1 17  9  4 30 100 768 262 201   6   1  430   0   0   0   4   6   1   0   1   0   0   0  94
Abdou_Diallo  20 fra  1 17  1  1 30 100 496 200 200   5   1  430   0   0   0   3   0   0   0   0   0   0   0  94
B_Silva       22 por  1  1 19 17 30 100 170 906 263   8   0  652   1   0   0   0   8   7   2   2   5   0   0 100
João_Moutinho 30 por  1 12 19  7 30 100 234 718 241   8   0  754   0   0   0   5  12   6   1   0   3   0   0  94
Fabinho       23 bra  1 17 19  2 30 100 206 376 178   8   0  734   0   0   0   4  14   0   0   1   1   0   0  94
Thomas_Lemar  21 fra  1  1 19 18 30 100 158 368 330   9   1  762   2   0   0   0  10  16   4   2   6   0   0  88
T_Bakayoko    22 fra  1 16 19  2 30 100 202  26 198   6   0  567   0   0   0   2   4   0   0   0   1   0   0  94
G_Boschilia   21 bra  1  1 18 15 30 100 178   5 228   3   1  229   0   0   0   0   1   1   1   0   1   0   0 100
Kévin_N'Doram 21 fra  1 14 16  2 30 100 216 931 200   3   0  280   0   0   0   3   3   0   0   1   0   0   0 100
Thomas_Müller 27 ger  1  1 19 20 30 100 180 241 622   9   1  745   0   0   0   0   3  10   2   1   0   0   0 100
V_Germain     26 fra  1  1  1 19 30 100 170 190 283   5   2  319   0   0   0   0   0   5   0   0   0   0   0 100
Kylian_Mbappé 18 fra  1  1 12 18 30 100 178 212 876   8   1  559   0   0   0   0   2  17   5   0   1   0   0  94
Nabil_Dirar   31 mar  1  1 16 18 30 100 178 240 626   7   3  382   0   0   0   0   6   8   2   0   1   0   0 100
G_Carrillo    25 arg  1  1  1 18 30 100 180 200 250   2   2   98   0   0   0   0   0   0   0   0   0   0   0 100
