Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jan_Oblak     24 svn 21  1  1  1 30 112 100 100 100  10   0  925   0  39  10   0   0   0   0   0   0   0   0 100
M_Ángel_Moyá  32 esp 19  1  1  1 30 550 100 100 100   3   2  114   0   6   0   0   0   0   0   0   0   0   0 100
André_Moreira 21 por 17  1  1  1 30 610 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Diego_Godín   31 uru  1 21  1  1 30 100  70 201 204   8   0  692   0   0   0   8   1   2   0   0   3   0   0  94
Filipe_Luís   31 bra  1 20 12  6 30 100 473 270 236   8   0  730   0   0   0   9  10   3   1   0   0   0   0 100
José_Giménez  22 uru  1 19  1  1 30 100 932 183 176   6   0  561   0   0   0  13   1   0   0   0   2   0   0 100
Juanfran      32 esp  1 19 11  6 30 100 833 233 211   6   0  522   1   0   0   4   4   5   0   1   5   0   0  94
Stefan_Savic  26 mne  1 19  1  1 30 100 648 180 180   5   2  231   0   0   0   4   0   0   0   0   5   0   0 100
Samuel_Umtiti 23 fra  1 19  1  1 30 100 630 205 209   5   2  403   0   0   0   1   1   3   0   0   1   0   0 100
Nacho_Monreal 31 esp  1 19 11  7 30 100 286 197 257   6   1  471   1   0   0   3   1   5   2   0   0   0   0  94
Sime_Vrsaljko 25 cro  1 18 11  5 30 100 980 200 200   1   0   10   0   0   0   0   0   0   0   0   0   0   0 100
Y_Carrasco    23 bel  1  1 20 18 30 100 180 154 387   8   0  725   2   0   0   1  15  13   6   3   6   0   0  94
Koke          25 esp  1  6 20 13 30 100 180 119 245   7   0  621   0   0   0   0  14   8   1   1   0   0   0  94
Nico_Gaitán   29 arg  1  1 20 17 30 100 170 102 215   8   1  618   0   0   0   0  13  13   0   1   5   0   0 100
Lucas_Biglia  30 arg  1 18 19  1 30 100 238 839 205   9   1  752   1   0   0   5  23   3   0   2   1   0   0  94
Gabi          33 esp  1 12 19  7 30 100 190 707 210   4   0  381   0   0   0   1   7   4   0   1   1   0   0  94
A_Fernández   30 arg  1 17 19  2 30 100 246 564 201   8   1  690   0   0   0   3  12   1   0   1   0   0   0 100
Tiago         35 por  1 13 19  6 30 100 266 548 191   5   0  469   0   0   0   8  14   1   0   0   0   0   0 100
S_Castillejo  22 esp  1  1 19 17 30 100 180 543 254   7   1  567   0   0   0   0   9   9   1   1   0   0   0  96
Saúl_Ñíguez   22 esp  1  7 19 12 30 100 240 364 302   7   2  520   1   0   0   5  12   7   3   0   0   0   0 100
A_Griezmann   26 fra  1  1 15 21 30 100 178 205 195  10   0  803   2   0   0   0   1  33   4   0   1   0   0 100
Kévin_Gameiro 29 fra  1  1  1 19 30 100 214 198 974   8   1  605   0   0   0   3   0  20   4   0   1   0   0 100
F_Torres      33 esp  1  1  1 19 30 100 180 200 526   8   6  335   0   0   0   0   0  13   1   0   0   0   0 100
Ángel_Correa  22 arg  1  1 16 19 30 100 168 188  61   5   1  372   0   0   0   0   0  12   1   0   6   0   0  94
