Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
M_ter_Stegen  24 ger 19  1  1  1 30 960 100 100 100   7   0  580   0  13   6   0   0   0   0   0   1   1   0 100
J_Cillessen   27 ned 19  1  1  1 30 611 100 100 100   6   1  561   0  15   7   0   0   0   0   0   0   0   0 100
Jordi_Masip   28 esp 17  1  1  1 30 610 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Gerard_Piqué  30 esp  1 20  1  1 30 100 877 196 201  11   2  885   0   0   0   8   0   1   0   0   2   0   0  87
Jordi_Alba    28 esp  1 20 12  6 30 100 648 295 239   8   0  756   0   0   0  10  11   4   1   1   1   0   0 100
M_Musacchio   26 arg  1 19  1  1 30 100 956 200 202   8   0  764   0   0   0   8   0   2   0   0   0   0   0  87
J_Mathieu     33 fra  1 19  1  1 30 100 476 188 188   4   0  343   0   0   0   4   0   0   0   0   6   0   0 100
Lucas_Digne   23 fra  1 19 11  5 30 100   4 269 236   5   0  475   1   0   0   2   7   3   1   1   0   0   0  94
V_Chiriches   27 rou  1 18  1  1 30 100 904 196 196   5   0  474   0   0   0   4   0   0   0   0   2   0   0  94
Kenny_Tete    21 ned  1 18  9  5 30 100 626 221 212   6   0  536   1   0   0   8   3   4   0   0   0   0   0  94
Aleix_Vidal   27 esp  1 18 11  5 30 100 568 197 190   5   0  477   0   0   0   4   1   0   0   0   0   0   0 100
D_Calabria    20 ita  1 17  9  4 30 100 590 200 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Iniesta     32 esp  1  7 21 14 30 100 192 841 280  10   1  715   3   0   0   3  15  18   2   8   2   0   0  94
Ivan_Rakitic  29 cro  1  8 20 12 30 100 202 898 249   8   0  704   1   0   0   2  15  10   1   1   1   0   0 100
S_Busquets    28 esp  1 18 20  2 30 100 250 701 205   8   1  684   0   0   0   6  19   3   0   1   1   0   0  94
André_Gomes   23 por  1 13 19  6 30 100 194 866 208   7   0  662   0   0   0   2   8   6   0   0   0   0   0 100
D_Pereira     25 por  1 18 19  1 30 100 214 853 198   7   1  582   0   0   0   3   5   0   0   0   1   0   0 100
Lucas         24 bra  1  1 19 17 30 100 180 689 261   7   4  362   0   0   0   0   7  12   1   0   0   0   0  94
Sergi_Roberto 25 esp  1 12 19  7 30 100 214 348 204   5   1  373   0   0   0   3  10   2   0   0   1   0   0 100
Rafinha_Alc   24 bra  1  6 19 13 30 100 180 287 205   5   4  182   0   0   0   0   1   1   0   0   0   0   0 100
Marko_Rog     21 cro  1  1 18 17 30 100 180 550 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Betancur    19 uru  1  9 17  8 30 100 178 533 205   4   1  303   0   0   0   0   5   3   0   1   1   0   0 100
Lionel_Messi  29 arg  1  1 20 22 30 100 176 327 530  13   2  913   1   0   0   0  13  38   8   2   2   0   0 100
Neymar        25 bra  1  1 20 22 30 100 176 252 287  12   1  912   3   0   0   0   8  44   6   0   2   0   0 100
Paulo_Dybala  23 arg  1  1 18 20 30 100 178 254 825  12   7  667   2   0   0   0   8  26   7   0   1   0   0  94
Ahmed_Musa    24 nga  1  1  1 18 30 100 180 200 612   2   2   44   0   0   0   0   0   4   2   0   0   0   0 100
