Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Roman_Bürki   26 sui 20  1  1  1 30 414 100 100 100  12   0 1146   0  64  21   0   0   0   0   0   1   0   0 100
Weidenfeller  36 ger 18  1  1  1 30 700 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
H_Bonmann     23 ger 16  1  1  1 30 560 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sokratis      28 gre  1 20  1  1 30 100 521 192 198   7   0  671   1   0   0  14   2   0   0   0   1   0   0  88
L_Piszczek    31 pol  1 20 10  5 30 100   1 229 217   8   0  761   0   0   0  15   7   5   0   0   0   0   0  76
Sven_Bender   27 ger  1 19  1  1 30 100 562 187 205   3   0  285   0   0   0   6   1   1   0   0   0   0   0 100
Marc_Bartra   26 esp  1 19  1  1 30 100 544 180 201   4   0  380   0   0   0   7   0   1   0   0   0   0   0  88
R_Guerreiro   23 por  1 19 10  5 30 100 454 251 199   8   1  721   0   0   0  13   9   3   0   1   1   0   0 100
M_Schmelzer   29 ger  1 19 11  7 30 100 440 192 269   8   0  712   0   0   0  11   2   5   2   0   1   0   0  76
M_Ginter      23 ger  1 19  1  1 30 100  83 185 198   3   0  285   0   0   0   7   1   0   0   0   1   0   0 100
Erik_Durm     24 ger  1 18 11  5 30 100 724 180 205   2   0  192   0   0   0   2   0   1   0   0   0   0   0 100
Joo-Ho_Park   30 kor  1 18  7  4 30 100 400 180 200   1   0   45   0   0   0   0   0   0   0   0   0   0   0 100
J_Riedewald   20 ned  1 18  1  1 30 100 260 178 198   1   1   53   0   0   0   1   0   0   0   0   1   0   0 100
Marco_Reus    27 ger  1  1 21 18 30 100 200  51 323   7   0  672   0   0   0   0  10  12   3   0   0   0   0 100
Mario_Götze   24 ger  1  1 19 17 30 100 202 748 280   7   0  671   2   0   0   1  14  12   2   2   0   0   0  88
X_Shaqiri     25 sui  1  1 19 18 30 100 184 667 201   6   0  569   0   0   0   0   9   5   0   0   3   0   0  76
Shinji_Kagawa 28 jpn  1  1 19 17 30 100 200 648 230   2   0  143   0   0   0   0   4   1   1   0   0   0   0 100
Julian_Weigl  21 ger  1 17 19  2 30 100 281 638 191   7   0  621   0   0   0   8  19   1   0   4   0   0   0  88
G_Castro      29 ger  1 12 19  7 30 100 190 631 191   3   1  240   0   0   0   0   3   1   0   0   0   0   0 100
A_Schürrle    26 ger  1  1 19 18 30 100 190 512 248   8   1  712   0   0   0   0   6   9   1   2   0   0   0  81
Nuri_Sahin    28 tur  1 12 18  6 30 100 200 853 188   3   1  191   0   0   0   1   5   0   0   0   1   0   0 100
S_Rode        26 ger  1 13 18  5 30 100 212 837 206   2   1  147   0   0   0   1   1   2   0   0   0   0   0 100
Mikel_Merino  20 esp  1 11 18  7 30 100 200 380 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Dzenis_Burnic 18 ger  1 14 16  2 30 100 200 210 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Aubameyang  27 gab  1  1  1 20 30 100 198 205 885   8   0  765   0   0   0   0   1  18   2   1   1   0   0  75
O_Dembélé     19 fra  1  1 18 19 30 100 200 228 604   8   0  723   1   0   0   0   4  16   4   1   0   0   0  78
C_Pulisic     18 usa  1  1 16 18 30 100 190 170 432   3   0  285   1   0   0   0   0   5   1   0   0   0   0 100
Emre_Mor      19 tur  1  1 16 17 30 100 210 192 639   2   0  191   0   0   0   1   2   2   1   0   1   0   0 100
Vaclav_Cerny  19 cze  1  1 15 17 30 100 200 187 624   1   0   97   0   0   0   0   1   6   0   0   0   0   0 100
