Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Bernd_Leno    25 ger 21  1  1  1 30  76 100 100 100   9   0  855   0  74  30   0   0   0   0   0   0   0   0 100
Ramazan_Özcan 32 aut 18  1  1  1 30 501 100 100 100   4   0  378   1  12   7   0   0   0   0   0   0   0   0 100
Niklas_Lomb   23 ger 17  1  1  1 30   1 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ömer_Toprak   27 tur  1 19  1  1 30 100 974 178 204   6   0  565   0   0   0  13   0   2   0   0   1   0   0 100
Jonathan_Tah  21 ger  1 19  1  1 30 100 774 190 197   6   0  496   0   0   0   9   2   1   0   0   2   0   0  94
A_Dragovic    26 aut  1 19  1  1 30 100 152 170 220   5   1  456   0   0   0  11   0   1   1   0   0   0   0 100
Wendell       23 bra  1 18 11  5 30 100 900 232 190   4   0  256   0   0   0   5   6   0   0   1   0   4   0 100
B_Henrichs    20 ger  1 18 11  5 30 100 462 218 196   6   0  363   0   0   0   6   4   2   0   1   0   4   0 100
Tin_Jedvaj    21 cro  1 18  1  1 30 100 454 180 206   5   0  410   0   0   0   2   0   2   0   0   0   0   0  94
R_Hilbert     32 ger  1 18 11  5 30 100 370 304 211  10   9  526   0   0   0  10  12   3   0   2   0   0   0  95
D_da_Costa    23 ger  1 17 10  5 30 100 882 180 201   1   1   33   0   0   0   1   0   1   0   0   0   0   0 100
J_Abu_Hanna   19 ger  1 16  1  1 30 100 340 180 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Bellarabi   26 ger  1  1 19 18 30 100 212 911 366   7   0  662   0   0   0   1  13  27   3   1   0   0   0 100
Lars_Bender   27 ger  1 18 19  1 30 100 296 779 207   9   1  789   0   0   0   8  17   3   0   2   0   0   0  94
Kevin_Kampl   26 svn  1  7 19 12 30 100 204 753 217   7   0  472   0   0   0   2  19   4   1   1   0   0   0 100
Julian_Brandt 20 ger  1  1 19 17 30 100 190 278 243   4   0  380   0   0   0   0   4   8   1   0   0   0   0  94
Baumgartinger 29 aut  1 17 18  1 30 100 272 934 205   8   4  487   1   0   0   6  12   1   0   1   0   0   0 100
C_Aránguiz    27 chi  1 11 18  7 30 100 210 891 204   6   3  258   0   0   0   1   9   2   0   0   1   0   0 100
V_Yurchenko   23 ukr  1  8 17  9 30 100 200 249 200   4   4  112   0   0   0   0   7   0   0   0   0   0   0 100
Kevin_Volland 24 ger  1  1 18 19 30 100 200 297 497   9   2  739   0   0   0   0  11  37   4   2   0   0   0 100
H_Calhanoglu  23 tur  1  1 18 19 30 100 198 241 484   8   1  701   1   0   0   0   9  34   4   0   1   0   0  94
M_Batshuayi   23 bel  1  1  1 19 30 100 200 187 282   3   0  282   0   0   0   0   1   2   0   0   0   0   0 100
Admir_Mehmedi 26 sui  1  1 17 18 30 100 190 256 806   8   1  686   1   0   0   1  14  17   3   0   6   0   0 100
Leon_Bailey   19 jam  1  1 17 18 30 100 188 203 767   9   5  563   1   0   0   0   5  24   5   0   1   0   0  94
S_Kiebling    33 ger  1  1  1 18 30 100 170 150 711  10   0  571   0   0   0   0   0  13   0   0   0   0   0 100
J_Pohjanpalo  22 fin  1  1  1 17 30 100 190 170 775   5   1  418   0   0   0   0   0   8   1   0   0   0   0  94
