Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Manuel_Neuer  31 ger 22  1  1  1 30 322 100 100 100  10   0  938   0  35  14   0   0   0   0   0   0   0   0 100
Sven_Ulreich  28 ger 18  1  1  1 30 823 100 100 100   2   0  191   0  10   1   0   0   0   0   0   0   0   0 100
J_Boateng     28 ger  1 21  1  1 30 100 325 202 168   8   1  687   0   0   0   1   2   0   0   0   1   0   0 100
Philipp_Lahm  33 ger  1 21 18  6 30  93 120 242 217   9   1  731   0   0   1  10   6   4   1   0   0   0   0  92
Mats_Hummels  28 ger  1 21  1  1 30 100  77 180 163   9   2  676   0   0   0   8   0   3   0   0   5   0   0 100
David_Alaba   24 aut  1 20 18  6 30 100 724 291 223  11   0  842   2   0   0  12  13   6   1   0   0   0   0 100
Miguel_Layún  28 mex  1 19 11  7 30 100 525 254 184   8   2  613   0   0   0   2   8   2   0   0   1   0   0 100
Luke_Shaw     21 eng  1 19 11  6 30 100 358 241 193   9   4  565   1   0   0   4   3   5   0   1   0   0   0  92
Mau_Lemos     21 uru  1 18  1  1 30 100 748 200 211   7   2  516   0   0   0   4   0   2   1   0   0   0   0  92
F_Coentrão    28 por  1 18  9  5 30 100 690 197 170   1   0   93   0   0   0   0   1   0   0   0   0   0   0 100
Paul_Pogba    24 fra  1 10 21 10 30 100 212 139 229  10   1  742   0   0   0   1  17   8   1   1   0   0   0 100
M_Verratti    24 ita  1 14 20  6 30 100 224 730 218  11   3  783   1   0   0   2  20  10   0   2   0   0   0 100
Douglas_Costa 26 bra  1  1 20 17 30 100 188  52 291  10   3  726   1   0   0   0   9  20   3   0   1   0   0  92
Granit_Xhaka  24 sui  1 17 19  2 30 100 258 811 179   7   1  594   0   0   0   5  19   1   0   2   1   0   0 100
J_Kimmich     22 ger  1 13 19  6 30 100 236 377 197   7   1  589   1   0   0   3  11   5   0   1   0   0   0  92
Óliver_Torres 22 esp  1  1 19 16 30 100 198  60 208   5   1  375   1   0   0   0   6   1   1   1   1   0   0 100
Rúben_Neves   20 por  1 16 18  2 30 100 238 487 170   6   2  421   0   0   0   4  11   0   0   1   0   0   0  92
Onyinye_Ndidi 20 nga  1 17 18  1 30 100 198 461 178   2   0  189   0   0   0   0   9   0   0   0   1   0   0 100
Gareth_Bale   27 wal  1  1 20 21 30 100 196 245 717  11   1  835   0   0   0   0   7  26   4   0   2   0   0 100
Arjen_Robben  33 ned  1  1 19 20 30 100 200 228 980  12   4  837   1   0   0   0   4  36   4   0   0   0   0  92
K_Coman       20 fra  1  1 17 19 30 100 188 195 354  10   2  695   0   0   0   0   1  20   2   0   1   0   0 100
Diogo_Jota    20 por  1  1  1 18 30 100 200 200 842   6   5  180   0   0   0   0   0   4   0   0   0   0   0 100
