Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
T_Courtois    24 bel 21  1  1  1 30 590 100 100 100   8   0  667   0  41   6   0   0   0   0   0   1   1   0 100
Asmir_Begovic 29 bih 19  1  1  1 30 874 100 100 100   5   1  420   0  22   8   0   0   0   0   0   0   0   0 100
Eduardo       34 por 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
David_Luiz    29 bra  1 19  1  1 30 100 958 105  98   6   0  571   0   0   0   5   1   0   0   0   1   0   0  93
C_Azpilicueta 27 esp  1 19 10  5 30 100 906 144  93   7   0  583   0   0   0  14   8   1   0   0   6   0   0 100
Gary_Cahill   31 eng  1 19  1  1 30 100 876  95  88   7   0  667   0   0   0  14   1   0   0   0   1   0   0  93
John_Terry    36 eng  1 19  1  1 30 100 479  98 129   6   0  604   0   0   0   9   0   2   1   0   1   0   0 100
Daley_Blind   27 ned  1 19 10  6 30 100 418 133 106   5   0  442   0   0   0   5   5   4   0   0   1   0   0 100
Kurt_Zouma    22 fra  1 19  1  1 30 100 287 120  98   6   0  604   0   0   0   7   1   0   0   1   1   0   0 100
Nathan_Aké    22 ned  1 18  1  1 30 100 346 112  98   5   0  479   0   0   0   4   2   0   0   0   1   0   0  93
Kenedy        21 bra  1 17  9  4 30 100 970 166  98   5   0  473   0   0   0   6   4   0   0   2   1   0   0  93
Todd_Kane     23 eng  1 17 10  5 30 100 520 125  98   2   0  192   0   0   0   1   1   0   0   1   1   0   0 100
Ola_Aina      20 nga  1 16 10  5 30 100 570 100 100   1   1   26   0   0   0   0   0   0   0   0   0   0   0 100
Eden_Hazard   26 bel  1  1 21 20 30 100  90 264 150   8   1  684   0   0   0   0   7  15   1   0   0   0   0 100
Cesc_Fàbregas 29 esp  1  8 20 12 30 100 136 561 151   8   2  583   0   0   0   3  13   6   1   1   0   0   0 100
Willian       28 bra  1  1 20 19 30 100  98 237 143   6   0  472   0   0   0   0   2   8   1   0   1   0   0 100
N'Golo_Kanté  26 fra  1 18 19  1 30 100 128 922  80  12   0  810   0   0   0   4  26   0   0   2  10   0   2  95
M_Carrick     35 eng  1 18 19  1 30 100 220 678 100   8   3  591   0   0   0  10  14   0   0   2   0   0   0 100
D_Drinkwater  27 eng  1 11 19  8 30 100 124 223 161   8   2  587   1   0   0   3   5   7   2   1   1   0   0  93
Victor_Moses  26 nga  1  1 18 16 30 100  90 768 185   5   2  338   0   0   0   0   4  18   1   0   0   0   0  93
C_Musonda     20 bel  1  1 18 17 30 100  98 545 236   6   3  353   1   0   0   0  11  10   4   1   1   0   0  93
N_Chalobah    22 eng  1 15 17  2 30 100 172 785 100   7   1  597   0   0   0   6  15   0   0   2   0   0   0  93
Loftus-Cheek  21 eng  1  6 17 11 30 100 110 269 144   5   4  247   1   0   0   1   3   5   1   0   1   0   0 100
Diego_Costa   28 esp  1  1  1 20 30 100 100 100 735   8   1  708   1   0   0   0   0  30   7   0   0   0   0  93
Pedro         29 esp  1  1 18 19 30 100 100 142 779   6   1  517   2   0   0   0   6   9   1   0   0   0   0 100
Chicharito    28 mex  1  1  1 19 30 100  98  98 685   6   0  559   0   0   0   0   0  15   4   0   1   0   0 100
