Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
K_Schmeichel  30 den 20  1  1  1 30  97 100 100 100   8   0  794   0  45  12   0   0   0   0   0   0   0   0 100
R-R_Zieler    28 ger 19  1  1  1 30 286 100 100 100   3   0  286   0   6   2   0   0   0   0   0   0   0   0 100
Ben_Hamer     29 eng 16  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hugo_Mallo    25 esp  1 19 11  6 30 100 284 192  99   6   0  576   0   0   0   9   8   3   0   2   2   0   0  86
M_Debuchy     31 fra  1 18 11  5 30 100 950 132 100   6   0  484   0   0   0   5   6   2   0   0   5   0   0  86
Robert_Huth   32 ger  1 18  1  1 30 100 874  98 103   6   0  576   0   0   0   8   0   1   0   0   1   0   0  86
Wes_Morgan    33 jam  1 18  1  1 30 100 714  83  76   5   0  479   0   0   0   9   1   0   0   0   2   0   0 100
C_Fuchs       30 aut  1 18  9  5 30 100 710 118  97   6   0  600   1   0   0  10   4   3   0   0   0   0   0 100
Danny_Simpson 30 eng  1 18  7  4 30 100 372 128 105   5   0  504   0   0   0   6   4   1   0   0   0   0   0 100
Molla_Wague   26 mli  1 18  1  1 30 100 246 100 100   5   0  504   0   0   0   8   0   0   0   0   0   0   0 100
Y_Benalouane  30 tun  1 18  1  1 30 100 238  98  98   5   0  504   0   0   0   5   0   0   0   0   1   0   0 100
M_Wasilewski  36 pol  1 17  1  1 30 100 510 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Ben_Chilwell  20 eng  1 17 10  5 30 100 380 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Franck_Ribéry 33 fra  1  1 20 19 30 100 112 566 201   8   1  658   1   0   0   1   8  10   3   3   0   0   0  97
Riyah_Mahrez  26 alg  1  1 19 17 30 100  90 932 142   6   0  553   0   0   0   0   6   7   1   0   5   0   0 100
Dani_Ceballos 20 esp  1  8 18 10 30 100 148 799 146   5   0  480   1   0   0   4   7   5   1   0   0   0   0  86
Ashley_Young  31 eng  1  1 18 17 30 100  88 766 109   5   0  452   0   0   0   0   4   9   0   0   6   0   0  86
N_Mendy       24 fra  1 17 18  1 30 100 196 685  88   6   0  547   0   0   0   9  11   0   0   1   6   0   0 100
Renato_S      19 por  1  7 18 11 30 100 110 619 159   5   0  504   0   0   0   1   3   3   2   0   1   0   0 100
M_Albrighton  27 eng  1  1 18 17 30 100  88 616 127   4   0  383   0   0   0   0   4   6   1   0   1   0   0  86
D_Amartey     22 gha  1 17 18  1 30 100 138 175  91   4   0  383   0   0   0   4   5   1   0   0   0   0   0 100
Demarai_Gray  20 eng  1  1 17 15 30 100  90 767  90   1   0   97   0   0   0   0   1   0   0   0   0   0   0  86
Andy_King     28 wal  1 10 17  7 30 100 124 675 100   2   0  194   0   0   0   2   5   0   0   0   0   0   0  86
B_Kapustka    20 pol  1  1 17 15 30 100 100 100 640   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Islam_Slimani 28 alg  1  1  1 19 30 100 100 100 622   7   1  645   0   0   0   0   0  12   2   0   0   0   0  86
Jamie_Vardy   30 eng  1  1  1 19 30 100  80  68 445   6   0  482   1   0   0   1   0   8   3   0   6   0   1 100
Lucas_Pérez   28 esp  1  1  1 19 30 100 100 100 439   5   0  463   1   0   0   0   0   8   2   0   0   0   0 100
I_Williams    22 esp  1  1 18 19 30 100 100 121 217   5   0  479   0   0   0   0   3   9   0   0   0   0   0 100
L_Ulloa       30 arg  1  1  1 18 30 100  98 105 184   2   1  166   0   0   0   0   1   3   1   0   1   0   0 100
