Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Anthony_Lopes 26 por 20  1  1  1 30 181 100 100 100  11   0  994   0  51  13   0   0   0   0   0   0   0   0 100
M_Gorgelin    26 fra 17  1  1  1 30 152 100 100 100   3   1  269   0   6   4   0   0   0   0   0   0   0   0 100
Lucas_Mocio   22 fra 16  1  1  1 30 570 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_N'Koulou    27 cmr  1 18  1  1 30 100 970 105  98   4   0  381   0   0   0   6   1   0   0   0   1   0   0 100
Rafael_P      26 bra  1 18 11  5 30 100 968 147  95   7   1  556   0   0   0   7   9   3   0   0   8   0   0  83
C_Jallet      33 fra  1 18 11  5 30 100 806 126  85   4   0  413   0   0   0   6   6   1   0   0   3   0   0 100
M_Yanga-Mbiwa 27 fra  1 18  1  1 30 100 628  80  81   4   1  351   0   0   0   4   0   1   0   0   5   0   0 100
Maciej_Rybus  27 pol  1 18  9  5 30 100 294 116  99   6   1  523   1   0   0  13   4   3   0   0   1   0   0 100
E_Mammana     21 arg  1 18  1  1 30 100 238  98 103   7   0  691   0   0   0   5   0   1   0   0   1   0   0  89
Jérémy_Morel  32 fra  1 18 11  5 30 100 233 133 101   7   0  691   0   0   0   6   5   3   0   0   1   0   0  89
M_Diakhaby    20 fra  1 18  1  1 30 100  15 114 100   6   0  509   0   0   0   7   2   0   0   0   0   0   0 100
Jordy_Gaspar  19 fra  1 16 10  5 30 100 618 128 107   4   1  266   0   0   0   4   4   3   0   0   0   0   0  89
M_Valbuena    32 fra  1  1 19 17 30 100  96 460 153   9   1  723   0   0   0   0  12   8   1   1   2   0   0  86
C_Tolisso     22 fra  1 14 19  5 30 100 146 416  93   7   0  691   0   0   0   5  10   3   0   0   2   0   0  89
M_Gonalons    28 fra  1 18 19  1 30 100 240 301  96   8   1  736   0   0   0  12  15   0   0   1   2   0   0 100
Nabil_Fekir   23 fra  1  1 19 17 30 100  90 260 145   7   0  659   0   0   0   0  10  19   0   1   0   0   0  94
Sergi_Darder  23 esp  1 10 18  8 30 100 110 983 128   7   3  470   1   0   0   2  11   5   1   1   2   0   0  97
Jordan_Ferri  25 fra  1 10 18  8 30 100 136 478 112   4   0  381   0   0   0   3   4   4   0   0   0   0   0 100
Lucas_Tousart 19 fra  1 17 18  1 30 100 132 352  96   5   0  472   0   0   0   3   8   0   0   0   2   0   0  89
Houssem_Aouar 18 fra  1  6 16 10 30 100 100 811 111   5   3  234   0   0   0   0   3   3   0   0   0   0   0 100
A_Lacazette   25 fra  1  1  1 20 30 100 106  94 320   9   2  746   0   0   0   1   0  18   2   0   3   0   0  89
Memphis_Depay 23 ned  1  1 17 19 30 100  90 153 140   7   1  612   3   0   0   1   5  26   7   2  11   0   0 100
R_Ghezzal     24 alg  1  1 16 18 30 100 102 104 652   7   3  389   0   0   0   1   2  13   1   0   0   0   0 100
Maxwel_Cornet 20 fra  1  1 17 18 30 100  88  95 308   6   1  400   0   0   0   0   1   8   0   0   1   0   0  98
Gaëtan_Perrin 20 fra  1  1  1 16 30 100  90  90 782   2   1   86   0   0   0   0   0   2   0   0   0   0   0 100
J-P_Mateta    19 fra  1  1  1 16 30 100 100 100 460   2   1  102   0   0   0   0   0   0   0   0   0   0   0 100
