Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Claudio_Bravo 33 chi 20  1  1  1 30 495 100 100 100  12   0 1139   1  71  20   0   0   0   0   0   0   0   0 100
W_Caballero   35 arg 18  1  1  1 30 850 100 100 100   1   1   31   0   0   0   0   0   0   0   0   0   0   0 100
Angus_Gunn    21 eng 16  1  1  1 30 890 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
V_Kompany     30 bel  1 20  1  1 30 100 509 188 194   8   0  766   0   0   0  18   0   2   0   0   1   0   0  94
N_Otamendi    29 arg  1 20  1  1 30 100  61 178 183   7   0  560   0   0   0   6   0   1   0   0   6   0   0  94
P_Zabaleta    32 arg  1 19 11  7 30 100 630 214 224   9   1  727   1   0   0  17   4   5   1   0   2   0   0 100
Bacary_Sagna  34 fra  1 19 11  6 30 100 536 230 219   8   1  643   0   0   0   9   6   2   1   0   1   0   0 100
A_Kolarov     31 srb  1 19 10  6 30 100 392 222 241   8   3  480   0   0   0   9   4   6   1   0   3   0   0 100
John_Stones   22 eng  1 19  1  1 30 100 350 200 208   6   2  468   1   0   0   5   0   4   0   0   0   0   0  96
Gaël_Clichy   31 fra  1 19  9  5 30 100  29 214 206   2   0  188   0   0   0   4   2   2   0   0   0   0   0 100
K_De_Bruyne   25 bel  1  1 21 19 30 100 170  75 267   8   1  600   0   0   0   1  11  15   2   1   6   0   0 100
David_Silva   31 esp  1  1 20 19 30 100 180 929 332  10   1  708   1   0   0   1  18  14   4   2   6   0   0 100
I_Güngogan    26 ger  1  8 20 12 30 100 216 471 272   8   1  724   1   0   0   3  18  15   1   1   0   0   0 100
Yaya_Touré    33 civ  1 11 20  8 30 100 178 138 187   6   0  530   0   0   0   1  16   1   0   2   2   0   0  94
Fernandinho   31 bra  1 15 19  4 30 100 204 704 188   8   1  607   0   0   0   3   8   0   0   1   1   0   0  94
Leroy_Sané    21 ger  1  1 19 18 30 100 150 327 216  10   3  723   0   0   0   0  11   5   1   0   0   0   0  87
Fernando      29 bra  1 17 19  1 30 100 180   8 200   2   2   82   0   0   0   0   1   0   0   0   0   0   0 100
Jesús_Navas   31 esp  1  1 18 16 30 100 178 998 199   2   1   98   0   0   0   0   0   1   0   0   1   0   0 100
Fabian_Delph  27 eng  1 10 18  8 30 100 180 850 200   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Sergio_Agüero 28 arg  1  1  1 21 30 100 168 195 442   8   0  763   0   0   0   0   1  14   3   0   1   0   0 100
R_Sterling    22 eng  1  1 18 19 30 100 180 255 900   8   1  659   0   0   0   0   5  19   1   1   0   0   0 100
Nolito        30 esp  1  1 18 19 30 100 168 236 664   7   0  630   0   0   0   0   4  16   0   1   1   0   0  94
Gabriel_Jesus 19 bra  1  1 11 18 30 100 180 221 889   6   2  350   0   0   0   0   3  15   0   0   0   0   0 100
K_Iheanacho   20 nga  1  1  1 18 30 100 178 205 675   3   2  149   0   0   0   0   1   4   1   0   1   0   0 100
