Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Donnarumma  18 ita 19  1  1  1 30 311 100 100 100  10   0  924   0  45  20   0   0   0   0   0   1   0   0 100
Marco_Storari 40 ita 18  1  1  1 30 570 100 100 100   1   1   17   0   2   0   0   0   0   0   0   0   0   0 100
A_Plizzari    17 ita 16  1  1  1 30 230 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
R_Rodríguez   24 sui  1 19 11  6 30 100 714 253 228   8   0  754   0   0   0   7   9   9   1   0   5   0   0  95
G_Paletta     31 ita  1 19  1  1 30 100 276 148 129   4   0  364   0   0   0   4   0   1   0   0   6   0   0 100
A_Romagnoli   22 ita  1 19  1  1 30 100 210 193 189   8   0  753   0   0   0  18   0   3   0   0   1   0   0  95
V_Lindelöf    22 swe  1 19  1  1 30 100  60 188 168   4   0  304   0   0   0   6   0   0   0   0   6   0   0 100
C_Zapata      30 col  1 18  1  1 30 100 922 207 181   4   0  381   0   0   0   6   1   1   0   0   0   0   0 100
Ignazio_Abate 30 ita  1 18 11  5 30 100 888 204 170   4   0  305   0   0   0   4   2   0   0   0   5   0   0 100
M_De_Sciglio  24 ita  1 18 11  5 30 100 702 266 196   8   0  753   0   0   0  11   8  10   0   1   0   0   0  95
L_Antonelli   30 ita  1 18 11  5 30 100 700 200 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Atsuto_Uchida 29 jpn  1 18 10  5 30 100 540 245 218   7   0  658   0   0   0  12   7   5   1   0   2   0   0  95
G_Bonaventura 27 ita  1  6 19 13 30 100 212 959 206   8   0  753   0   0   0   1  17  10   0   1   0   0   0  95
Andrea_Pirlo  38 ita  1 12 19  7 30 100 250 839 170   8   0  753   0   0   0   6  23   4   0   3   1   0   0  95
Juraj_Kucka   30 svk  1 12 19  6 30 100 198  26 179   3   0  283   0   0   0   0   4   1   0   0   1   0   0 100
Keisuke_Honda 30 jpn  1  1 18 16 30 100 198 927 271   7   0  658   0   0   0   1  13  19   2   0   2   0   0  95
R_Montolivo   32 ita  1 16 18  2 30 100 196 883 169   4   0  378   0   0   0   1   7   1   0   0   3   0   0 100
José_Sosa     31 arg  1  1 18 17 30 100 200 850 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Bertolacci  26 ita  1 12 18  6 30 100 224 735 185   4   0  378   0   0   0   2   5   1   0   0   0   0   0 100
Mario_Pasalic 22 cro  1 11 18  7 30 100 190 420 164   3   0  283   0   0   0   1   6   2   0   0   1   0   0 100
Carlos_Bacca  30 col  1  1  1 19 30 100 194 194 916   8   0  756   0   0   0   0   0  24   2   0   3   0   0  95
G_Deulofeu    23 esp  1  1 18 19 30 100 188 232 630   8   0  728   1   0   0   1   8  16   6   0   7   0   0  95
Suso          23 esp  1  1 17 19 30 100 190 232 525   7   0  658   0   0   0   0   6  13   2   0   0   0   0  95
A_Carrillo    25 per  1  1 17 18 30 100 212 200 841   3   0  283   0   0   0   1   0   7   0   0   0   0   0 100
S_Okazaki     30 jpn  1  1  1 18 30 100 200 207 703   3   0  283   0   0   0   0   1   7   0   0   0   0   0 100
G_Lapadula    27 ita  1  1  1 18 30 100 200 200 530   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Cutrone     19 ita  1  1  1 16 30 100 200 200 870   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
