Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
David_de_Gea  26 esp 22  1  1  1 30 177 100 100 100  10   0  942   0  45  17   0   0   0   0   0   0   0   0 100
Sergio_Romero 30 arg 19  1  1  1 30 117 100 100 100   4   1  330   0   8   2   0   0   0   0   0   0   0   0 100
Rafael        26 bra 18  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alex_Sandro   26 bra  1 20 11  7 30 100  83 254 217   7   0  654   0   0   0   7   8   7   0   1   1   0   0 100
Marcos_Rojo   27 arg  1 19  1  1 30 100 952 168 199   8   2  531   0   0   0   7   0   3   0   0   1   0   0 100
Eric_Bailly   22 civ  1 19  1  1 30 100 948 174 167   8   0  694   0   0   0  11   4   1   0   0   2   0   0  94
A_Valencia    31 ecu  1 19 11  6 30 100 712 215 200   5   1  469   0   0   0   6   5   0   0   0   0   0   0 100
Phil_Jones    25 eng  1 19  1  1 30 100 318 170 190   6   2  319   0   0   0   4   0   0   0   0   0   0   0 100
Elseid_Hysaj  23 alb  1 19  9  5 30 100  87 232 198   6   0  557   0   0   0   8   6   4   0   1   5   0   0  94
Marcos_Alonso 26 esp  1 19 11  6 30 100  22 256 187   4   0  383   0   0   0   3  10   1   0   1   2   0   0  94
D_Sánchez     20 col  1 18  1  1 30 100 886 180 200   8   3  512   1   0   0  13   0   0   0   0   0   0   0 100
H_Mkhitaryan  28 arm  1  1 20 19 30 100 212 724 320   6   0  537   1   0   0   1  22  13   3   2   0   0   0 100
Thiago        25 esp  1  7 20 13 30 100 188 651 256   7   0  547   0   0   0   0  19  15   1   0   6   0   0  94
Juan_Mata     28 esp  1  1 20 18 30 100 200 423 343   9   4  530   1   0   0   0  14  15   4   1   0   0   0 100
Marek_Hamsik  29 svk  1  6 20 14 30 100 222 372 245   6   2  370   0   0   0   2   7   6   1   1   1   0   0 100
Nemanja_Matic 28 srb  1 18 20  1 30 100 255 113 205   4   0  375   0   0   0   5  14   1   0   2   0   0   0 100
W_Carvalho    24 por  1 18 19  1 30 100 272 912 193   7   0  666   0   0   0   7  12   1   0   2   1   0   0  94
Juan_Cuadrado 28 col  1  1 19 18 30 100 196 906 373   9   2  637   1   0   0   0  10  16   5   2   2   0   0  94
D_Cheryshev   26 rus  1  1 18 17 30 100 200 994 251   5   1  392   0   0   0   0   2  10   1   0   0   0   0 100
M_Fellaini    29 bel  1  7 18 11 30 100 196 908 202   4   4  112   0   0   0   0   6   2   0   2   2   0   0 100
Karim_Benzema 29 fra  1  1  1 20 30 100 200 180 705   6   0  518   2   0   0   0   0  18   4   0   0   0   0 100
Falcao        31 col  1  1  1 19 30 100 186 180 744  10   1  721   0   0   0   0   2  22   0   0   2   0   0 100
A_Martial     21 fra  1  1  1 19 30 100 196 183 727   8   4  492   0   0   0   0   1  18   1   0   2   0   0 100
M_Rashford    19 eng  1  1  1 18 30 100 208 176 992   6   2  391   0   0   0   1   0  14   4   0   2   0   0  94
