Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Mattia_Perin  24 ita 20  1  1  1 30 138 100 100 100   8   0  742   0  30  13   0   0   0   0   0   1   0   0 100
Pepe_Reina    34 esp 19  1  1  1 30 988 100 100 100   5   1  405   0  14   4   0   0   0   0   0   0   0   0 100
Luigi_Sepe    25 ita 18  1  1  1 30 250 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Koulibaly   25 sen  1 19  1  1 30 100 928 180 200   6   0  567   0   0   0   9   0   0   0   0   0   0   0  92
Raúl_Albiol   31 esp  1 19  1  1 30 100 710 178 204   7   0  664   0   0   0   6   0   2   0   0   1   0   0  92
Iván_Marcano  29 esp  1 19  1  1 30 100 454 180 203   7   2  520   0   0   0   7   0   3   0   0   0   0   0 100
M_Darmian     27 ita  1 19 10  6 30 100 387 235 205   9   1  822   0   0   0   7   6   3   0   1   1   0   0  92
D_Criscito    30 ita  1 19 11  5 30 100 120 182 193   5   0  479   1   0   0   6   2   1   0   0   1   0   0 100
F_Ghoulam     26 alg  1 19 11  5 30 100 106 247 211   6   0  573   0   0   0   9   7   5   0   1   1   0   0  92
L_Tonelli     27 ita  1 19  1  1 30 100  60 187 200   4   0  388   0   0   0   5   1   0   0   0   0   0   0 100
C_Maggio      35 ita  1 18  9  5 30 100 412 196 189   6   2  311   0   0   0   2   4   1   0   0   6   0   0 100
J_Mascherano  32 arg  1 18 20  1 30 100 208 128 196   7   0  650   2   0   0   1  13   0   0   3   2   0   0 100
Ander_Herrera 27 esp  1 12 19  7 30 100 236 932 207   6   0  574   0   0   0   3  16   3   0   1   0   0   0  92
Jorginho      25 ita  1 17 19  2 30 100 226 589 197   7   1  568   1   0   0   3  17   3   0   2   0   0   0 100
Bernardeschi  23 ita  1  1 19 18 30 100 198 487 288   7   1  537   0   0   0   0   7  12   2   0   1   0   0  92
Allan         26 bra  1 12 19  7 30 100 190 320 195   6   1  395   0   0   0   0  10   1   0   0   5   0   0  99
P_Zielinski   22 pol  1  6 19 12 30 100 200  43 240   6   1  397   0   0   0   0   9   3   1   0   0   0   0 100
Bernard       24 bra  1  1 19 17 30 100 196  32 259   8   1  665   1   0   0   0   5  14   1   1   2   0   0 100
E_Giaccherini 31 ita  1  1 18 17 30 100 190 890 291   5   1  412   2   0   0   0  10  15   2   0   0   0   0 100
A_Diawara     19 gui  1 17 18  1 30 100 212 565 200   3   1  213   0   0   0   1   5   0   0   0   0   0   0 100
Dries_Mertens 29 bel  1  1 19 20 30 100 200 236 509  10   2  734   0   0   0   0   8  23   5   0   0   0   0 100
L_Insigne     25 ita  1  1 18 20 30 100 198 199  81   7   0  671   0   0   0   0   3  27   0   0   1   0   0 100
José_Callejón 30 esp  1  1 18 19 30 100 198 206 992   7   1  580   1   0   0   0   4  26   4   0   1   0   0  92
A_Milik       23 pol  1  1  1 19 30 100 200 180 155   5   0  419   1   0   0   0   0  18   4   0   0   0   0  92
