Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Y_Cardinale   23 fra 18  1  1  1 30 989 100 100 100  10   0  946   0  43  25   0   0   0   0   0   0   0   0 100
W_Benítez     24 arg 17  1  1  1 30 610 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
A_Laporte     22 fra  1 20  1  1 30 100  49 188 168   7   1  654   0   0   0   5   0   0   0   0   1   2   0  80
Niklas_Süle   21 ger  1 19  1  1 30 100 572 175 153   7   0  660   0   0   0  12   1   1   0   0   6   0   0  78
Dante         33 bra  1 19  1  1 30 100 546 190 175   6   1  482   0   0   0   8   0   1   0   0   0   0   0 100
R_Pereira     23 por  1 19 11  6 30 100  48 218 157   6   0  526   0   0   0   6   6   1   0   0   7   0   0  76
Paul_Baysse   28 fra  1 18  1  1 30 100 960 196 176   4   0  379   0   0   0   7   0   0   0   0   2   0   0 100
Dalbert       23 bra  1 18 11  5 30 100 702 218 170   3   0  144   0   0   0   1   4   0   0   0   5   0   0 100
M_Le_Marchand 27 fra  1 18  1  1 30 100 550 200 182   1   0   94   0   0   0   0   0   2   0   0   0   0   0 100
T_Hernández   19 fra  1 18  9  5 30 100 340 290 187   6   0  567   0   0   0   5  10   3   0   1   0   0   0  76
A_Souquet     25 fra  1 18 11  5 30 100 288 211 170   3   0  284   1   0   0   4   3   0   0   0   0   0   0 100
G_Lloris      21 fra  1 16  1  1 30 100 780 200 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
P_Burner      20 fra  1 16  8  4 30 100 780 200 180   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Jean_M_Seri   25 civ  1 14 19  5 30 100 224 336 195   6   0  567   0   0   0   2   8   3   0   0   0   0   0  76
Y_Belhanda    27 mar  1  1 19 17 30 100 188 324 339   6   0  567   1   0   0   0   8  13   2   0   1   0   0  76
Wylan_Cyprien 22 fra  1  8 18 10 30 100 200 933 249   6   0  567   0   0   0   0   9   7   2   1   0   0   0  76
V_Koziello    21 fra  1 12 18  6 30 100 236 823 180   6   0  567   0   0   0   3   9   0   0   3   0   0   0  76
V_Eysseric    25 fra  1  1 18 17 30 100 198 795 189   4   0  379   0   0   0   0  11   3   0   1   1   0   0 100
Rémi_Walter   21 fra  1 16 18  2 30 100 236 345 185   4   0  379   0   0   0   3   5   1   0   3   0   0   0 100
A_Lusamba     20 fra  1  1 17 16 30 100 212 761 251   4   0  379   0   0   0   1   3   5   2   0   0   0   0 100
Rafetraniaina 20 mad  1 14 17  2 30 100 200  37 198   3   0  282   0   0   0   1   7   1   1   0   1   0   0 100
M_Balotelli   26 ita  1  1  1 19 30 100 200 207 601   7   0  662   1   0   0   0   1  25   3   0   0   0   0  76
Alassane_Pléa 24 fra  1  1  1 19 30 100 190 197  61   6   0  567   0   0   0   0   1  12   2   0   0   0   0  76
M_Le_Bihan    26 fra  1  1  1 17 30 100 200 207 859   4   0  379   0   0   0   0   1   5   0   0   0   0   0 100
A_Donis       20 gre  1  1  1 17 30 100 188 188 663   4   0  379   0   0   0   0   0  11   2   0   1   0   0 100
Alexy_Bosetti 23 fra  1  1  1 17 30 100 200 200 472   2   0  192   0   0   0   0   0   4   0   0   0   0   0 100
V_Marcel      19 fra  1  1 15 16 30 100 200 200 760   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Bassem_Srarfi 19 tun  1  1 14 16 30 100 200 200 650   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
B_Constant    23 fra  1  1  1 16 30 100 200 200 430   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
