Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
G_Rulli       24 arg 19  1  1  1 30 961 100 100 100   8   0  722   0  32  15   0   0   0   0   0   0   0   0 100
Iker_Casillas 35 esp 19  1  1  1 30 692 100 100 100   4   0  381   0  11   2   0   0   0   0   0   0   0   0 100
José_Sá       24 por 18  1  1  1 30 450 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
N_Maksimovic  25 srb  1 19  1  1 30 100 308  90  91   7   0  559   0   0   0   9   0   1   0   0   0   0   0  88
Nacho_F       26 esp  1 19  1  1 30 100 300 100 101   6   0  574   1   0   0  10   0   1   0   0   0   0   0  88
Felipe        27 bra  1 19  1  1 30 100 292 105  98   6   0  574   0   0   0   7   1   0   0   0   1   0   0  88
Maxi_Pereira  32 uru  1 18 11  5 30 100 994 167 111   6   0  567   0   0   0   8   7   5   0   1   1   0   0 100
G_Paulista    26 bra  1 18  1  1 30 100 948 100 100   7   1  458   0   0   0   4   0   0   0   0   0   0   0 100
Alex_Telles   24 bra  1 18 11  5 30 100 910 133 130   6   1  536   0   0   0  11   5   3   1   0   1   0   0 100
Rafinha       31 bra  1 18  9  5 30 100 832 132 106   6   3  413   0   0   0   7   2   4   0   1   1   0   0 100
Jesús_Vallejo 20 esp  1 18  1  1 30 100 708 107 100   6   0  575   0   0   0   9   1   0   0   0   0   0   0  88
Ivan_Strinic  29 cro  1 18  9  5 30 100 162 100 100   1   0   97   0   0   0   1   0   0   0   0   0   0   0 100
Xabi_Alonso   35 esp  1 16 19  3 30 100 148 728  94   8   1  661   0   0   0   5  20   2   0   3   1   0   0 100
Lucas_Vazquez 25 esp  1  1 19 18 30 100 100 665 235   8   1  676   0   0   0   0  15  16   3   1   0   0   0  88
Jesús_Corona  24 mex  1  1 19 18 30 100  98 247 135   7   1  603   0   0   0   0   7   4   1   1   1   0   0 100
H_Herrera     26 mex  1  7 19 12 30 100 134 227 140   8   2  641   0   0   0   3   7   5   1   0   1   0   0  88
Miguel_Veloso 30 por  1 16 19  2 30 100 136  60 100   8   0  675   0   0   0   3  17   0   0   2   0   0   0  88
André_André   27 por  1  6 18 13 30 100 112 962 172   4   0  383   1   0   0   1   6   6   2   1   0   0   0  88
M_Fernández   30 chi  1  6 18 12 30 100  90 830 143   5   0  470   1   0   0   0  10   8   1   1   0   0   0 100
Otávio        22 bra  1  1 18 17 30 100  90 632 165   5   1  398   1   0   0   0   6   9   2   0   0   0   0 100
Wayne_Rooney  31 eng  1  1 17 19 30 100 100 114 868   7   0  630   1   0   0   0   2  11   4   0   0   0   0 100
M_Mandzukic   30 cro  1  1  1 19 30 100  88  88 846   8   1  644   0   0   0   0   0  15   3   0   1   0   0 100
Y_Brahimi     27 alg  1  1 17 19 30 100  88  95 720   6   0  533   1   0   0   0   1  26   5   0   1   0   0 100
Paco_Alcácer  23 esp  1  1  1 18 30 100  90  90 978   6   2  448   1   0   0   0   0  11   2   0   5   0   0  88
F_Soares      26 bra  1  1  1 18 30 100 100 100 825   3   1  220   0   0   0   0   0   5   2   0   0   0   0  88
