Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Keylor_Navas  30 crc 20  1  1  1 30 478 100 100 100   3   0  286   0  20  11   0   0   0   0   0   0   0   0 100
Kevin_Trapp   26 ger 19  1  1  1 30 899 100 100 100   8   0  789   0  34  11   0   0   0   0   0   0   0   0 100
Rémy_Descamps 20 fra 16  1  1  1 30 670 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Thiago_Silva  32 bra  1 21  1  1 30 100 432 217 199   8   0  793   0   0   0  12   2   3   0   1   1   0   0  94
Marquinhos    22 bra  1 19  1  1 30 100 880 197 192   7   0  648   0   0   0   5   1   2   0   0   5   0   0 100
Serge_Aurier  24 civ  1 19 11  7 30 100 668 237 224   6   0  558   0   0   0   5   7   3   1   0   6   0   0  94
L_Kurzawa     24 fra  1 19 11  6 30 100 378 267 238   7   0  666   0   0   0  10   7   3   1   1   1   0   0  94
T_Meunier     25 bel  1 19 11  6 30 100  74 247 219   8   1  684   0   0   0   8   7   5   0   0   1   0   0  94
Maxwell       35 bra  1 19  9  5 30 100  49 218 202   5   0  505   0   0   0   4   4   4   0   0   0   0   0 100
P_Kimpembe    21 fra  1 18  1  1 30 100 426 198 198   4   0  410   0   0   0   4   0   0   0   0   1   0   0 100
Arturo_Vidal  29 chi  1 10 20 10 30 100 250 864 255   8   0  738   1   0   0   6  13   8   1   0   1   0   0  94
J_Rodríguez   25 col  1  1 20 18 30 100 194 834 320   7   0  672   0   0   0   2   7  15   3   1   0   0   0  94
Á_Di_María    29 arg  1  1 20 19 30 100 170 656 275   7   0  651   0   0   0   0   8  11   2   3   0   0   0  94
B_Matuidi     29 fra  1 15 20  5 30 100 240 512 201   6   1  544   0   0   0   5  21   1   0   2   0   0   0 100
J_Pastore     27 arg  1  1 19 18 30 100 168 863 316   7   0  547   1   0   0   0   5  13   3   1   6   0   0  94
Thiago_Motta  34 ita  1 17 19  2 30 100 242 609 190   7   0  649   0   0   0   6  17   0   0   2   5   0   1 100
Adrien_Rabiot 21 fra  1 12 19  7 30 100 252 557 216   7   0  591   0   0   0   6  11   4   0   1   0   0   0 100
Denis_Suárez  23 esp  1  1 19 17 30 100 192 322 242   7   5  314   0   0   0   1   6   5   1   0   0   0   0 100
Jesse_Lingard 24 eng  1  1 18 17 30 100 180 973 310   6   0  525   1   0   0   0   9  15   3   3   0   0   0 100
C_Nkunku      19 fra  1  7 17 10 30 100 192 617 211   3   0  282   0   0   0   1   1   3   0   0   0   0   0 100
Z_Ibrahimovic 35 swe  1  1  1 21 30 100 180 200 694   7   0  694   0   0   0   0   0  23   3   0   0   0   0 100
H_Ben_Arfa    30 fra  1  1 18 19 30 100 178 239 882   4   3  184   1   0   0   0   3   6   2   1   1   0   0 100
N_Castillo    24 chi  1  1  1 18 30 100 168 188 751   7   1  599   1   0   0   0   0  14   6   0   1   0   0  94
Matías_Britos 28 uru  1  1  1 18 30 100 178 198 601   5   1  413   0   0   0   0   0  12   1   0   1   0   0 100
G_Guedes      20 por  1  1 17 18 30 100 170 204 570   1   0   95   0   0   0   0   2   1   1   0   0   0   0 100
J-K_Augustin  19 fra  1  1  1 17 30 100 178 198 873   4   3  135   0   0   0   0   0   1   0   0   1   0   0 100
