Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   26 ned 19  1  1  1 30 295 100 100 100  10   0  953   0  51  18   0   0   0   0   0   0   0   0 100
Remko_Pasveer 33 ned 17  1  1  1 30 900 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  23 ned 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 23 ned 17  1  1  1 30 120 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Héctor_Moreno 29 mex  1 19  1  1 30 100 244  80  81   8   1  675   0   0   0   7   0   1   0   0   0   0   0  89
Jetro_Willems 23 ned  1 18 11  5 30 100 646 114  92   6   0  531   0   0   0   5   4   2   0   0   2   0   0  98
S_Arias       25 col  1 18 11  5 30 100 516 143 130   7   1  624   0   0   0   6   7   3   1   0   3   0   0  86
Isimat-Mirin  25 fra  1 18  1  1 30 100 412  98 103   7   1  597   0   0   0   7   0   1   0   0   1   0   0 100
Joshua_Brenet 23 ned  1 18 11  5 30 100 268 107 128   8   3  550   0   0   0  11   3   5   1   0   2   0   0  86
D_Schwaab     28 ger  1 18  1  1 30 100 144  70  75   7   1  512   0   0   0   2   0   1   0   0   0   0   0  86
Menno_Koch    22 ned  1 16  1  1 30 100 938  90  90   4   2  267   0   0   0   4   0   0   0   0   0   0   0 100
S_Alberto     20 ned  1 16  1  1 30 100 460 100 100   2   0   90   0   0   0   0   0   0   0   0   0   0   0 100
A_Guardado    30 mex  1 11 19  8 30 100 148 271 105   8   1  714   0   0   0   4  13   5   0   0   0   0   0  98
Davy_Pröpper  25 ned  1  8 18 10 30 100  88 855  95   7   1  569   1   0   0   0  11   3   0   2   1   0   0  98
M_van_Ginkel  24 ned  1  8 18 10 30 100 114 618 112   7   1  521   0   0   0   2   4   6   0   0   0   0   0  86
B_Ramselaar   20 ned  1  1 18 17 30 100  88 473 141   7   2  529   0   0   0   0   5   8   1   0   1   0   0  86
Siem_de_Jong  28 ned  1  1 18 17 30 100  98 462 120   5   0  474   0   0   0   0   2  10   0   0   1   0   0  86
J_Hendrix     22 ned  1 17 18  1 30 100 152 357  90   8   2  535   0   0   0   6  11   2   0   0   0   0   0  86
O_Zinchenko   20 ukr  1  1 17 15 30 100  98 926 109   3   0  250   0   0   0   0   4   3   0   0   1   0   0 100
R-P_Lundqvist 19 swe  1  1 16 14 30 100 100 735 130   3   1  231   0   0   0   0   5   1   1   1   0   0   0 100
Kenneth_Paal  19 ned  1  1 16 14 30 100 100 350 101   1   0   95   0   0   0   0   0   1   0   0   0   0   0 100
Luuk_de_Jong  26 ned  1  1  1 18 30 100  78  78 638   9   3  613   0   0   0   0   0  11   1   0   1   0   0  90
G_Pereiro     21 uru  1  1 17 18 30 100 100 190 381   8   1  615   1   0   0   0  10  11   2   1   0   0   0  98
J_Locadia     23 ned  1  1  1 18 30 100 100 100 315   6   0  535   0   0   0   0   0   3   0   0   0   0   0  98
S_Bergwijn    19 ned  1  1 15 17 30 100  96 103 518   4   1  326   0   0   0   0   1   4   0   0   2   0   0  86
Sam_Lammers   19 ned  1  1  1 16 30 100 100 100 936   4   1  194   0   0   0   0   0   3   1   0   0   0   0 100
