Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
W_Szczesny    26 pol 19  1  1  1 30 824 100 100 100  13   0 1236   0  57  20   0   0   0   0   0   1   2   0 100
Alisson       24 bra 19  1  1  1 30 246 100 100 100   2   1  120   0   5   2   0   0   0   0   0   0   0   0 100
Bogdan_Lobont 39 rou 17  1  1  1 30 510 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
K_Manolas     25 gre  1 19  1  1 30 100 981  91  96   8   2  617   0   0   0   5   0   0   0   0   2   0   0  88
F_Fazio       30 arg  1 19  1  1 30 100 594  98  99   7   1  660   0   0   0   8   0   1   0   0   1   0   0  88
A_Rüdiger     24 ger  1 19  1  1 30 100 214 112  98   6   0  569   0   0   0   3   2   0   0   0   1   0   0  88
Bruno_Peres   27 bra  1 18 11  4 30 100 994 119 106   6   0  523   1   0   0   8   3   4   0   0   1   0   0 100
Mário_Rui     25 por  1 18 11  5 30 100 864 144 129   6   0  456   0   0   0   8   8   4   1   0   1   0   0 100
T_Vermaelen   31 bel  1 18  1  1 30 100 822  88  88   7   1  538   0   0   0   7   0   0   0   0   1   0   0 100
Emerson       22 bra  1 18 11  5 30 100 550 156  96   7   3  431   0   0   0  10   8   4   0   1   5   0   1 100
Juan_Jesus    25 bra  1 18  1  1 30 100 372 100 101   4   2  317   0   0   0   6   0   1   0   0   0   0   0 100
A_Nura        19 nga  1 16  8  4 30 100 472 107 100   1   0   68   0   0   0   1   1   0   0   0   0   0   0 100
R_Nainggolan  28 bel  1 15 20  5 30 100 146 512 123   8   0  720   0   0   0   5   8   4   1   1   2   0   0  78
K_Strootman   27 ned  1 12 19  7 30 100  98 961 202   8   2  615   1   0   0   0   9   9   3   0   1   0   0 100
D_De_Rossi    33 ita  1 18 19  1 30 100 180 827  96   9   1  705   0   0   0   7  13   0   0   1   2   0   0  88
A_Florenzi    26 ita  1  5 19 14 30 100 102 682 136   9   1  741   0   0   0   1  16   9   1   2   5   0   0  83
Diego_Perotti 28 arg  1  1 19 17 30 100 100 250 173   7   1  532   0   0   0   0  10  12   1   0   0   0   0  97
L_Paredes     22 arg  1  7 18 11 30 100 112 691 149   6   1  412   1   0   0   1  13   8   1   0   0   0   0 100
C_Grenier     26 fra  1  6 18 12 30 100 112 342 124   6   3  445   0   0   0   1   6   8   0   0   0   0   0 100
Gerson        19 bra  1  1 16 14 30 100 100 900 101   1   0   68   0   0   0   0   0   1   0   0   0   0   0 100
Mohamed_Salah 24 egy  1  1 18 19 30 100  98 147 683   7   0  690   3   0   0   0   7  18   3   0   1   0   0  88
Edin_Dzeko    31 bih  1  1  1 19 30 100  80  75 591  10   2  664   0   0   0   1   1  13   2   0   1   0   0  85
S_El_Shaarawy 24 ita  1  1 18 19 30 100  98 215 312   9   2  755   1   0   0   0  11  19   3   2   1   0   0  88
F_Totti       40 ita  1  1 12 19 30 100  90 138 227   7   2  601   0   0   0   0   4  21   0   1   0   0   0 100
