Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Hugo_Lloris   30 fra 21  1  1  1 30 540 100 100 100  12   0 1149   0  64  18   0   0   0   0   0   0   0   0 100
Michel_Vorm   33 ned 19  1  1  1 30 348 100 100 100   1   0   97   0  11   6   0   0   0   0   0   0   0   0 100
Pau_López     22 esp 18  1  1  1 30   1 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Alderweireld  28 bel  1 20  1  1 30 100 492 180 199   9   0  735   0   0   0  12   1   1   0   0   1   0   0 100
J_Vertonghen  29 bel  1 19  1  1 30 100 870 158 180   7   0  625   0   0   0   6   0   2   0   0   1   0   0 100
Kyle_Walker   26 eng  1 19 11  6 30 100 796 222 272   8   1  669   0   0   0  13   6   6   2   0   0   0   0  93
V_van_Dijk    25 ned  1 19  1  1 30 100 789 161 192   8   1  665   0   0   0  14   0   2   0   0   2   0   0  93
Danny_Rose    26 eng  1 19 10  6 30 100 624 237 202   9   0  690   0   0   0  14   3   2   0   2   2   0   0  91
Kevin_Wimmer  24 aut  1 18  1  1 30 100 980 192 198   6   1  522   0   0   0  11   2   0   0   0   1   0   0 100
Ben_Davies    23 wal  1 18  9  5 30 100 956 201 197   8   4  496   0   0   0  10   5   3   0   0   2   0   0 100
K_Trippier    26 eng  1 18 11  6 30 100 724 221 202   3   3  117   0   0   0   2   3   2   0   1   0   0   0 100
C_Eriksen     25 den  1  1 20 19 30 100 198 443 251   8   0  651   0   0   0   0  20   8   1   0   1   0   0  93
Mousa_Dembélé 29 bel  1 13 19  7 30 100 212 775 196   8   1  666   0   0   0   2  21   4   0   1   1   0   0 100
Dele_Alli     20 eng  1  1 19 18 30 100 180 726 295   9   1  650   1   0   0   1  14  16   3   2   1   0   0 100
Érik_Lamela   25 arg  1  1 19 17 30 100 180 530 217   6   0  532   0   0   0   0  10  13   0   2   0   0   0  93
Eric_Dier     23 eng  1 17 19  1 30 100 226  33 197   7   2  458   0   0   0   3   9   3   0   0   5   0   0  93
M_Sissoko     27 fra  1  5 19 13 30 100 238  19 211   6   2  454   0   0   0   4   7   5   0   0   5   0   0 100
V_Wanyama     25 ken  1 17 18  1 30 100 234 987 196   5   1  387   0   0   0   4   3   2   0   0   2   0   0 100
Josh_Onomah   19 eng  1  1 17 15 30 100 200 789 270   3   3  115   1   0   0   0   7   4   2   1   0   0   0 100
Harry_Kane    23 eng  1  1  1 20 30 100 196 176 342  10   1  729   0   0   0   0   0  13   0   0   2   0   0  93
C_Immobile    27 ita  1  1  1 19 30 100 212 180 705   6   0  498   0   0   0   1   0  16   1   0   0   0   0 100
Heung-Min_Son 24 kor  1  1 17 19 30 100 212 229  84   8   2  499   0   0   0   1   7  14   2   0   0   0   0 100
G-K_N'Koudou  22 fra  1  1 17 18 30 100 210 185 743   4   4  149   0   0   0   1   1   8   1   0   1   0   0 100
V_Janssen     22 ned  1  1  1 18 30 100 212 180 710   4   4  147   0   0   0   1   0   2   0   0   0   0   0 100
