Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Sergio_Asenjo 27 esp 20  1  1  1 30 119 100 100 100   7   0  652   0  33  15   0   0   0   0   0   1   2   0 100
Andrés_Fdez   30 esp 18  1  1  1 30 649 100 100 100   5   1  431   0  16   3   0   0   0   0   0   0   0   0 100
M_Barbosa     32 arg 18  1  1  1 30 300  98  98  98   1   0   95   0   0   0   0   0   0   0   0   1   0   0 100
Víctor_Ruiz   28 esp  1 19  1  1 30 100 788 202 190   7   1  577   1   0   0  15   2   2   0   0   1   0   0  93
Ó_de_Marcos   27 esp  1 19 11  6 30 100 589 253 203   8   1  720   0   0   0   9   5   1   0   1   1   0   0  93
Mario_Gaspar  26 esp  1 19 11  6 30 100 572 221 200   6   0  573   0   0   0  11   3   0   0   0   0   0   0 100
Jaume_Costa   29 esp  1 19 11  6 30 100 159 260 229   8   0  732   1   0   0  15   6   2   1   1   1   0   0  93
Á_González    27 esp  1 18  1  1 30 100 740 200 201   4   1  335   0   0   0   5   0   1   0   0   0   2   0 100
José_Ángel    27 esp  1 18 11  5 30 100 352 307 191   6   1  558   2   0   0  11  11   1   0   2   5   0   0 100
Bruno_Soriano 32 esp  1 18 20  1 30 100 294 141 227   7   0  611   0   0   0  11  17   2   1   2   4   0   0 100
M_Trigueros   25 esp  1  6 19 13 30 100 192 730 248   7   0  670   0   0   0   1  10   7   1   1   0   0   0  93
T_Hazard      24 bel  1  1 19 18 30 100 178 383 350   7   0  671   1   0   0   1  11  24   4   2   2   0   0 100
R_Soriano     26 ita  1  7 19 12 30 100 214 375 245   7   0  670   0   0   0   3  11   6   1   1   1   0   0  93
J_dos_Santos  26 mex  1  1 19 17 30 100 168 371 244   7   0  667   1   0   0   0   9  11   1   2   1   0   0  93
Thomas        23 gha  1 17 18  1 30 100 366 654 205   6   1  474   0   0   0  13  12   1   0   1   0   0   0  86
J_Gallardo    22 mex  1  1 17 16 30 100 166 815 231   5   1  435   0   0   0   0   7   8   1   2   2   0   0 100
R_Hernández   20 esp  1 15 17  2 30 100 226 540 198   4   0  414   0   0   0   4   6   0   0   1   1   0   0 100
G_dos_Santos  27 mex  1  1  1 19 30 100 192 200 693   7   0  667   2   0   0   1   0  17   6   0   0   0   0  93
C_Bakambu     25 cod  1  1  1 19 30 100 176 210 574   6   0  566   0   0   0   0   2  15   3   0   2   0   0 100
N_Sansone     25 ita  1  1  1 19 30 100 180 200  34   7   3  453   0   0   0   0   0   9   0   0   0   0   0 100
R_Soldado     31 esp  1  1  1 18 30 100 170 190 880   5   1  409   0   0   0   0   0   7   1   0   0   0   0  93
Alessio_Cerci 29 ita  1  1 16 18 30 100 168 216 474   5   0  509   0   0   0   0   4  12   2   0   1   0   0 100
Santos_Borré  21 col  1  1  1 18 30 100 150 170 376   3   0  151   0   0   0   0   0   2   0   0  10   0   2 100
