A_Iniesta (BAR), 8 asistencias, 0,800 asistencias por partido
Isco (RMA), 5 asistencias, 0,714 asistencias por partido
Julian_Weigl (BDO), 4 asistencias, 0,571 asistencias por partido
Sami_Khedira (JUV), 4 asistencias, 0,400 asistencias por partido
Aaron_Ramsey (ARS), 4 asistencias, 0,400 asistencias por partido
Rémi_Walter (NIC), 3 asistencias, 0,750 asistencias por partido
Jesse_Lingard (PSG), 3 asistencias, 0,500 asistencias por partido
R_Mandragora (JUV), 3 asistencias, 0,375 asistencias por partido
Kieran_Gibbs (ARS), 3 asistencias, 0,429 asistencias por partido
M_Locatelli (AJX), 3 asistencias, 0,500 asistencias por partido
V_Koziello (NIC), 3 asistencias, 0,500 asistencias por partido
J_L_Gayà (VAL), 3 asistencias, 0,429 asistencias por partido
Carlos_Soler (VAL), 3 asistencias, 0,375 asistencias por partido
J_Mascherano (NAP), 3 asistencias, 0,429 asistencias por partido
Á_Di_María (PSG), 3 asistencias, 0,429 asistencias por partido
Franck_Ribéry (LEI), 3 asistencias, 0,375 asistencias por partido
Xabi_Alonso (OPO), 3 asistencias, 0,375 asistencias por partido
R_Firmino (LIV), 3 asistencias, 0,333 asistencias por partido
Samir_Nasri (SEV), 3 asistencias, 0,375 asistencias por partido
Javi_Martínez (ARS), 3 asistencias, 0,375 asistencias por partido
Mesut_Özil (ARS), 3 asistencias, 0,375 asistencias por partido
Y_Carrasco (ATM), 3 asistencias, 0,375 asistencias por partido
Andrea_Pirlo (MIL), 3 asistencias, 0,375 asistencias por partido
J_Henderson (LIV), 3 asistencias, 0,300 asistencias por partido
M_Fellaini (MUN), 2 asistencias, 0,500 asistencias por partido
André_Horta (SLB), 2 asistencias, 0,500 asistencias por partido
Nemanja_Matic (MUN), 2 asistencias, 0,500 asistencias por partido
Illarramendi (ARS), 2 asistencias, 0,400 asistencias por partido
J_Gallardo (VIL), 2 asistencias, 0,400 asistencias por partido
Kenedy (CHE), 2 asistencias, 0,400 asistencias por partido
G_Lo_Celso (JUV), 2 asistencias, 0,250 asistencias por partido
R_Hilbert (BLE), 2 asistencias, 0,200 asistencias por partido
Yaya_Touré (MCI), 2 asistencias, 0,333 asistencias por partido
Érik_Lamela (TOT), 2 asistencias, 0,333 asistencias por partido
