R_Hilbert (BLE), 9 partidos como suplente
Paulo_Dybala (BAR), 7 partidos como suplente
F_Torres (ATM), 6 partidos como suplente
Diogo_Jota (BMU), 5 partidos como suplente
Éder (INT), 5 partidos como suplente
Denis_Suárez (PSG), 5 partidos como suplente
Leon_Bailey (BLE), 5 partidos como suplente
Oscar (JUV), 5 partidos como suplente
V_Yurchenko (BLE), 4 partidos como suplente
M_Fellaini (MUN), 4 partidos como suplente
V_Janssen (TOT), 4 partidos como suplente
G-K_N'Koudou (TOT), 4 partidos como suplente
Rafinha_Alc (BAR), 4 partidos como suplente
Loftus-Cheek (CHE), 4 partidos como suplente
André_Silva (JUV), 4 partidos como suplente
Lucas (BAR), 4 partidos como suplente
A_Zivkovic (SLB), 4 partidos como suplente
Baumgartinger (BLE), 4 partidos como suplente
A_Martial (MUN), 4 partidos como suplente
Ben_Davies (TOT), 4 partidos como suplente
G_Lo_Celso (JUV), 4 partidos como suplente
Juan_Mata (MUN), 4 partidos como suplente
Luke_Shaw (BMU), 4 partidos como suplente
Z_Bakkali (VAL), 4 partidos como suplente
Thomás_Rincón (JUV), 4 partidos como suplente
Lucas_Leiva (LIV), 4 partidos como suplente
Arjen_Robben (BMU), 4 partidos como suplente
Raúl_Jiménez (SLB), 3 partidos como suplente
Andrea_Poli (S04), 3 partidos como suplente
Josh_Onomah (TOT), 3 partidos como suplente
K_Trippier (TOT), 3 partidos como suplente
J-K_Augustin (PSG), 3 partidos como suplente
Bouna_Sarr (OMA), 3 partidos como suplente
H_Ben_Arfa (PSG), 3 partidos como suplente
M_Dahoud (LIV), 3 partidos como suplente
Z_Machach (OMA), 3 partidos como suplente
Leo_Baptistão (LIV), 3 partidos como suplente
Houssem_Aouar (LYO), 3 partidos como suplente
C_Aránguiz (BLE), 3 partidos como suplente
Marco_Benassi (LIV), 3 partidos como suplente
C_Musonda (CHE), 3 partidos como suplente
Nabil_Dirar (ASM), 3 partidos como suplente
R_Ghezzal (LYO), 3 partidos como suplente
Rafinha (OPO), 3 partidos como suplente
Emerson (ROM), 3 partidos como suplente
C_Grenier (ROM), 3 partidos como suplente
A_L_Iseka (OMA), 3 partidos como suplente
N_Sansone (VIL), 3 partidos como suplente
Sadio_Mané (LIV), 3 partidos como suplente
Sergi_Darder (LYO), 3 partidos como suplente
A_Kolarov (MCI), 3 partidos como suplente
D_Sánchez (MUN), 3 partidos como suplente
R_Mandragora (JUV), 3 partidos como suplente
Joshua_Brenet (PSV), 3 partidos como suplente
Álvaro_Medrán (VAL), 3 partidos como suplente
