Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Kevin_Trapp   26 ger 21  1  1  1 30 858 100 100 100   9   0  828   0  72  23   0   0   0   0   0   1   0   0 100
Asmir_Begovic 29 bih 21  1  1  1 30  50 100 100 100  15   1 1360   1 140  51   0   0   0   0   0   1   0   0 100
David_Luiz    29 bra  1 20  1  1 30 100 971 568 531  13   2 1081   0   0   0  19   1   2   0   0   1   0   0 100
G_Paletta     31 ita  1 20  1  1 30 100 498 741 609   9   0  854   0   0   0  13   1   0   0   0   3   0   0  88
D_Criscito    30 ita  1 20 11  5 30 100 341 978 906  10   0  921   0   0   0  20  15   5   0   0   5   0   0 100
L_López       27 arg  1 20  1  1 30 100 165 857 828  10   1  882   0   0   0  19   1   1   0   0   2   0   0  88
Sime_Vrsaljko 25 cro  1 20 12  5 30 100 128   8 911   9   0  856   0   0   0  20  10   6   0   1   1   0   0 100
Gustavo_Gómez 23 par  1 19  1  1 30 100 923 836 832   9   1  741   0   0   0  14   1   3   0   0   0   0   0  88
C_Zapata      30 col  1 19  1  1 30 100 841 803 678   9   2  720   0   0   0  12   1   2   0   0   3   0   0 100
Maxwell       35 bra  1 19  9  5 30 100 503 942 858   1   0   93   0   0   0   0   1   0   0   0   0   0   0 100
T_Vermaelen   31 bel  1 19  1  1 30 100 313 194 194   1   0   96   0   0   0   0   0   0   0   0   0   0   0 100
Rémi_Walter   21 fra  1 17 19  2 30 100  56 762 720  10   0  934   0   0   0  14  27   4   0   2   5   0   0 100
Santi_Cazorla 32 esp  1  6 21 15 30 100 706 893  70  10   0  928   0   0   0   0  22  15   1   1   0   0   0 100
A_Florenzi    26 ita  1  5 20 14 30 100 627 868 887   9   0  857   0   0   0   4  17  14   3   1   1   0   0 100
Axel_Witsel   28 bel  1 14 20  6 30 100  50 748 909  11   1  961   0   0   0   8  29   7   0   1   2   0   0  88
Pizzi         27 por  1  6 20 13 30 100 606 718 905  12   0 1116   1   0   0   2  29  26   4   4   5   0   0  88
K_Asamoah     28 gha  1  7 20 13 30 100 878 301  44   7   0  653   1   0   0   2  13  11   3   2   5   0   0  88
Mario_Pasalic 22 cro  1 12 19  7 30 100  59 729 846   9   1  699   0   0   0  12  18   1   0   0   6   0   0  88
M_Ritzmaier   23 aut  1  7 18 10 30 100 924 168 912   3   0  286   0   0   0   2   7   1   0   0   0   0   0 100
Jesse_Lingard 24 eng  1  1 19 18 30 100 682 979 305   9   0  859   1   0   0   0  22  29   1   4   4   0   0 100
V_Eysseric    25 fra  1  1 19 17 30 100 812 767 931   2   1  143   0   0   0   0   1   0   0   0   0   0   0 100
José_Sosa     31 arg  1  1 19 17 30 100 830 478 722   2   0  191   0   0   0   0   3   4   0   0   0   0   0 100
Marko_Rog     21 cro  1  1 19 18 30 100 710 453  44   4   0  378   0   0   0   0   2   9   1   0   0   0   0 100
G_Deulofeu    23 esp  1  1 19 21 30 100 791 268  38  10   0  926   2   0   0   0  15  34   4   1  11   0   0 100
Mohamed_Salah 24 egy  1  1 18 20 30 100 457 778 878  10   0  872   0   0   0   1   4  29   2   1   6   0   0 100
H_Ben_Arfa    30 fra  1  1 18 20 30 100 744 949 784  10   1  868   1   0   0   0   2  30   4   0   7   0   0 100
A_Belotti     23 ita  1  1  1 20 30 100 886 862 437   8   0  756   0   0   0   0   0  19   3   0   2   0   0  88
Alassane_Pléa 24 fra  1  1  1 20 30 100 832 825 298   7   0  565   0   0   0   1   0  10   4   0   5   0   1 100
Edin_Dzeko    31 bih  1  1  1 20 30 100 192 187  92  11   1  998   0   0   0   0   0  17   2   0   2   0   0  88
A_Zivkovic    20 srb  1  1 16 19 30 100 722 984 717   5   1  373   1   0   0   0   5   9   3   1   0   0   0 100
Éder          30 ita  1  1  1 19 30 100 326 313 635   3   0  286   0   0   0   0   0   5   0   0   2   0   0 100
