Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Jeroen_Zoet   26 ned 22  1  1  1 30  17 100 100 100   3   0  246   0  10   4   0   0   0   0   0   0   0   0 100
Remko_Pasveer 33 ned 18  1  1  1 30 521 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Hidde_Jurjus  23 ned 18  1  1  1 30 238 100 100 100   1   1   35   0   2   1   0   0   0   0   0   0   0   0 100
Luuk_Koopmans 23 ned 17  1  1  1 30 705 100 100 100   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Medhi_Benatia 29 mar  1 20  1  1 30 100 575 364 379   2   0  187   0   0   0   4   0   0   0   0   0   0   0  88
Jetro_Willems 23 ned  1 19 11  5 30 100 862 859 576   2   0  187   0   0   0   2   1   0   0   0   0   0   0  88
Joshua_Brenet 23 ned  1 19 11  5 30 100 431 754 667   1   0   94   0   0   0   3   2   1   0   0   0   0   0 100
Isimat-Mirin  25 fra  1 19  1  1 30 100 436 509 499   2   0  187   0   0   0   5   0   0   0   0   1   0   0  88
S_Arias       25 col  1 19 11  5 30 100 407 741 555   2   0  145   0   0   0   3   2   1   0   0   5   0   0 100
D_Schwaab     28 ger  1 18  1  1 30 100 931 514 517   1   0   94   0   0   0   4   0   0   0   0   0   0   0 100
Menno_Koch    22 ned  1 17  1  1 30 100 637 552 550   1   0   94   0   0   0   0   0   0   0   0   0   0   0 100
S_Alberto     20 ned  1 17  1  1 30 100  56 555 555   2   1  136   0   0   0   2   0   0   0   0   0   0   0  88
J_Hendrix     22 ned  1 17 19  1 30 100 726 391 540   1   0   94   0   0   0   1   3   0   0   0   0   0   0 100
K_Strootman   27 ned  1 12 20  7 30 100 169 445 231   3   0  225   0   0   0   1   6   0   0   0   1   0   0  88
Davy_Pröpper  25 ned  1  8 19 10 30 100 548 780 710   3   1  215   0   0   0   0   3   1   0   0   0   0   0  88
M_van_Ginkel  24 ned  1  8 19 10 30 100 601 701 630   2   1  122   0   0   0   0   8   3   0   0   0   0   0 100
B_Ramselaar   20 ned  1  1 19 17 30 100 478 582 934   2   0  160   1   0   0   0   4   4   1   0   0   0   0 100
Siem_de_Jong  28 ned  1  1 19 17 30 100 458 192 881   1   0   93   0   0   0   0   1   1   0   0   0   0   0  88
O_Zinchenko   20 ukr  1  1 18 15 30 100 434 818 705   2   1  121   1   0   0   0   6   2   0   1   0   0   0  88
R-P_Lundqvist 19 swe  1  1 17 14 30 100 478 379 647   1   0   51   0   0   0   0   2   1   0   1   0   0   0 100
Kenneth_Paal  19 ned  1  1 16 14 30 100 490 970 574   0   0    0   0   0   0   0   0   0   0   0   0   0   0 100
Luuk_de_Jong  26 ned  1  1  1 19 30 100 448 526 772   2   0  187   0   0   0   0   0   4   1   0   0   0   0  88
G_Pereiro     21 uru  1  1 17 19 30 100 449 802 559   2   0  170   0   0   0   0   1  12   0   0   0   0   0 100
J_Locadia     23 ned  1  1  1 18 30 100 450 545 981   2   1  112   0   0   0   0   0   4   1   0   0   0   0 100
S_Bergwijn    19 ned  1  1 15 18 30 100 466 651 155   1   0   81   0   0   0   0   1   1   0   0   0   0   0  93
Sam_Lammers   19 ned  1  1  1 17 30 100 480 582 617   1   1   12   0   0   0   0   0   0   0   0   0   0   0 100
