Name         Age Nat St Tk Ps Sh Ag KAb TAb PAb SAb Gam Sub  Min Mom Sav Con Ktk Kps Sht Gls Ass  DP Inj Sus Fit
----------------------------------------------------------------------------------------------------------------
Petr_Cech     34 cze 22  1  1  1 30 507 100 100 100  37   1 3356   0 123  60   0   0   0   0   0   2   0   0 100
Timo_Horn     23 ger 20  1  1  1 30 931 100 100 100  15   1 1285   0  47  17   0   0   0   0   0   0   0   0 100
Sergio_Romero 30 arg 19  1  1  1 30 861 100 100 100  13   2 1091   0  42  20   0   0   0   0   0   0   0   0 100
Mats_Hummels  28 ger  1 22  1  1 30  79 153 680 594  55   9 4173   0   1   3  57   6   8   0   0  11   0   0  83
L_Koscielny   31 fra  1 21  1  1 30  90 306 680 696  43   0 3682   0   0   0  47   2   9   1   1   2   0   0 100
Javi_Martínez 28 esp  1 21 19  1 30 100 289 511 680  44   2 3970   3   0   0  48  89  12   0  12  11   0   0  93
H_Bellerín    22 esp  1 20 12  6 30 100 362  25 897  44   5 3816   1   0   0  58  44  23   6   2   2   0   0  93
P_Mertesacker 32 ger  1 20  1  1 30 100 339 676 628  32   3 2846   0   0   0  25   4   0   0   1  16   0   0 100
Kieran_Gibbs  27 eng  1 19 11  5 30  82 767 811 680  32   8 2487   1   1   4  28  13   8   0   3  15   0   0 100
L_Hernández   21 fra  1 19  1  1 30 100 188 684 700  20   4 1576   0   0   0  19   2   1   1   0  10   0   0 100
Molla_Wague   26 mli  1 18  1  1 30 100 898 386 387  26   2 2372   1   0   0  36   0   1   0   0   2   0   0 100
F_Coquelin    25 fra  1 18 20  1 30 100 786 321 699  33   0 2912   1   0   0  19  66   5   0   5  11   0   0 100
M_Elneny      24 egy  1 17 19  1 30 100 678 381 683  15   4 1118   0   0   0  10  26   1   0   1   6   0   0 100
Santi_Cazorla 32 esp  1  6 21 14 30 100 576 533 869  36   1 2914   0   0   0   5  58  35   5   7  22   0   0 100
Aaron_Ramsey  26 wal  1  8 20 11 30 100 622 851 854  46   4 3806   3   0   0   9  58  37   5  10   3   0   0 100
M_Ritzmaier   23 aut  1  7 17 10 30 100 740 869 771  10   0  896   0   0   0   4  11   7   0   1   4   0   0 100
V_Jugovic     27 cro  1  5 17 11 30 100 712 479 879   8   1  663   1   0   0   1   4  12   3   0   0   0   0 100
Mesut_Özil    28 ger  1  1 22 20 30 100 544 792 346  53   4 4542   3   0   0   1 102 117  13  15   4   0   0  83
O-Chamberlain 23 eng  1  1 19 17 30 100 568 746 983  30   5 2483   0   0   0   1  30  57   6   3   2   0   0  93
A_Sánchez     28 chi  1  1 19 22 30 100 502 981 772  49   2 4187   8   0   0   0  37 145  33   5   9   0   0 100
O_Giroud      30 fra  1  1  1 20 30 100 530 645 979  38   8 2853   3   0   0   1   1  95  15   0   6   0   0 100
Danny_Welbeck 26 eng  1  1 10 20 30 100 556 773 145  27   6 2180   4   0   0   0  11  59   8   1   2   0   0 100
Alex_Iwobi    20 nga  1  1 16 18 30 100 578 740 879  16   5 1011   0   0   0   0   6  25   2   0   1   0   0 100
